Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,193,209,262,270,279,342,326,295,250,232,155,135,158,151,271,262,273,279,250,309,-,-,-
Market Cap Growth,-,-39.00%,-19.67%,-8.42%,11.94%,47.66%,109.61%,118.35%,57.54%,53.97%,-42.65%,-48.43%,-41.97%,-46.11%,8.47%,-15.13%,-,-,-,-,-,-,-
Enterprise Value,9,25,142,124,-14,109,140,98,92,68,50,16,-10,51,155,171,186,146,118,175,-139,-142,-34
PE Ratio,5.77,5.96,7.48,7.31,6.81,8.19,8.13,8.38,9.03,10.95,9.61,9.29,8.86,7.13,11.25,9.82,10.32,11.36,10.29,15.51,-,-,-
PS Ratio,1.89,2.04,2.60,2.67,2.66,3.27,3.25,3.16,3.06,3.27,2.40,2.21,2.37,2.07,3.54,3.27,3.47,3.67,3.33,4.30,-,-,-
PB Ratio,0.57,0.62,0.78,0.81,0.84,1.31,1.27,1.19,1.04,0.97,0.67,0.59,0.70,0.67,1.20,1.17,1.22,1.29,1.19,1.52,-,-,-
Debt / Equity Ratio,0.02,0.02,0.08,0.02,0.02,0.07,0.07,0.07,0.07,0.20,0.38,0.60,0.61,0.40,0.13,0.14,0.21,0.18,0.14,0.15,0.20,0.27,0.28
Dividend Yield,4.66%,-,0.85%,0.84%,0.81%,0.66%,0.56%,0.61%,0.61%,0.67%,0.99%,1.14%,0.97%,1.04%,0.47%,0.37%,0.36%,0.29%,0.20%,0.14%,-,-,-
Payout Ratio,18.90%,0.00%,25.40%,31.90%,24.60%,21.70%,16.70%,16.20%,15.40%,18.20%,26.30%,45.50%,45.50%,43.50%,29.60%,14.00%,14.60%,12.20%,7.10%,6.80%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,3.74%,3.74%,1.59%,-0.38%,1.22%,2.52%,1.79%,2.25%,0.41%,1.06%,3.73%,4.49%,5.86%,3.51%,3.72%,-7.87%,-19.82%,-19.76%,-22.41%,-10.19%,-0.64%,-0.62%,-7.05%
Total Shareholder Return,8.41%,3.74%,2.45%,0.46%,2.04%,3.19%,2.35%,2.86%,1.03%,1.73%,4.72%,5.62%,6.83%,4.55%,4.19%,-7.50%,-19.46%,-19.47%,-22.21%,-10.04%,-0.64%,-0.62%,-7.05%
