Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+60 Quarters
Market Capitalization,131,183,206,202,188,209,220,209,202,184,148,120,115,120,197,184,184,173,157,226,222,217,200,206,190,182,135,117,106,104,109,105,103,104,102,95,97,96,89,82,74,Upgrade
Market Cap Growth,-,-12.34%,-6.42%,-3.39%,-6.87%,13.42%,48.58%,74.68%,75.31%,53.12%,-24.90%,-34.98%,-37.59%,-30.55%,25.72%,-18.72%,-16.85%,-20.13%,-21.57%,9.74%,16.35%,18.77%,47.88%,75.93%,80.39%,75.43%,23.73%,11.42%,2.88%,-0.48%,7.45%,10.30%,6.28%,9.17%,15.05%,16.17%,31.22%,26.40%,37.39%,25.54%,7.90%,Upgrade
Enterprise Value,240,292,419,269,153,119,49,94,142,152,136,105,68,96,186,183,154,133,142,223,230,279,288,243,210,185,172,172,136,105,119,97,86,66,130,118,107,81,80,53,36,Upgrade
PE Ratio,5.65,7.80,9.21,9.08,8.04,8.72,9.16,8.65,9.27,11.58,13.19,13.35,12.00,8.90,11.61,10.39,10.62,10.33,9.60,17.55,18.74,20.34,19.11,17.44,18.45,18.80,16.37,15.25,13.23,13.59,13.96,12.54,12.55,12.93,12.44,12.64,12.52,11.88,11.27,9.88,9.20,Upgrade
PS Ratio,1.44,2.01,2.30,2.23,2.04,2.24,2.37,2.31,2.36,2.29,2.04,1.75,1.70,1.79,2.82,2.67,2.78,2.72,2.54,3.78,3.85,3.93,3.69,3.94,3.85,3.81,2.99,2.62,2.33,2.32,2.47,2.55,2.55,2.61,2.54,2.27,2.40,2.40,2.27,2.09,1.82,Upgrade
PB Ratio,0.83,1.16,1.34,1.35,1.15,1.23,1.20,1.17,1.15,1.10,0.88,0.73,0.71,0.81,1.33,1.27,1.30,1.29,1.19,1.80,1.79,1.81,1.69,1.76,1.65,1.62,1.40,1.23,1.11,1.13,1.20,1.17,1.16,1.21,1.19,1.14,1.16,1.19,1.10,1.04,0.95,Upgrade
Debt / Equity Ratio,0.79,0.79,1.53,0.59,0.39,0.41,0.40,0.43,0.47,0.50,0.51,0.55,0.46,0.19,0.19,0.23,0.21,0.21,0.19,0.19,0.21,0.69,0.92,0.46,0.31,0.29,0.51,0.78,0.44,0.37,0.35,0.36,0.37,0.25,0.45,0.42,0.37,0.39,0.42,0.44,0.45,Upgrade
Dividend Yield,5.42%,1.98%,-,1.76%,-,1.65%,-,1.58%,-,1.78%,-,2.62%,-,2.41%,-,1.41%,-,1.48%,-,1.00%,-,1.04%,-,0.95%,-,1.04%,-,1.41%,-,1.58%,-,1.47%,-,1.48%,-,1.52%,-,1.39%,-,1.34%,-,Upgrade
Payout Ratio,30.40%,61.70%,0.00%,60.40%,0.00%,72.10%,0.00%,46.90%,0.00%,67.40%,0.00%,65.90%,0.00%,1450.00%,0.00%,49.50%,0.00%,67.50%,0.00%,46.50%,0.00%,66.70%,0.00%,51.30%,0.00%,58.80%,0.00%,73.10%,0.00%,95.00%,0.00%,61.00%,0.00%,80.00%,0.00%,61.80%,0.00%,64.60%,0.00%,44.10%,0.00%,Upgrade
Buyback Yield / Dilution,1.29%,1.29%,-0.05%,-0.54%,-1.11%,-1.54%,-1.92%,-2.11%,-4.56%,-9.44%,-8.60%,-8.35%,-5.97%,-1.21%,-1.34%,-0.93%,-0.42%,-0.41%,-1.50%,-0.90%,-1.06%,-3.26%,-10.52%,-12.25%,-12.31%,-9.91%,-2.05%,-1.30%,-0.86%,-0.85%,-1.07%,-1.07%,-1.45%,-0.18%,-0.60%,-0.66%,-0.68%,-1.74%,-1.91%,-1.33%,-1.50%,Upgrade
Total Shareholder Return,6.72%,3.27%,-0.05%,1.21%,-1.11%,0.11%,-1.92%,-0.52%,-4.56%,-7.66%,-8.60%,-5.73%,-5.97%,1.20%,-1.34%,0.48%,-0.42%,1.07%,-1.50%,0.11%,-1.06%,-2.22%,-10.52%,-11.30%,-12.31%,-8.87%,-2.05%,0.11%,-0.86%,0.73%,-1.07%,0.40%,-1.45%,1.30%,-0.60%,0.86%,-0.68%,-0.36%,-1.91%,0.01%,-1.50%,Upgrade
