Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Market Capitalization,"1,327","2,956","2,917","3,049","2,783","3,084","4,052","3,319","2,563","2,606","2,375","1,978","1,097",669,996,-,-,-,-,-,-
Market Cap Growth,-,-4.16%,-28.01%,-8.12%,8.57%,18.31%,70.63%,67.78%,133.60%,289.66%,138.46%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"2,494","4,151","4,091","4,225","3,913","3,862","4,807","3,561","2,790","2,869","2,614","2,021","1,119",673,965,176,154,-,65,-,21
PE Ratio,-37.52,-37.52,-69.83,-191.42,-640.00,-133.60,-132.22,-181.28,-306.47,-1402.84,-151.29,-140.90,-101.87,-93.14,-115.13,-,-,-,-,-,-
PS Ratio,1.22,2.77,2.97,3.41,3.61,4.69,7.14,6.95,6.28,7.68,9.86,9.52,6.08,4.13,7.23,-,-,-,-,-,-
PB Ratio,2.14,4.87,4.80,4.68,4.21,4.82,6.66,5.76,6.66,6.70,6.46,8.85,4.89,8.08,13.59,-,-,-,-,-,-
Debt / Equity Ratio,2.28,2.28,2.31,2.19,2.14,1.60,1.61,1.15,1.31,0.99,1.04,0.45,1.01,0.73,0.55,-0.94,-1.32,-,-1.14,-,-0.60
Current Ratio,1.01,1.01,1.11,1.24,1.27,1.20,1.07,1.72,1.38,1.33,1.39,1.28,2.15,1.60,1.83,1.04,1.09,-,1.16,-,0.69
Buyback Yield / Dilution,0.01%,0.01%,13.36%,-23.33%,-34.00%,-28.25%,-102.22%,-40.33%,-118.70%,-131.04%,-51.68%,44.45%,65.72%,67.31%,69.93%,-,-,-,-,-,-
Total Shareholder Return,0.01%,0.01%,13.36%,-23.33%,-34.00%,-28.25%,-102.22%,-40.33%,-118.70%,-131.04%,-51.68%,44.45%,65.72%,67.31%,69.93%,-,-,-,-,-,-
