Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Market Capitalization,"15,680","17,882","13,795","12,415","14,480","21,906","27,776","31,876","38,417","45,821","40,126","39,550",-,-,-,-,-,-,-
Market Cap Growth,-,-18.37%,-50.34%,-61.05%,-62.31%,-52.19%,-30.78%,-19.40%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"25,119","27,092","21,711","21,743","26,818","32,208","44,826","51,801","59,207","61,877","60,026","60,222","16,930","13,032","13,748",-,-,-,"6,477"
PE Ratio,-692.73,-692.73,297.16,110.76,80.22,91.96,90.12,79.65,100.36,142.46,202.71,683.04,-,-,-,-,-,-,-
PS Ratio,4.15,4.66,2.36,1.56,1.48,1.98,2.15,2.13,2.33,2.43,2.56,3.07,-,-,-,-,-,-,-
PB Ratio,27.63,31.06,23.92,22.23,27.09,40.03,41.73,45.24,61.40,82.48,81.81,119.60,-,-,-,-,-,-,-
Debt / Equity Ratio,17.66,17.66,15.10,18.30,24.92,23.19,28.94,31.66,36.51,34.20,44.76,73.31,3.39,4.21,4.33,-,-,-,2.73
Dividend Yield,-,-,-,-,9.11%,-,-,-,0.30%,-,-,-,-,-,-,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,229.50%,0.00%,0.00%,0.00%,103.70%,0.00%,0.00%,-,-,-,-,-,-,-
Buyback Yield / Dilution,0.04%,0.04%,0.99%,1.01%,0.98%,-1519.01%,-1611.51%,-1773.45%,93.14%,94.17%,93.51%,-,-,-,-,-,-,-,-
Total Shareholder Return,0.04%,0.04%,0.99%,1.01%,0.98%,-1509.90%,-1611.51%,-1773.45%,93.14%,94.47%,93.51%,-,-,-,-,-,-,-,-
