Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30
Market Capitalization,119,159,174,167,176,193,183,185,181,172,-,-,-,-,-,-,-
Market Cap Growth,-,-17.85%,-5.12%,-10.02%,-2.57%,12.14%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,150,189,225,211,214,157,158,92,57,35,-45,-14,-16,-,-,-,19
PE Ratio,37.56,47.45,43.58,40.61,41.51,50.57,45.05,43.39,47.77,94.72,-,-,-,-,-,-,-
PS Ratio,4.67,6.17,6.60,6.51,7.01,7.93,7.65,7.67,7.61,7.55,-,-,-,-,-,-,-
PB Ratio,0.69,0.91,0.97,0.92,0.92,0.94,0.86,0.87,0.83,0.80,-,-,-,-,-,-,-
Debt / Equity Ratio,0.29,0.29,0.40,0.35,0.39,0.11,0.17,0.17,0.22,0.21,0.45,0.46,0.72,-,-,-,0.70
Dividend Yield,1.30%,-,0.25%,0.26%,0.26%,0.24%,-,2.46%,-,-,-,-,-,-,-,-,-
Payout Ratio,36.00%,0.00%,37.50%,37.50%,37.50%,50.00%,0.00%,375.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,7.55%,7.55%,5.44%,3.38%,0.90%,0.00%,0.00%,0.00%,-,-,-,-,-,-,-,-,-
Total Shareholder Return,8.83%,7.55%,5.68%,3.64%,1.16%,0.24%,0.00%,2.46%,-,-,-,-,-,-,-,-,-
