Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Market Capitalization,98,111,109,111,118,124,127,126,120,120,108,103,118,104,164,151,129,129,134,167,186,127,123,119,106,116,105,95,87,81,93,86,81,80,87,53,52,-,-
Market Cap Growth,-,-10.16%,-14.40%,-11.89%,-2.15%,2.91%,18.03%,22.59%,2.28%,15.21%,-34.04%,-31.77%,-8.80%,-19.04%,22.06%,-9.70%,-30.71%,1.37%,9.40%,40.61%,75.56%,9.94%,16.25%,24.39%,22.04%,43.39%,13.05%,10.90%,7.29%,0.29%,6.92%,63.00%,55.31%,-,-,-,-,-,-
Enterprise Value,9,22,28,24,86,57,65,1,-7,-58,-4,44,40,72,128,109,129,100,132,176,233,230,166,124,127,129,146,142,133,119,142,114,97,118,137,40,48,-,3
PE Ratio,7.96,9.00,9.70,7.91,9.72,10.51,11.02,16.42,-10.29,-14.04,-10.15,-11.38,9.73,8.57,11.43,12.49,12.14,14.96,19.02,27.85,32.28,19.27,17.66,15.65,14.94,15.98,13.92,13.06,11.05,9.88,11.08,10.25,11.56,14.61,20.34,14.00,12.50,-,-
PS Ratio,1.93,2.19,2.23,2.07,2.26,2.17,2.22,2.42,2.35,2.38,2.28,2.19,2.42,2.16,3.21,3.00,2.60,2.70,3.09,4.20,5.11,3.68,3.51,3.37,3.06,3.33,3.06,2.83,2.53,2.36,2.68,2.50,2.65,3.00,3.85,2.67,2.67,-,-
PB Ratio,0.84,0.95,0.99,1.04,1.03,1.01,0.96,0.96,0.91,0.90,0.80,0.77,0.77,0.69,1.08,1.02,0.89,0.91,0.98,1.25,1.39,1.38,1.32,1.27,1.15,1.28,1.18,1.06,0.97,0.91,1.07,1.00,0.96,0.96,1.07,1.18,1.17,-,-
Debt / Equity Ratio,0.13,0.13,0.21,0.33,0.44,0.47,0.43,0.37,0.34,0.38,0.36,0.40,0.35,0.30,0.29,0.31,0.31,0.34,0.37,0.41,0.53,1.26,0.69,0.53,0.54,0.54,0.62,0.68,0.66,0.57,0.70,0.50,0.61,0.63,0.75,0.43,0.40,-,0.43
Dividend Yield,5.11%,1.15%,1.12%,1.11%,1.05%,1.01%,1.00%,1.03%,1.08%,1.09%,1.20%,1.26%,1.10%,1.25%,0.80%,0.87%,1.01%,1.01%,0.94%,0.72%,0.60%,0.72%,0.74%,0.76%,0.85%,0.78%,0.85%,0.94%,1.03%,1.11%,0.96%,0.99%,1.06%,1.06%,0.63%,-,-,-,-
Payout Ratio,40.20%,30.90%,29.60%,31.20%,1200.00%,40.70%,18.50%,64.90%,-600.00%,46.20%,42.10%,-7.50%,44.40%,171.40%,27.90%,34.80%,43.60%,44.40%,50.00%,52.40%,115.80%,66.70%,64.70%,44.00%,50.00%,52.40%,44.00%,57.90%,45.80%,44.00%,51.20%,40.40%,38.20%,37.50%,38.90%,0.00%,0.00%,0.00%,42.00%
Buyback Yield / Dilution,2.01%,2.01%,3.91%,5.04%,5.07%,3.97%,1.79%,0.10%,-0.71%,0.37%,0.64%,1.16%,0.94%,-0.10%,0.29%,0.33%,-7.57%,-31.86%,-32.13%,-33.30%,-23.30%,-0.88%,-0.94%,-0.52%,-0.51%,-0.40%,-0.43%,-0.39%,-0.33%,-0.26%,-54.57%,-73.38%,-73.09%,-72.89%,-6.19%,5.18%,4.96%,-,-
Total Shareholder Return,7.12%,3.16%,5.03%,6.14%,6.12%,4.99%,2.78%,1.12%,0.37%,1.45%,1.84%,2.42%,2.04%,1.16%,1.09%,1.20%,-6.55%,-30.85%,-31.20%,-32.58%,-22.70%,-0.16%,-0.20%,0.24%,0.35%,0.38%,0.42%,0.55%,0.71%,0.86%,-53.61%,-72.38%,-72.04%,-71.82%,-5.56%,5.18%,4.96%,-,-
