Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Market Capitalization,"8,596","9,186","10,620","9,898","9,933","12,041","13,272","12,221","13,041","14,207","11,379","8,197","8,691","6,707","12,126","10,884","10,265","10,497","9,288","12,033","11,562",-,-,-,-,-,-
Market Cap Growth,-,-23.71%,-19.98%,-19.01%,-23.83%,-15.25%,16.63%,49.09%,50.05%,111.83%,-6.15%,-24.68%,-15.33%,-36.10%,30.55%,-9.55%,-11.22%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"8,178","8,852","10,048","9,677","8,312","9,861","11,702","11,086","10,873","10,344","7,875","1,758","2,558","-1,404","10,737","10,249","9,273","9,055","9,177","12,699","10,212",-309,"2,278",-,-,-,"1,502"
PE Ratio,6.79,7.02,6.23,3.66,3.20,8.03,-25.62,-6.10,-3.78,-1.87,-16.23,-21.02,334.27,1.52,-6.87,9.17,9.64,12.12,5.01,32.97,13.28,-,-,-,-,-,-
PS Ratio,0.68,0.74,0.76,0.68,0.65,0.92,1.20,1.48,2.02,14.82,0.92,0.60,0.59,0.33,1.26,0.83,0.93,0.96,0.77,1.22,1.00,-,-,-,-,-,-
PB Ratio,2.27,2.45,7.58,2.95,1.78,1.51,1.15,1.05,1.11,1.33,0.73,0.47,0.49,0.33,0.90,0.73,0.69,0.80,0.67,0.97,0.86,-,-,-,-,-,-
Debt / Equity Ratio,1.53,1.53,3.73,1.57,0.94,0.66,0.44,0.43,0.40,0.41,0.28,0.24,0.23,0.21,0.31,0.32,0.33,0.38,0.40,0.54,0.51,0.50,0.59,-,-,-,0.71
Dividend Yield,3.31%,0.79%,0.70%,0.76%,0.77%,0.59%,0.54%,0.61%,0.59%,0.52%,0.66%,0.93%,0.88%,1.04%,0.59%,0.68%,0.72%,0.64%,0.76%,0.61%,-,-,-,-,-,-,-
Payout Ratio,22.70%,44.40%,-9.50%,29.00%,4.50%,13.50%,34.60%,11.30%,78.30%,-4.90%,-6.10%,-9.60%,-1.90%,1.30%,-7.80%,-19.70%,20.30%,-8.70%,3.70%,-14.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,7.05%,7.05%,7.27%,9.12%,11.14%,9.79%,8.95%,7.35%,4.91%,6.32%,7.52%,8.75%,8.44%,10.52%,12.76%,12.46%,12.33%,7.66%,2.94%,0.14%,-0.02%,-,-,-,-,-,-
Total Shareholder Return,10.39%,7.84%,7.97%,9.88%,11.90%,10.37%,9.49%,7.96%,5.50%,6.84%,8.17%,9.68%,9.32%,11.56%,13.35%,13.14%,13.05%,8.31%,3.70%,0.75%,-0.02%,-,-,-,-,-,-
