Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,50,40,167,162,391,667,633,703,"1,323",451,338,-,-,-,-
Market Cap Growth,-,-93.95%,-73.64%,-76.91%,-70.48%,47.93%,87.53%,-,-,-,-,-,-,-,-
Enterprise Value,4,-2,156,133,357,633,582,670,"1,299",427,318,0,-,-,-20
PE Ratio,-0.12,-0.12,-0.53,-0.38,-2.31,-3.96,-4.17,-,-,-,31.77,-,-,-,-
PS Ratio,0.52,0.45,1.69,1.29,3.27,5.75,5.62,-,-,-,4.85,-,-,-,-
PB Ratio,0.21,0.18,0.68,0.57,0.71,1.21,1.13,1.05,-1.56,-0.57,-0.54,-,-,-,-
Debt / Equity Ratio,0.17,0.17,0.17,0.15,0.07,0.07,0.08,0.06,-0.05,-0.04,-0.05,2.97,-,-,-0.35
Current Ratio,-,-,-,-,-,-,-,-,-,-,2.64,-,-,-,-
Buyback Yield / Dilution,-0.38%,-0.38%,-53.99%,36.65%,36.08%,-96.64%,-100.67%,-1997.42%,-,-,-,-,-,-,-
Total Shareholder Return,-0.38%,-0.38%,-53.99%,36.65%,36.08%,-96.64%,-100.67%,-1997.42%,-,-,-,-,-,-,-
