Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+66 Quarters
Market Capitalization,"14,644","14,019","12,974","10,343","11,054","11,836","10,784","9,999","10,101","9,910","9,356","7,896","8,245","7,853","11,290","10,841","10,069","8,784","8,852","9,334","9,445","10,488","9,087","9,379","10,456","9,564","8,845","7,958","7,734","8,429","7,888","7,660","8,087","7,738","7,706","7,367","7,400","7,251","7,467","7,071","6,410",Upgrade
Market Cap Growth,-,18.45%,20.31%,3.44%,9.43%,19.43%,15.27%,26.64%,22.51%,26.19%,-17.13%,-27.16%,-18.11%,-10.60%,27.55%,16.14%,6.60%,-16.25%,-2.59%,-0.47%,-9.67%,9.66%,2.74%,17.86%,35.19%,13.47%,12.13%,3.89%,-4.36%,8.93%,2.37%,3.97%,9.29%,6.73%,3.20%,4.19%,15.45%,9.27%,31.33%,27.56%,17.42%,Upgrade
Enterprise Value,"16,337","15,494","14,660","11,748","12,027","13,146","12,432","10,842","10,906","10,688","10,464","7,668","7,944","7,718","11,116","10,757","10,041","8,834","8,829","9,328","9,459","10,421","9,085","9,426","10,620","9,729","8,996","8,155","7,938","8,739","8,237","7,897","8,386","7,978","7,906","7,853","7,946","7,354","7,343","6,969","6,499",Upgrade
PE Ratio,22.50,21.09,21.73,19.42,14.20,8.86,7.82,9.88,7.60,11.81,18.20,11.82,15.57,11.70,11.18,26.67,20.12,36.98,99.41,8.78,41.86,26.13,18.82,34.54,8.67,8.57,8.88,8.12,10.00,10.20,8.07,7.97,7.05,6.30,6.43,6.02,6.25,6.20,5.93,7.42,6.61,Upgrade
PS Ratio,1.19,1.13,1.08,0.87,0.94,0.99,0.91,0.87,0.90,0.96,0.98,0.87,0.97,0.95,1.37,1.39,1.31,1.16,1.20,1.25,1.30,1.52,1.37,1.48,1.70,1.58,1.53,1.40,1.40,1.54,1.39,1.38,1.40,1.33,1.36,1.27,1.31,1.31,1.32,1.31,1.23,Upgrade
PB Ratio,1.65,1.56,1.54,1.35,1.25,1.24,1.06,1.00,0.97,1.02,0.96,0.82,0.89,0.92,1.24,1.21,1.13,1.04,1.13,1.12,1.15,1.26,1.09,1.18,1.22,1.15,1.10,0.99,0.97,1.08,1.04,1.02,1.05,1.01,1.03,1.00,1.01,1.03,1.07,1.05,0.97,Upgrade
Debt / Equity Ratio,0.34,0.34,0.37,0.40,0.35,0.32,0.30,0.19,0.18,0.20,0.20,0.07,0.07,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.09,0.12,0.12,0.07,0.07,0.07,0.08,Upgrade
Dividend Yield,1.77%,0.46%,0.50%,0.63%,0.59%,0.51%,0.57%,0.62%,0.62%,0.63%,0.66%,0.78%,0.75%,0.81%,0.56%,0.53%,0.57%,0.65%,0.64%,0.57%,0.56%,0.51%,0.59%,0.55%,0.49%,0.53%,0.58%,0.61%,0.63%,0.58%,0.63%,0.55%,0.52%,0.55%,0.56%,0.46%,0.47%,0.49%,0.48%,0.33%,0.37%,Upgrade
Payout Ratio,39.20%,17.70%,13.10%,-20.10%,53.10%,20.50%,14.20%,-82.40%,9.10%,18.20%,96.30%,25.50%,32.40%,378.00%,29.10%,54.70%,17.10%,16.10%,-14.80%,26.70%,76.00%,25.30%,9.10%,-7.90%,20.90%,17.60%,13.80%,16.20%,31.10%,28.50%,13.90%,47.00%,20.10%,13.10%,12.60%,12.40%,11.90%,12.00%,9.90%,9.90%,8.60%,Upgrade
Buyback Yield / Dilution,0.29%,0.29%,0.52%,1.16%,1.61%,1.80%,1.49%,0.25%,-0.24%,2.01%,2.00%,1.89%,1.83%,-0.34%,-0.33%,0.28%,0.60%,0.40%,1.03%,0.51%,0.22%,0.16%,-0.48%,1.97%,3.00%,4.19%,5.13%,5.21%,4.71%,4.00%,4.78%,2.82%,3.64%,6.12%,5.54%,6.48%,7.74%,7.29%,7.36%,6.17%,5.25%,Upgrade
Total Shareholder Return,2.04%,0.75%,1.02%,1.79%,2.20%,2.31%,2.06%,0.87%,0.37%,2.64%,2.66%,2.67%,2.58%,0.47%,0.23%,0.81%,1.17%,1.05%,1.67%,1.08%,0.78%,0.67%,0.11%,2.52%,3.49%,4.72%,5.70%,5.81%,5.34%,4.58%,5.41%,3.37%,4.16%,6.67%,6.10%,6.95%,8.21%,7.78%,7.84%,6.50%,5.63%,Upgrade
