Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31
Market Capitalization,151,198,198,178,173,187,194,198,193,194,159,124,136,157,213,196,200,215,186,204,221,227,226,189,159,140,129,125,121,121,126,124,123,123
Market Cap Growth,-,6.41%,2.15%,-10.03%,-10.20%,-4.09%,21.93%,59.03%,41.79%,23.62%,-25.34%,-36.63%,-31.88%,-26.83%,14.34%,-3.81%,-9.59%,-5.23%,-17.48%,7.80%,39.03%,61.93%,74.62%,51.20%,31.06%,15.43%,2.63%,1.07%,-1.84%,-1.04%,-,-,-,-
Enterprise Value,93,225,155,181,174,188,201,71,131,188,101,106,82,124,156,186,184,363,271,197,241,224,143,162,192,235,222,125,121,-,126,124,123,123
PE Ratio,5.83,8.14,6.91,6.37,6.84,7.74,7.84,8.33,8.73,10.02,9.69,8.76,10.88,12.96,15.72,13.19,17.77,234.71,12.30,13.75,15.18,15.84,33.07,14.87,13.06,11.34,10.71,10.30,10.02,10.95,11.50,10.31,11.14,12.27
PS Ratio,2.04,11.00,10.30,9.16,9.95,11.04,11.10,11.33,11.51,12.45,10.79,8.84,10.56,13.12,19.01,16.55,18.00,20.10,17.08,19.14,20.27,21.24,20.26,17.04,15.89,14.40,12.92,12.87,11.89,12.00,12.28,12.82,13.01,13.23
PB Ratio,0.67,0.88,0.90,0.84,0.82,0.87,0.90,0.92,0.91,0.91,0.76,0.61,0.67,0.79,1.09,1.01,1.05,1.15,1.01,1.14,1.25,1.32,1.34,1.13,1.42,1.30,1.25,1.23,1.23,0,1.38,1.39,1.47,1.50
Debt / Equity Ratio,6.04,6.04,6.29,6.54,6.69,6.87,6.79,6.76,6.68,6.93,6.68,6.55,6.88,6.16,6.43,6.14,6.19,5.97,5.79,5.88,6.05,5.90,6.13,5.71,8.45,8.73,8.92,8.93,9.20,0,10.09,10.51,11.20,10.68
Current Ratio,6.23,6.23,86.71,155.99,191.55,174.70,112.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asset Turnover,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,
Return on Equity (ROE),2.71%,3.27%,3.28%,2.99%,2.82%,2.85%,2.75%,2.60%,2.28%,1.96%,1.73%,1.54%,1.52%,1.73%,1.92%,1.48%,0.12%,2.06%,2.06%,2.07%,2.09%,1.01%,1.91%,2.72%,2.88%,2.92%,2.99%,3.06%,0.00%,3.00%,3.38%,3.31%,3.05%,
Return on Assets (ROA),0.38%,0.45%,0.44%,0.39%,0.36%,0.37%,0.36%,0.34%,0.29%,0.26%,0.23%,0.20%,0.21%,0.23%,0.27%,0.21%,0.02%,0.30%,0.30%,0.29%,0.30%,0.14%,0.28%,0.29%,0.30%,0.29%,0.30%,0.30%,0.00%,0.27%,0.29%,0.27%,0.26%,
Return on Capital (ROIC),0.59%,0.59%,0.51%,0.46%,0.43%,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.27%,0.29%,0.27%,0.26%,
Earnings Yield,17.54%,3.07%,3.62%,3.92%,3.65%,3.23%,3.19%,3.00%,2.87%,2.49%,2.58%,2.85%,2.30%,1.93%,1.59%,1.90%,1.41%,0.11%,2.03%,1.82%,1.65%,1.58%,0.76%,1.68%,1.91%,2.21%,2.33%,2.43%,2.49%,2.28%,2.17%,2.43%,2.24%,2.04%
