Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Market Capitalization,412,476,590,520,530,636,546,554,588,618,402,291,347,425,703,635,643,579,530,760,810,749,620,605,529,535,558,390,335,-,-
Market Cap Growth,-,-25.12%,8.03%,-6.08%,-9.76%,2.90%,35.91%,90.30%,69.37%,45.39%,-42.87%,-54.15%,-46.05%,-26.55%,32.73%,-16.49%,-20.58%,-22.76%,-14.63%,25.63%,52.97%,40.00%,11.22%,55.01%,58.14%,-,-,-,-,-,-
Enterprise Value,937,"1,001","1,081",815,802,873,441,597,878,818,"1,139",813,831,845,"1,124","1,165","1,247","1,240","1,223","1,457","1,468","1,278","1,199","1,164",866,783,828,630,526,78,34
PE Ratio,4.48,5.03,6.15,5.83,6.22,7.61,6.71,8.32,12.48,15.63,17.82,10.78,8.76,9.81,12.61,10.71,11.68,11.25,13.48,30.48,43.81,80.97,38.84,23.63,16.73,15.33,17.68,14.11,14.52,-,-
PS Ratio,1.33,1.53,1.93,1.81,1.88,2.28,1.99,2.17,2.39,2.62,1.86,1.32,1.52,1.83,2.83,2.52,2.59,2.32,2.18,3.45,3.86,3.95,3.46,3.19,2.95,3.00,3.25,2.50,2.26,-,-
PB Ratio,0.53,0.61,0.78,0.70,0.83,0.99,0.82,0.84,0.91,0.97,0.65,0.47,0.55,0.67,1.06,0.97,1.00,0.93,0.87,1.28,1.37,1.28,1.38,1.34,1.17,1.60,1.73,1.21,1.06,-,-
Debt / Equity Ratio,0.85,0.85,0.86,0.82,0.85,0.88,0.87,1.07,1.10,1.31,1.74,1.58,1.59,1.38,1.23,1.43,1.33,1.50,1.49,1.58,1.58,1.47,1.77,1.65,1.48,1.40,1.43,1.45,0.99,1.01,1.06
Dividend Yield,6.31%,1.42%,1.11%,1.25%,1.22%,1.02%,1.15%,1.14%,1.08%,1.02%,1.51%,2.11%,1.80%,1.55%,0.85%,0.95%,0.91%,1.01%,1.01%,0.70%,0.66%,0.63%,0.64%,0.65%,0.65%,0.61%,0.52%,0.73%,-,-,-
Payout Ratio,28.00%,34.90%,22.10%,27.90%,29.90%,31.50%,27.50%,32.60%,31.80%,34.60%,74.40%,-,50.60%,446.70%,46.50%,47.60%,36.10%,41.70%,31.90%,62.90%,41.50%,275.00%,250.00%,200.00%,95.20%,37.00%,23.70%,35.30%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.68%,-0.68%,-0.60%,0.83%,1.40%,1.01%,1.33%,1.57%,2.84%,7.99%,8.58%,7.08%,3.96%,-1.38%,-2.31%,-1.47%,-0.14%,-13.36%,-22.66%,-23.45%,-40.12%,-30.58%,-23.33%,-24.25%,-27.03%,-33.71%,-32.13%,-30.73%,-12.70%,-1.36%,-
Total Shareholder Return,5.63%,0.74%,0.51%,2.08%,2.62%,2.03%,2.48%,2.71%,3.92%,9.01%,10.09%,9.19%,5.77%,0.17%,-1.45%,-0.53%,0.77%,-12.35%,-21.65%,-22.75%,-39.46%,-29.95%,-22.69%,-23.60%,-26.37%,-33.10%,-31.62%,-30.00%,-12.70%,-1.36%,-
