Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
Market Capitalization,"1,333","1,181","1,125","1,099",931,"1,087","1,562","1,163","1,104",927,566,452,283,181,359,423,456,508,478,609,589,581,657,727,753,629,749,-,-,-,-,-,-
Market Cap Growth,-,8.61%,-28.00%,-5.57%,-15.69%,17.35%,175.86%,157.43%,289.73%,413.27%,57.71%,6.95%,-37.89%,-64.44%,-24.94%,-30.64%,-22.52%,-12.64%,-27.16%,-16.14%,-21.81%,-7.61%,-12.33%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,579","1,428","1,305","1,328","1,201","1,330","1,689","1,332","1,370","1,187",794,758,656,567,696,818,929,983,794,950,"1,063","1,048","1,063","1,183","1,271","1,224","1,300",584,-,-,23,-,48
PE Ratio,15.51,12.85,10.97,9.37,6.64,7.93,10.71,13.77,22.36,178.18,-21.87,26.74,11.57,4.19,9.55,14.28,7.25,7.87,6.50,11.97,71.81,71.74,67.71,22.29,20.08,11.44,12.68,-,-,-,-,-,-
PS Ratio,1.62,1.44,1.35,1.22,0.97,1.13,1.57,1.20,1.18,1.01,0.63,0.52,0.33,0.21,0.41,0.48,0.50,0.54,0.50,0.62,0.59,0.59,0.65,0.73,0.75,0.62,0.76,-,-,-,-,-,-
PB Ratio,4.01,3.55,3.41,3.31,2.73,3.07,4.14,3.24,3.46,3.36,2.29,1.63,1.05,0.68,1.34,1.59,1.83,2.23,2.12,2.63,3.26,3.60,4.40,4.18,4.52,5.05,6.74,-,-,-,-,-,-
Debt / Equity Ratio,0.83,0.83,0.65,0.72,0.84,0.72,0.48,0.81,0.96,1.08,1.22,1.25,1.52,1.48,1.32,1.61,1.93,2.13,1.60,1.71,2.69,2.96,3.07,2.81,3.16,4.88,5.28,7.18,-,-,0.06,-,0.22
Current Ratio,1.32,1.32,1.02,1.13,1.35,1.30,1.07,1.24,1.39,1.28,1.12,1.43,1.65,1.38,1.18,1.39,1.50,1.33,1.25,1.50,1.83,1.66,1.44,1.57,1.71,1.86,1.77,1.79,-,-,1.54,-,1.44
Buyback Yield / Dilution,11.34%,11.34%,15.14%,10.95%,6.09%,0.29%,-10.12%,-1.46%,-1.47%,-0.58%,2.89%,0.29%,0.58%,-0.88%,-1.76%,-0.29%,-0.59%,-0.29%,-1.19%,-1.18%,-3.34%,-3.35%,1.18%,-4.32%,-1.54%,-1.23%,-4.94%,-,-,-,-,-,-
Total Shareholder Return,11.34%,11.34%,15.14%,10.95%,6.09%,0.29%,-10.12%,-1.46%,-1.47%,-0.58%,2.89%,0.29%,0.58%,-0.88%,-1.76%,-0.29%,-0.59%,-0.29%,-1.19%,-1.18%,-3.34%,-3.35%,1.18%,-4.32%,-1.54%,-1.23%,-4.94%,-,-,-,-,-,-
