Metrics,Current,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-09-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-01-01
Market Capitalization,"3,706",340,285,779,"1,501","1,621","1,719","2,044","2,076",-,-,-,-,-
Market Cap Growth,-,-79.04%,-83.43%,-61.90%,-27.71%,-,-,-,-,-,-,-,-,-
Enterprise Value,"3,599",222,288,775,"1,492","1,598","1,457","1,797","1,807",-439,-225,-,-62,-54
PE Ratio,1.73,2.39,1.76,5.54,11.20,11.85,-,16.99,-,-,-,-,-,-
PS Ratio,20.98,1.92,1.51,4.35,10.53,11.15,-,8.64,-,-,-,-,-,-
PB Ratio,5.01,0.46,0.32,1.52,1.38,1.59,1.77,2.33,2.72,-,-,-,-,-
Debt / Equity Ratio,0.03,0.03,0.02,0.13,0.04,0.04,0.04,0.06,0.05,0.08,0.12,-,0.16,1.90
Current Ratio,13.95,13.95,9.06,5.03,13.21,12.13,13.61,7.63,7.97,2.09,1.89,-,1.86,1.14
Buyback Yield / Dilution,-53.74%,-53.74%,-,-6.48%,-6.48%,-6.48%,-6.48%,-,-,-,-,-,-,-
Total Shareholder Return,-53.74%,-53.74%,-,-6.48%,-6.48%,-6.48%,-6.48%,-,-,-,-,-,-,-
