Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Market Capitalization,101,111,153,160,156,221,203,178,179,168,160,102,130,116,195,189,179,172,168,177,185,198,193,203,190,188,202,175,165,169,185,162,163,163,-,-,-,-,-,-,-
Market Cap Growth,-,-49.67%,-24.54%,-10.33%,-12.98%,31.42%,26.85%,74.74%,38.46%,45.58%,-17.96%,-46.07%,-27.46%,-32.80%,15.87%,6.93%,-3.43%,-13.08%,-12.97%,-13.00%,-2.93%,4.98%,-4.60%,15.86%,15.33%,11.73%,9.13%,8.19%,1.09%,3.12%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,345,352,394,351,319,325,197,203,229,160,206,161,194,159,260,220,282,282,279,275,289,298,302,292,245,254,247,222,224,235,238,215,209,213,-48,64,87,-,-,-,78
PE Ratio,5.73,6.80,9.77,10.87,10.69,14.63,13.14,12.63,13.18,13.36,15.44,11.67,17.10,15.04,21.59,21.19,21.41,22.07,23.64,36.39,39.27,46.03,39.08,32.58,37.22,36.53,52.00,51.38,41.37,46.89,-37.99,-34.43,-32.09,-31.59,-,-,-,-,-,-,-
PS Ratio,1.30,1.39,1.94,2.07,2.04,2.96,2.79,2.61,2.78,2.80,2.92,2.05,2.81,2.62,4.40,4.34,4.19,4.10,4.04,4.37,4.60,5.02,4.90,5.31,5.21,5.20,5.92,5.13,4.95,5.34,6.07,5.69,5.92,6.05,-,-,-,-,-,-,-
PB Ratio,0.63,0.68,0.95,1.00,0.94,1.24,1.06,0.95,0.95,0.92,0.86,0.56,0.74,0.69,1.10,1.07,1.01,0.99,0.98,1.03,1.07,1.14,1.09,1.14,1.07,1.06,1.14,0.93,0.87,0.88,0.98,0.84,0.86,0.85,-,-,-,-,-,-,-
Debt / Equity Ratio,2.33,2.33,1.77,1.85,1.50,1.04,0.63,0.54,0.69,0.50,0.60,0.62,0.65,0.90,0.65,0.49,0.75,0.79,0.80,0.72,0.74,0.72,0.82,0.64,0.44,0.50,0.38,0.41,0.43,0.45,0.40,0.48,0.48,0.48,1.09,1.12,1.31,-,-,-,1.28
Dividend Yield,2.65%,0.61%,0.46%,0.43%,0.45%,0.32%,0.35%,0.34%,0.34%,0.36%,0.38%,0.51%,0.40%,0.46%,0.22%,0.17%,0.18%,0.19%,0.20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,15.60%,17.90%,10.40%,14.90%,25.90%,23.30%,13.00%,13.60%,18.80%,18.20%,15.80%,12.50%,23.80%,55.60%,16.70%,12.00%,14.30%,13.60%,14.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-,-,-,-,-,-
Buyback Yield / Dilution,3.32%,3.32%,0.77%,2.20%,2.11%,1.12%,2.03%,1.49%,2.01%,4.79%,4.66%,5.65%,5.09%,3.74%,5.22%,4.92%,5.09%,5.71%,4.34%,3.40%,4.14%,3.66%,8.70%,8.60%,6.83%,7.22%,1.02%,0.71%,1.05%,-,-,-,-,-,-,-,-,-,-,-,-
Total Shareholder Return,6.03%,3.93%,1.22%,2.63%,2.56%,1.44%,2.38%,1.83%,2.36%,5.15%,5.04%,6.16%,5.49%,4.20%,5.44%,5.10%,5.27%,5.90%,4.54%,3.40%,4.14%,3.66%,8.70%,8.60%,6.83%,7.22%,1.02%,0.71%,1.05%,-,-,-,-,-,-,-,-,-,-,-,-
