Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-03-31
Market Capitalization,"3,490","3,438","3,174","3,577","4,114","5,588","4,498","4,832","4,672","4,117","3,394","3,496","2,870","3,092","2,899","2,903","2,185","1,855","2,158","2,342","1,758","1,671","1,267","1,038",840,-,-,-,-,-
Market Cap Growth,-,-38.48%,-29.43%,-25.98%,-11.95%,35.72%,32.52%,38.22%,62.82%,33.17%,17.10%,20.42%,31.33%,66.62%,34.34%,23.93%,24.31%,11.03%,70.24%,125.68%,109.21%,-,-,-,-,-,-,-,-,-
Enterprise Value,"3,717","3,563","3,323","3,791","4,291","5,736","4,640","4,980","4,820","4,169","3,394","3,507","2,901","3,084","2,903","2,923","2,205","1,846","2,153","2,371","1,793","1,685","1,302","1,073",890,-,-,-,173,39
PE Ratio,24.99,37.42,23.68,23.64,28.18,32.50,29.35,39.30,47.67,52.18,57.33,66.35,47.18,64.11,72.13,80.40,65.09,47.55,79.16,113.04,101.37,375.11,117.74,170.83,1372.97,-,-,-,-,-
PS Ratio,6.95,6.65,6.59,8.43,11.18,15.11,12.40,13.77,13.68,13.04,11.34,12.53,10.47,11.71,11.07,11.45,8.66,7.06,8.24,9.20,7.20,7.84,6.66,5.38,4.67,-,-,-,-,-
PB Ratio,9.10,8.71,8.12,9.71,11.86,16.26,14.89,19.06,19.62,19.03,17.65,20.96,18.54,21.53,21.19,25.17,19.83,17.91,21.30,28.04,22.42,28.89,19.31,16.51,13.99,-,-,-,-,-
Debt / Equity Ratio,0.71,0.71,0.70,0.82,0.73,0.67,0.77,0.88,1.00,0.68,0.44,0.51,0.55,0.53,0.58,0.71,0.64,0.69,0.72,1.00,1.07,1.46,1.30,1.33,1.40,-,-,-,-1.97,1.92
Dividend Yield,2.47%,0.63%,0.67%,0.60%,0.45%,0.34%,0.41%,0.38%,0.35%,0.40%,0.48%,0.46%,0.50%,0.46%,0.48%,0.48%,0.49%,0.57%,0.48%,0.44%,0.47%,0.49%,0.65%,0.80%,-,-,-,-,-,-
Payout Ratio,59.60%,125.00%,40.80%,43.50%,92.10%,24.30%,24.80%,44.90%,30.30%,32.50%,47.30%,283.60%,38.20%,59.80%,49.10%,64.00%,66.20%,96.40%,43.30%,53.00%,24.00%,-50.00%,67.30%,58.30%,0.00%,-,-,-,-,-
Buyback Yield / Dilution,0.21%,0.21%,-0.41%,-0.40%,-0.89%,-2.23%,-0.91%,-2.19%,-1.69%,-1.69%,-3.27%,-2.00%,-3.48%,-3.44%,-4.44%,-4.19%,-6.19%,-6.20%,-3.23%,-3.45%,-165.44%,-4.92%,-4.88%,-4.88%,60.48%,-,-,-,-,-
Total Shareholder Return,2.69%,0.84%,0.26%,0.20%,-0.43%,-1.89%,-0.50%,-1.81%,-1.33%,-1.29%,-2.79%,-1.53%,-2.98%,-2.98%,-3.95%,-3.71%,-5.71%,-5.63%,-2.75%,-3.01%,-164.97%,-4.43%,-4.23%,-4.08%,60.48%,-,-,-,-,-
