Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Market Capitalization,894,977,853,618,746,"1,065","2,043","2,074","1,859","1,618","1,540","1,033","1,000",548,880,908,"1,048","1,248","1,136","1,330","1,552","1,735","1,838","1,637","1,705","1,734","1,742","1,671","1,605","1,616","1,848","1,859","2,144","2,237","1,949",-,-,-,-
Market Cap Growth,-,-8.26%,-58.27%,-70.22%,-59.87%,-34.16%,32.67%,100.73%,85.96%,195.52%,75.02%,13.86%,-4.62%,-56.12%,-22.51%,-31.76%,-32.48%,-28.06%,-38.20%,-18.74%,-8.94%,0.02%,5.48%,-2.06%,6.23%,7.30%,-5.71%,-10.08%,-25.17%,-27.74%,-5.18%,-,-,-,-,-,-,-,-
Enterprise Value,"1,169","1,248","1,081",894,"1,053","1,414","2,264","1,156","1,210","1,738","1,656","1,487","1,546","1,174","1,371","1,388","1,575","1,793","1,185","1,418","1,679","1,939","2,072","1,928","2,029","2,009","2,037","1,912","1,590","1,631","1,802","1,802","2,111","2,325","6,007","4,074",-,-,"5,173"
PE Ratio,10.41,11.01,8.48,5.65,2.32,1.29,2.47,2.10,2.34,5.76,5.37,6.60,5.14,2.69,3.93,5.07,6.65,9.47,8.33,20.59,52.98,43.26,437.58,20.91,18.21,14.82,13.78,12.11,11.55,10.63,11.88,12.16,18.45,29.59,37.69,-,-,-,-
PS Ratio,2.26,2.46,2.04,1.35,1.53,2.02,3.90,4.31,3.78,3.37,3.08,2.73,2.22,1.02,1.48,1.10,1.22,1.41,1.22,1.38,1.62,1.84,2.07,1.99,2.21,2.44,2.63,2.61,2.54,2.35,2.64,2.32,2.38,2.36,1.85,-,-,-,-
PB Ratio,-117.76,-117.76,-39.48,-11.21,-10.51,-10.88,-116.10,1.91,2.15,4.89,5.09,5.25,6.57,3.82,5.93,8.20,15.17,90.42,7.82,7.81,16.24,10.85,15.39,11.27,13.18,9.10,10.28,7.64,8.59,9.17,11.14,14.97,20.21,35.45,19.81,-,-,-,-
Debt / Equity Ratio,-52.72,-52.72,-16.17,-6.85,-5.63,-4.47,-26.85,0.47,0.61,1.73,1.62,2.97,4.41,5.29,4.13,5.47,9.12,45.64,2.72,2.40,4.27,2.46,3.64,2.93,3.15,2.06,2.34,1.79,0.27,0.48,0.54,0.56,1.37,3.38,43.97,84.83,-,-,-125.42
Dividend Yield,0.19%,0.04%,0.05%,0.07%,0.06%,0.04%,0.04%,0.04%,0.04%,0.05%,0.05%,0.08%,0.08%,3.11%,0.98%,0.99%,0.87%,0.78%,0.93%,0.80%,0.70%,0.57%,0.54%,0.60%,0.59%,0.53%,0.54%,0.57%,0.60%,0.59%,0.52%,0.52%,0.45%,0.43%,-,-,-,-,-
Payout Ratio,1.90%,3.40%,1.40%,2.30%,1.40%,1.90%,1.30%,0.30%,0.10%,2.90%,0.40%,2.20%,4.30%,52.60%,13.00%,11.90%,32.30%,18.50%,45.50%,19.60%,500.00%,17.30%,-20.90%,52.90%,75.00%,42.10%,38.10%,28.60%,26.70%,30.80%,25.80%,27.60%,19.50%,28.60%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,5.74%,5.74%,42.12%,49.04%,48.73%,44.96%,9.91%,-2.84%,-3.11%,3.29%,4.89%,10.11%,12.13%,12.99%,18.81%,15.49%,15.75%,10.77%,3.73%,2.92%,2.86%,4.20%,7.34%,8.35%,6.52%,4.67%,1.58%,0.66%,0.75%,0.33%,-0.42%,-0.42%,-0.42%,-0.33%,-,-,-,-,-
Total Shareholder Return,5.92%,5.78%,42.17%,49.11%,48.79%,45.00%,9.95%,-2.80%,-3.06%,3.34%,4.94%,10.19%,12.21%,16.09%,19.79%,16.48%,16.62%,11.55%,4.66%,3.72%,3.56%,4.76%,7.87%,8.96%,7.11%,5.19%,2.12%,1.24%,1.34%,0.93%,0.11%,0.10%,0.03%,0.10%,-,-,-,-,-
