Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
Market Capitalization,375,589,684,673,707,720,790,774,806,763,634,471,499,440,642,588,610,560,518,624,618,576,626,604,641,610,621,506,415,-,-,-,-,-,-
Market Cap Growth,-,-18.23%,-13.44%,-13.04%,-12.25%,-5.56%,24.67%,64.27%,61.47%,73.39%,-1.33%,-19.90%,-18.19%,-21.45%,24.02%,-5.65%,-1.30%,-2.79%,-17.26%,3.24%,-3.63%,-5.55%,0.74%,19.35%,54.49%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,750,964,"1,021",967,762,670,685,545,511,576,611,604,625,524,819,655,874,848,966,794,773,695,835,786,805,783,846,732,580,155,209,-,-,-,277
PE Ratio,8.83,14.50,15.00,13.85,15.01,14.02,13.50,12.19,12.75,12.83,14.15,14.96,18.67,21.02,35.15,41.82,47.32,49.96,45.44,48.44,63.14,58.22,60.30,51.54,51.56,71.41,104.74,111.55,128.48,-,-,-,-,-,-
PS Ratio,1.97,3.10,3.41,3.23,3.34,3.25,3.30,3.14,3.19,3.03,2.83,2.29,2.65,2.57,3.91,3.75,4.16,4.04,3.86,4.79,4.79,4.48,4.95,4.72,4.93,4.77,5.01,4.35,3.81,-,-,-,-,-,-
PB Ratio,0.62,0.98,1.11,1.10,1.13,1.11,1.16,1.14,1.14,1.09,0.91,0.68,0.73,0.65,0.96,0.89,1.64,1.54,1.45,1.77,1.77,1.67,1.82,1.77,1.91,1.83,1.89,1.54,1.28,-,-,-,-,-,-
Debt / Equity Ratio,1.04,1.04,0.70,0.62,0.22,0.14,0.13,0.13,0.17,0.19,0.26,0.39,0.55,0.47,0.58,0.46,0.92,1.07,1.55,0.75,0.82,0.66,0.85,0.81,0.79,0.83,0.84,0.75,0.60,1.41,1.31,-,-,-,1.80
Dividend Yield,3.67%,-,0.47%,0.48%,0.47%,0.34%,0.32%,0.33%,0.33%,-,0.51%,0.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,23.90%,0.00%,33.30%,23.30%,33.30%,19.20%,19.20%,20.00%,17.90%,0.00%,18.80%,13.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,-,-,-,-,-,-,-
Buyback Yield / Dilution,7.00%,7.00%,7.95%,8.37%,9.71%,8.13%,7.71%,6.98%,3.31%,2.56%,-3.08%,2.11%,3.98%,4.01%,7.63%,1.86%,-0.04%,0.00%,0.11%,-0.89%,-1.82%,-1.84%,1.57%,-1.16%,3.45%,3.50%,-,-,-,-,-,-,-,-,-
Total Shareholder Return,10.66%,7.00%,8.42%,8.86%,10.18%,8.47%,8.03%,7.31%,3.63%,2.56%,-2.57%,2.46%,3.98%,4.01%,7.63%,1.86%,-0.04%,0.00%,0.11%,-0.89%,-1.82%,-1.84%,1.57%,-1.16%,3.45%,3.50%,-,-,-,-,-,-,-,-,-
