Metrics,Current,2023-03-25,2022-12-24,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Market Capitalization,"15,631","1,699",865,852,755,407,409,403,408,363,-
Market Cap Growth,-,317.55%,111.36%,111.22%,85.09%,12.06%,-,-,-,-,-
Enterprise Value,"15,168","1,237",417,499,343,148,46,247,405,361,0
PE Ratio,-84.24,-84.24,-61.53,-124.16,-574.61,-,-11.66,-,-,-,-
PS Ratio,17.50,1.90,1.20,1.44,1.71,1.03,1.26,1.60,-,-,-
PB Ratio,6600.78,717.68,162.47,118.61,107.68,-0.39,-0.42,-0.36,-40.38,-47.86,-
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,2.88
Current Ratio,1.02,1.02,1.05,1.16,1.33,1.31,1.30,0.77,1.38,7.57,0.05
Buyback Yield / Dilution,-780.31%,-780.31%,-796.63%,-901.42%,-23.45%,-6.95%,-1.07%,-,-,-,-
Total Shareholder Return,-780.31%,-780.31%,-796.63%,-901.42%,-23.45%,-6.95%,-1.07%,-,-,-,-
