Metrics,Current,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30
Market Capitalization,963,-,-,-,-,-,744,868,808,642,720,698,635,-,500,-,543,-,597,-,541,-,517,-,608,-,468,-,-,-,-,-,-
Market Cap Growth,-,-,-,-,-,-,3.31%,24.28%,27.23%,-,43.92%,-,16.88%,-,-16.25%,-,0.47%,-,15.63%,-,-11.10%,-,10.40%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,965,2,2,-0,0,-0,744,868,808,642,720,695,630,-3,493,-1,543,-14,581,-13,497,-34,508,-7,610,5,468,-,-,-,-,-,-
PE Ratio,0,0,0,0,0,0,-2.37,2.89,0,-2.71,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS Ratio,30.92,0,0,0,0,0,55.28,104.21,0,68.59,0,115.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PB Ratio,0.85,0,0,0,0,0,0.82,0.87,0.86,0.84,0.85,0.84,0.86,0,0.84,0,0.87,0,0.88,0,0.88,0,0.93,0,0.95,0,0.94,0,0,0,0,0,0
Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0,0,0,0,0,0
Asset Turnover,-,-,-,-,-,0.01,0.01,0,0.01,0,0.01,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,0,0,0,0,0,
Return on Equity (ROE),-,-,-,-,-,-8.65%,7.56%,0.00%,-7.75%,0.00%,11.58%,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
Return on Assets (ROA),-,-,-,-,-,-8.64%,7.55%,0.00%,-7.74%,0.00%,11.57%,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
Return on Capital (ROIC),-,-,-,-,-,1.14%,0.53%,-,0.84%,-,0.39%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
Earnings Yield,-6.52%,-,-,-,-,-,-10.56%,8.66%,0.00%,-9.24%,0.00%,13.71%,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,-,0.00%,-,-,-,-,-,-
FCF Yield,5.26%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,1.93%,0.71%,3.23%,0.54%,1.19%,1.53%,0.00%,3.30%,0.00%,0.31%,0.00%,1.56%,0.00%,3.73%,0.00%,1.59%,0.00%,1.17%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Dividend Yield,7.09%,-,-,-,-,-,0.69%,1.91%,0.63%,2.61%,0.87%,1.59%,0.79%,-,0.98%,-,0.90%,-,0.80%,-,1.72%,-,0.89%,-,0.76%,-,0.00%,-,-,-,-,-,-
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-6.56%,22.01%,0.00%,-28.27%,0.00%,11.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Total Shareholder Return,7.12%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
