Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30
Market Capitalization,"2,355","2,638","2,632","2,325","2,735","3,152","4,114","4,075","3,768","3,511","2,990","2,245","1,989","1,704","1,907","1,959","2,024","2,332","1,933","3,079","3,240","2,717","2,587","2,294","2,038","1,995","1,754","1,391","1,163","1,456","1,505","1,355","1,471","1,547","1,792","1,753","1,725"
Market Cap Growth,-,-16.31%,-36.01%,-42.95%,-27.40%,-10.22%,37.57%,81.47%,89.46%,106.00%,56.80%,14.62%,-1.75%,-26.92%,-1.36%,-36.36%,-37.54%,-14.17%,-25.27%,34.23%,58.97%,36.23%,47.54%,64.91%,75.26%,36.99%,16.55%,2.65%,-20.95%,-5.85%,-16.05%,-22.69%,-14.70%,-,-,-,-
Enterprise Value,"2,359","2,692","2,617","2,370","2,792","3,209","3,785","3,986","3,762","3,548","2,984","2,353","2,090","1,774","1,936","1,964","1,969","2,322","1,672","2,991","3,107","2,586","2,373","2,165","1,858","1,838","1,434","1,187","1,049","1,365","1,256","1,266","1,343","1,448","1,593","1,610","1,566"
PE Ratio,27.48,29.88,17.51,10.14,8.44,8.65,11.26,10.38,12.34,15.94,16.72,30.43,24.41,14.61,18.15,15.95,17.65,19.29,13.74,40.16,51.10,57.27,88.00,33.12,34.24,42.72,45.68,41.03,33.71,41.91,45.45,42.27,51.69,665.45,-595.03,40.28,33.52
PS Ratio,2.65,3.03,2.67,1.93,1.87,2.00,2.67,2.65,3.00,3.33,3.17,3.02,2.59,2.24,2.56,2.57,2.75,2.90,2.18,3.77,4.16,3.72,3.78,3.19,2.91,3.02,2.86,2.38,1.99,2.52,2.73,2.60,2.96,3.07,3.46,3.31,3.46
PB Ratio,5.61,6.42,5.92,5.40,6.29,7.21,8.41,7.89,9.14,7.29,6.23,4.80,4.73,4.10,4.31,4.73,5.48,6.73,4.78,8.31,8.59,8.24,7.96,6.83,7.34,7.50,8.28,6.66,6.16,8.74,8.94,8.98,10.87,13.15,15.81,21.94,24.31
Debt / Equity Ratio,0.46,0.46,0.43,0.45,0.45,0.43,0.39,0.37,0.47,0.40,0.41,0.41,0.46,0.47,0.45,0.13,0.15,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Yield,6.78%,1.56%,1.56%,1.77%,1.52%,1.28%,4.96%,0.97%,4.48%,1.00%,5.09%,0.73%,0.82%,4.48%,1.57%,1.52%,1.43%,4.21%,1.37%,3.59%,0.80%,3.87%,0.76%,0.86%,3.53%,0.96%,4.63%,1.19%,1.33%,3.90%,1.03%,1.14%,0.70%,0.66%,0.57%,0.59%,-
Payout Ratio,179.10%,1200.00%,193.50%,153.80%,101.70%,59.40%,202.60%,31.40%,202.40%,50.50%,107.80%,44.00%,-255.00%,262.50%,122.00%,62.50%,84.70%,625.00%,58.80%,273.60%,55.30%,214.10%,-41.10%,62.70%,195.70%,63.80%,221.10%,71.10%,90.90%,323.50%,57.70%,60.00%,55.60%,74.10%,31.70%,46.50%,0.00%
Buyback Yield / Dilution,-2.21%,-2.21%,-4.24%,-4.40%,-4.96%,-4.94%,-2.91%,-3.07%,-3.77%,-5.48%,-7.04%,-7.15%,-10.20%,-8.21%,-6.25%,-6.16%,-4.82%,-4.89%,-5.42%,-5.45%,-5.30%,-3.15%,-3.13%,-3.01%,-1.50%,-0.45%,-0.32%,-0.25%,-0.86%,-0.45%,-0.49%,-0.54%,0.14%,0.27%,0.34%,-,-
Total Shareholder Return,4.72%,-0.65%,-2.68%,-2.63%,-3.44%,-3.67%,2.05%,-2.10%,0.71%,-4.48%,-1.94%,-6.42%,-9.38%,-3.73%,-4.68%,-4.64%,-3.39%,-0.68%,-4.05%,-1.85%,-4.50%,0.73%,-2.36%,-2.15%,2.03%,0.51%,4.31%,0.94%,0.47%,3.45%,0.53%,0.61%,0.84%,0.93%,0.91%,0.59%,-
