Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"4,275","3,898","3,861","3,890","3,901","4,276","4,695","5,076","4,615","4,692","4,249","3,000","2,773","2,196","4,941","4,455","4,678","4,691","3,782","4,820","3,981","4,821","5,229","4,643","4,150","3,454","3,471","2,725","2,027","2,608","2,999","3,145","3,865","3,264","3,155","2,644","3,128","2,880","2,851","2,459","2,050",Upgrade
Market Cap Growth,-,-8.86%,-17.75%,-23.37%,-15.47%,-8.86%,10.49%,69.22%,66.42%,113.65%,-14.01%,-32.67%,-40.72%,-53.18%,30.64%,-7.57%,17.50%,-2.70%,-27.66%,3.82%,-4.08%,39.57%,50.62%,70.38%,104.77%,32.45%,15.74%,-13.35%,-47.56%,-20.10%,-4.95%,18.94%,23.57%,13.32%,10.69%,7.53%,52.57%,187.60%,430.45%,695.47%,252.36%,Upgrade
Enterprise Value,"4,521","4,194","4,191","4,303","4,400","4,722","5,537","6,135","5,668","5,743","5,196","3,854","3,235","2,660","5,605","5,116","5,285","5,260","4,459","5,385","4,620","5,474","5,959","5,223","4,852","4,357","4,495","3,628","2,774","3,455","4,030","4,057","4,946","4,328","4,237","3,679","4,064","3,862","3,818","3,258","2,736",Upgrade
PE Ratio,5.30,4.61,4.46,4.59,5.16,6.48,7.39,8.29,7.88,10.51,9.53,6.36,5.35,3.27,7.33,6.81,7.09,6.92,5.64,8.93,8.33,11.77,14.70,10.65,11.14,9.51,10.14,8.08,1.84,2.35,2.56,2.75,9.83,10.04,12.52,15.01,26.92,34.67,-57.19,-5.65,-2.95,Upgrade
PS Ratio,3.64,3.35,3.29,3.31,3.31,3.62,3.96,4.25,3.87,3.94,3.54,2.48,2.25,1.79,4.07,3.75,4.03,4.08,3.37,4.34,3.65,4.50,4.91,4.38,3.90,3.24,3.27,2.59,1.93,2.53,2.88,3.07,3.91,3.34,3.35,2.77,3.22,2.87,2.74,2.12,1.69,Upgrade
PB Ratio,0.88,0.82,0.83,0.86,0.85,0.93,0.97,1.04,0.94,0.99,0.90,0.67,0.63,0.52,1.15,1.07,1.16,1.23,1.06,1.38,1.20,1.49,1.66,1.48,1.39,1.31,1.36,1.06,0.81,1.11,1.34,1.46,3.12,2.75,3.04,2.69,3.36,3.43,3.83,3.50,3.01,Upgrade
Debt / Equity Ratio,0.14,0.14,0.14,0.15,0.20,0.20,0.24,0.26,0.25,0.26,0.26,0.28,0.19,0.20,0.19,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.26,0.27,0.28,0.50,0.46,0.46,0.42,0.47,0.54,0.60,1.05,1.09,1.25,1.32,1.39,1.54,1.77,1.87,1.94,Upgrade
Dividend Yield,2.68%,0.76%,0.78%,0.79%,0.64%,0.61%,0.58%,0.56%,0.46%,0.46%,0.50%,0.71%,0.73%,1.00%,0.45%,0.50%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Payout Ratio,13.50%,18.90%,15.40%,12.20%,9.90%,14.50%,14.80%,17.00%,13.30%,13.60%,13.60%,15.40%,150.00%,13.60%,11.80%,12.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,9.19%,9.19%,11.50%,13.11%,12.06%,8.94%,4.84%,1.02%,-4.97%,2.42%,3.76%,4.13%,9.81%,3.04%,2.92%,2.70%,3.16%,3.80%,2.67%,2.09%,1.42%,2.64%,15.58%,3.69%,11.58%,6.77%,0.90%,13.26%,-1.60%,7.85%,-13.12%,-13.19%,-6.20%,-13.30%,-22.38%,-21.85%,-21.85%,-77.83%,-67.33%,-68.02%,-67.98%,Upgrade
Total Shareholder Return,11.90%,9.95%,12.28%,13.90%,12.70%,9.54%,5.41%,1.58%,-4.50%,2.87%,4.26%,4.84%,10.54%,4.04%,3.37%,3.20%,3.16%,3.80%,2.67%,2.09%,1.42%,2.64%,15.58%,3.69%,11.58%,6.77%,0.90%,13.26%,-1.60%,7.85%,-13.12%,-13.19%,-6.20%,-13.30%,-22.38%,-21.85%,-21.85%,-77.83%,-67.33%,-68.02%,-67.98%,Upgrade
