Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+62 Quarters
Market Capitalization,121,122,162,148,160,189,185,164,147,153,130,108,116,139,170,158,156,155,142,164,149,155,122,127,130,106,101,83,93,101,87,86,100,87,99,111,100,98,143,64,63,Upgrade
Market Cap Growth,-,-35.54%,-12.50%,-10.10%,8.58%,24.06%,42.54%,52.78%,26.75%,9.47%,-23.99%,-31.66%,-25.47%,-9.97%,20.06%,-4.14%,4.53%,-0.06%,16.04%,29.53%,14.36%,45.97%,21.69%,52.93%,40.66%,4.91%,16.04%,-3.14%,-7.27%,16.44%,-12.34%,-22.91%,0.18%,-11.60%,-30.97%,73.08%,57.28%,63.61%,187.39%,-2.41%,37.63%,Upgrade
Enterprise Value,248,249,302,190,261,252,116,1,101,64,-16,13,104,192,193,210,223,161,140,196,317,278,145,144,169,156,67,109,220,182,226,172,110,152,160,175,182,130,102,50,87,Upgrade
PE Ratio,6.22,6.51,7.90,7.59,7.83,9.52,8.64,7.29,7.23,7.98,8.44,7.87,9.69,13.27,15.39,10.75,11.04,11.09,10.63,983.98,252.81,-4997.53,832.20,16.30,17.29,14.42,15.93,2.44,2.70,3.02,2.42,12.98,13.10,6.49,7.36,7.17,7.11,12.04,22.44,-89.14,-6.94,Upgrade
PS Ratio,2.07,2.09,2.69,2.51,2.73,3.33,3.23,2.91,2.72,2.95,2.73,2.35,2.68,3.30,3.96,3.30,3.31,3.32,3.10,4.17,3.77,3.95,3.10,3.35,3.46,2.84,2.82,2.25,2.55,2.93,2.37,2.43,2.64,1.89,2.09,2.17,2.00,2.29,3.46,1.87,2.18,Upgrade
PB Ratio,0.96,0.97,1.36,1.33,1.27,1.37,1.14,1.02,0.92,0.99,0.83,0.72,0.80,1.01,1.28,1.19,1.20,1.25,1.46,1.90,1.71,1.79,1.37,1.30,1.35,1.14,1.11,0.86,0.97,1.10,1.00,1.44,1.82,1.56,1.92,2.21,2.03,2.42,4.26,1.96,2.01,Upgrade
Debt / Equity Ratio,1.55,1.55,1.53,0.68,1.02,0.63,0.19,0.06,0.06,0.07,0.07,0.07,0.61,0.71,0.43,0.68,0.75,0.32,0.35,0.71,2.18,1.58,0.68,0.62,0.68,0.83,0.87,0.86,1.52,1.07,1.86,1.97,1.49,1.85,1.88,2.07,2.29,1.72,1.86,2.21,1.83,Upgrade
Dividend Yield,5.85%,1.45%,1.10%,1.20%,0.93%,0.79%,0.81%,0.91%,0.83%,0.80%,0.86%,1.03%,0.96%,0.80%,0.59%,0.64%,0.65%,0.60%,0.59%,0.41%,0.45%,0.43%,0.55%,0.40%,0.39%,0.47%,-,0.40%,0.36%,0.33%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Payout Ratio,35.90%,64.30%,36.00%,32.10%,25.90%,34.10%,37.50%,24.20%,23.10%,20.70%,21.20%,27.50%,27.50%,55.00%,29.40%,41.70%,38.50%,35.70%,11.90%,36.40%,28.60%,33.30%,-11.10%,21.40%,27.30%,23.10%,0.00%,16.70%,20.00%,28.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,1.41%,1.41%,1.62%,1.56%,2.66%,1.39%,1.14%,1.12%,-0.20%,-0.38%,-0.32%,-0.31%,-0.29%,-7.70%,-19.82%,-19.80%,-19.71%,-11.58%,-0.40%,-0.36%,-0.49%,-0.71%,-0.92%,-1.11%,-1.11%,-0.91%,-0.70%,-0.56%,-0.32%,-0.18%,-0.18%,-0.18%,-0.18%,-0.11%,-0.09%,-0.09%,-0.09%,-0.09%,-0.12%,-0.09%,-0.09%,Upgrade
Total Shareholder Return,7.25%,2.86%,2.72%,2.76%,3.59%,2.18%,1.95%,2.03%,0.62%,0.41%,0.54%,0.72%,0.67%,-6.91%,-19.23%,-19.16%,-19.06%,-10.98%,0.20%,0.05%,-0.04%,-0.28%,-0.37%,-0.71%,-0.72%,-0.44%,-0.70%,-0.16%,0.04%,0.14%,-0.18%,-0.18%,-0.18%,-0.11%,-0.09%,-0.09%,-0.09%,-0.09%,-0.12%,-0.09%,-0.09%,Upgrade
