Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31
Market Capitalization,978,"1,076","1,328","1,343","1,484","2,225","3,788","2,756","2,543","2,926","1,929","1,027",588,503,766,728,689,587,595,"1,075","1,226","1,111",951,813,837,749,633,493,482,513,485,671,-,-,-,-,-,-,-
Market Cap Growth,-,-51.64%,-64.94%,-51.28%,-41.63%,-23.98%,96.41%,168.40%,332.67%,481.86%,151.86%,40.99%,-14.71%,-14.28%,28.81%,-32.27%,-43.79%,-47.17%,-37.48%,32.26%,46.40%,48.38%,50.17%,64.80%,73.60%,46.01%,30.52%,-26.49%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,542,639,991,971,934,"1,910","3,898","2,978","3,111","3,750","3,146","2,135",957,133,537,476,502,297,272,707,834,584,679,576,687,624,416,158,327,305,401,573,-87,-,8,-,-,-21,-31
PE Ratio,6.96,7.57,7.54,6.56,7.59,13.73,22.69,16.56,15.29,27.46,32.40,27.91,85.16,62.40,42.47,33.57,21.50,14.18,11.56,9.54,11.02,10.40,9.46,23.73,33.68,49.27,45.98,35.21,35.92,29.73,23.53,38.66,-,-,-,-,-,-,-
PS Ratio,1.96,2.16,2.53,2.46,2.87,4.96,8.58,6.91,6.55,9.51,8.04,4.49,3.10,2.77,4.07,4.16,3.86,3.11,2.99,3.94,4.64,4.40,3.94,5.02,5.53,5.59,5.12,4.11,4.38,4.76,4.57,7.15,-,-,-,-,-,-,-
PB Ratio,1.19,1.31,1.64,1.67,1.88,3.12,5.30,4.00,3.87,4.96,3.40,1.76,1.07,0.94,1.44,1.38,1.33,1.17,1.21,2.25,2.65,2.48,2.18,2.23,3.52,3.31,2.84,2.30,2.33,2.51,2.43,3.46,-,-,-,-,-,-,-
Debt / Equity Ratio,0.04,0.04,0.10,0.04,0.11,0.28,0.45,0.83,1.54,2.48,2.72,3.00,3.14,0.10,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.06,0.07,0.26,0.18,0.12,0.13,0.14,0.14,0.14,0.22,0.53,-,0.52,-,-,0.33,0.40
Dividend Yield,0.54%,0.12%,0.10%,0.10%,0.09%,0.06%,0.03%,0.05%,0.05%,0.04%,0.06%,0.12%,0.21%,0.24%,0.16%,0.17%,0.17%,0.21%,0.20%,0.11%,0.10%,0.11%,0.13%,0.13%,0.08%,0.09%,0.11%,0.14%,0.07%,0.13%,0.07%,0.05%,-,-,-,-,-,-,-
Payout Ratio,3.70%,300.00%,75.00%,3.10%,1.40%,3.80%,4.30%,3.80%,2.00%,3.30%,4.20%,3.60%,33.30%,-15.80%,17.60%,30.00%,25.00%,50.00%,11.50%,8.30%,8.30%,9.70%,1.50%,8.80%,7.10%,11.10%,12.50%,20.00%,-,14.30%,6.20%,11.10%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,-0.98%,-0.98%,-1.34%,-1.30%,-1.61%,-2.32%,-6.79%,-6.85%,-6.41%,-5.94%,-0.88%,-0.74%,-0.81%,-0.43%,-0.35%,-0.29%,-0.45%,-0.52%,-0.68%,-15.73%,-15.59%,-15.55%,-16.48%,-1.34%,-1.22%,-1.16%,-0.18%,-0.12%,-4.70%,-4.67%,-4.64%,-,-,-,-,-,-,-,-
Total Shareholder Return,-0.44%,-0.86%,-1.24%,-1.21%,-1.53%,-2.26%,-6.75%,-6.80%,-6.36%,-5.90%,-0.82%,-0.63%,-0.60%,-0.19%,-0.19%,-0.13%,-0.28%,-0.32%,-0.48%,-15.62%,-15.50%,-15.44%,-16.36%,-1.21%,-1.13%,-1.07%,-0.07%,0.02%,-4.63%,-4.53%,-4.57%,0.05%,-,-,-,-,-,-,-
