Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Market Capitalization,"3,826","3,716","3,928","3,610","3,498","3,623","3,366","3,571",-,-,-
Market Cap Growth,-,2.55%,16.69%,1.10%,-,-,-,-,-,-,-
Enterprise Value,"3,948","3,837","4,157","3,817","3,656","3,924","3,680","3,859",304,-,285
PE Ratio,5.41,5.19,5.58,5.06,5.30,6.18,6.16,7.37,-,-,-
PS Ratio,3.46,3.36,3.59,3.31,3.19,3.30,3.01,3.16,-,-,-
PB Ratio,0.89,0.87,0.96,0.88,0.86,0.90,0.82,0.85,-,-,-
Debt / Equity Ratio,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-,0.19
Dividend Yield,7.10%,-,5.25%,0.63%,0.65%,-,5.96%,-,-,-,-
Payout Ratio,35.10%,0.00%,143.20%,12.00%,11.10%,0.00%,129.50%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.08%,-0.08%,-0.33%,-0.32%,-0.24%,-0.13%,-0.09%,-0.01%,-,-,-
Total Shareholder Return,7.02%,-0.08%,4.92%,0.31%,0.42%,-0.13%,5.87%,-0.01%,-,-,-
