Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30
Market Capitalization,211,49,99,91,197,332,390,330,722,957,63,19,8,6,7,52,85,75
Market Cap Growth,-,-85.12%,-74.62%,-72.39%,-72.72%,-65.28%,515.80%,1619.11%,8706.07%,15981.54%,759.90%,-62.72%,-90.30%,-92.04%,-,-,-,-
Enterprise Value,146,-13,33,19,124,245,328,281,693,951,62,17,8,6,7,51,84,64
PE Ratio,-0.47,-0.47,-1.71,-1.43,-4.19,-329.15,23.51,9.00,19.08,-420.06,-14.68,-2.63,-,-0.61,-,-5.57,-23.89,-65.15
PS Ratio,6.44,1.53,2.61,2.33,3.24,3.46,4.10,3.57,11.10,45.45,7.36,27.75,-,-,-,-9.87,-,30.83
PB Ratio,2.31,0.55,0.63,0.53,1.22,2.01,3.68,3.15,9.63,25.20,3.18,1.54,-,1.55,-,11.79,7.28,5.24
Debt / Equity Ratio,-,-,-,-,-,-,-,-,0.02,-,-,-,-,-,-,-,-,-
Current Ratio,8.65,8.65,19.76,19.15,16.06,17.90,17.66,18.81,11.14,4.60,3.89,2.20,-,1.30,-,0.63,14.05,31.10
Buyback Yield / Dilution,-41.80%,-48.93%,-52.41%,-60.04%,-44.18%,-81.23%,-29.27%,-156.91%,-224.12%,-98.63%,-174.67%,-29.94%,-3.52%,-10.15%,-125.96%,-2723.11%,-55253.85%,-
Total Shareholder Return,-41.80%,-48.93%,-52.41%,-60.04%,-44.18%,-81.23%,-29.27%,-156.91%,-224.12%,-98.63%,-174.67%,-29.94%,-3.52%,-10.15%,-125.96%,-2723.11%,-55253.85%,-
