Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31
Market Capitalization,838,989,"1,516","1,435","1,579","1,893","1,961","1,949","1,751","1,617","1,274",845,892,705,"1,512","1,298","1,408","1,321",518,683,750,668,625,411,401,428,287,187,172,156,174,167,142,133,134,-,-,-,-,-,-
Market Cap Growth,-,-47.75%,-22.67%,-26.37%,-9.85%,17.03%,53.89%,130.55%,96.42%,129.24%,-15.72%,-34.87%,-36.68%,-46.59%,191.90%,89.96%,87.68%,97.80%,-17.11%,66.40%,87.11%,55.98%,117.67%,120.04%,133.41%,174.81%,65.32%,11.90%,21.28%,17.57%,29.49%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,939","2,090","2,484","2,382","2,400","2,352","2,591","2,762","2,404","2,192","2,086","1,942","1,961","1,795","2,086","1,874","1,731","1,310",478,511,728,537,579,314,274,189,99,54,91,110,139,70,113,70,89,-45,-,-,-54,-,-40
PE Ratio,5.60,6.54,10.36,9.70,11.16,13.40,14.05,16.13,16.38,15.93,17.25,10.55,10.54,8.07,16.66,18.15,26.55,36.33,13.17,20.85,25.89,29.81,41.36,27.30,30.20,33.36,22.87,15.69,15.56,16.06,19.98,21.31,21.31,22.12,26.17,-,-,-,-,-,-
PS Ratio,2.06,2.43,3.89,3.80,4.40,5.38,5.70,6.06,5.84,5.60,5.15,3.44,3.56,2.75,5.15,5.17,6.70,8.02,4.34,5.99,7.09,7.40,8.81,7.16,8.15,9.09,6.32,4.33,4.23,4.21,5.06,5.24,4.87,4.75,5.08,-,-,-,-,-,-
PB Ratio,0.56,0.66,1.05,1.02,1.11,1.31,1.49,1.52,1.38,1.31,1.06,0.71,0.77,0.61,1.27,1.08,1.17,1.11,0.98,1.32,1.48,1.34,1.28,0.92,1.62,1.76,1.20,1.31,1.24,1.15,1.32,1.21,1.21,1.15,1.18,-,-,-,-,-,-
Debt / Equity Ratio,1.28,1.28,0.97,0.98,0.86,0.70,0.77,0.81,0.82,0.85,0.87,1.03,1.06,1.32,0.69,0.69,0.49,0.28,0.08,0.17,0.25,0.13,0.21,0.12,0.19,0.19,0.19,0.33,0.33,0.34,0.28,0.19,0.30,0.20,0.42,0.31,-,-,0.35,-,0.21
Dividend Yield,5.18%,1.10%,1.42%,0.75%,0.68%,0.52%,0.50%,0.51%,0.48%,0.52%,0.66%,1.00%,0.96%,1.22%,0.43%,0.52%,0.48%,0.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,35.70%,28.20%,54.10%,25.00%,36.40%,30.30%,23.50%,26.70%,28.30%,26.60%,37.00%,37.00%,35.40%,212.50%,22.30%,24.00%,25.00%,89.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-9.23%,-9.23%,-9.55%,-8.99%,-9.10%,-0.32%,0.73%,0.25%,1.82%,2.13%,4.32%,7.20%,7.16%,7.41%,-114.24%,-121.24%,-124.71%,-125.98%,-6.97%,-58.74%,-58.57%,-58.52%,-110.73%,-41.93%,-42.01%,-42.00%,-0.33%,-0.51%,-13.07%,-13.04%,-13.19%,-17.88%,-4.70%,-4.70%,-4.47%,-,-,-,-,-,-
Total Shareholder Return,-4.05%,-8.13%,-8.13%,-8.24%,-8.41%,0.20%,1.24%,0.76%,2.30%,2.64%,4.98%,8.20%,8.12%,8.63%,-113.81%,-120.72%,-124.23%,-125.46%,-6.97%,-58.74%,-58.57%,-58.52%,-110.73%,-41.93%,-42.01%,-42.00%,-0.33%,-0.51%,-13.07%,-13.04%,-13.19%,-17.88%,-4.70%,-4.70%,-4.47%,-,-,-,-,-,-
