Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,78,88,91,91,97,103,114,112,113,125,88,89,93,83,104,103,104,101,100,112,114,100,96,95,101,103,103,92,78,78,79,79,74,67,66,66,67,67,71,64,58,Upgrade
Market Cap Growth,-,-14.91%,-19.77%,-18.56%,-14.72%,-17.26%,28.26%,25.90%,21.97%,50.40%,-14.79%,-14.26%,-10.85%,-17.48%,3.49%,-7.64%,-8.37%,0.21%,4.27%,17.30%,12.88%,-2.81%,-6.95%,4.05%,28.99%,33.12%,30.99%,15.87%,5.73%,15.86%,19.69%,18.99%,10.19%,0.13%,-6.90%,4.38%,15.86%,25.26%,48.53%,23.37%,15.35%,Upgrade
Enterprise Value,69,79,77,95,68,48,-13,-40,47,78,53,57,10,-11,68,58,66,80,69,82,91,66,64,65,68,65,77,70,72,70,50,61,56,45,63,44,38,56,49,32,15,Upgrade
PE Ratio,11.65,12.96,13.68,14.22,15.40,16.13,16.83,16.07,16.37,18.49,13.70,13.63,13.63,11.60,14.19,14.06,14.64,14.36,14.50,18.75,20.20,18.97,19.64,17.77,18.82,19.56,19.71,17.76,15.82,15.90,16.17,16.31,15.41,14.40,15.00,15.91,16.35,16.57,17.38,15.54,14.72,Upgrade
PS Ratio,3.66,4.14,4.33,4.39,4.71,5.00,5.37,5.25,5.37,6.04,4.40,4.46,4.66,4.13,5.16,5.17,5.31,5.19,5.25,5.90,6.12,5.48,5.36,5.47,5.79,6.02,6.01,5.33,4.62,4.59,4.73,4.77,4.51,4.18,4.26,4.42,4.52,4.57,4.85,4.35,4.01,Upgrade
PB Ratio,1.78,2.02,2.35,2.52,2.32,2.30,2.11,2.05,2.08,2.35,1.61,1.63,1.72,1.58,2.03,2.05,2.11,2.12,2.21,2.58,2.63,2.35,2.25,2.18,2.34,2.48,2.55,2.18,1.88,1.92,2.02,2.03,1.95,1.76,1.80,1.85,1.87,1.89,2.04,1.85,1.68,Upgrade
Debt / Equity Ratio,0.31,0.31,0.35,0.38,0.33,0.31,0.26,0.23,0.23,0.24,0.23,0.24,0.24,0.25,0.26,0.26,0.15,0.15,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.01,0.10,0.19,0.27,-,-,-,-,-,Upgrade
Dividend Yield,4.86%,-,2.11%,1.06%,-,0.94%,1.70%,0.87%,1.36%,-,2.16%,1.03%,0.98%,-,2.26%,0.87%,0.86%,0.83%,1.39%,0.75%,-,0.76%,1.58%,-,0.70%,0.69%,0.68%,0.77%,1.68%,-,1.67%,0.75%,0.80%,-,2.50%,0.89%,0.89%,-,1.64%,0.84%,0.92%,Upgrade
Payout Ratio,41.50%,0.00%,103.00%,51.50%,0.00%,65.40%,121.40%,54.80%,90.00%,0.00%,106.20%,51.60%,59.30%,0.00%,127.30%,44.40%,48.50%,48.40%,73.50%,46.90%,0.00%,46.90%,160.60%,0.00%,50.80%,57.70%,52.30%,48.10%,96.30%,0.00%,104.00%,49.10%,47.10%,0.00%,130.10%,51.20%,51.70%,0.00%,116.80%,50.00%,52.10%,Upgrade
Buyback Yield / Dilution,0.85%,0.85%,0.63%,0.62%,0.31%,-0.06%,-0.94%,0.18%,0.34%,-1.78%,-0.73%,-1.93%,-2.26%,0.12%,0.04%,0.02%,-0.03%,-0.16%,-0.37%,-0.02%,0.04%,-0.05%,-0.12%,-0.51%,-0.48%,-0.11%,0.22%,0.14%,-1.20%,-0.25%,-0.69%,-0.83%,0.91%,-2.74%,-2.57%,-2.45%,-2.98%,-0.58%,-0.33%,-0.19%,-0.13%,Upgrade
Total Shareholder Return,5.71%,0.85%,2.74%,1.68%,0.31%,0.88%,0.76%,1.04%,1.69%,-1.78%,1.44%,-0.90%,-1.27%,0.12%,2.30%,0.88%,0.83%,0.67%,1.02%,0.73%,0.04%,0.70%,1.46%,-0.51%,0.23%,0.58%,0.90%,0.91%,0.48%,-0.25%,0.97%,-0.08%,1.70%,-2.74%,-0.07%,-1.56%,-2.09%,-0.58%,1.31%,0.65%,0.79%,Upgrade
