Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+18 Quarters
Market Capitalization,987,818,978,"1,259","1,180","1,943","2,450","1,628","2,053","1,533","1,125",638,562,481,678,637,553,445,377,592,580,519,479,450,361,290,351,254,182,174,162,159,161,196,158,128,12,9,8,9,11,Upgrade
Market Cap Growth,-,-57.89%,-60.10%,-22.65%,-42.53%,26.74%,117.84%,155.29%,265.34%,218.54%,65.86%,0.15%,1.57%,8.22%,79.82%,7.63%,-4.66%,-14.37%,-21.29%,31.39%,60.73%,79.34%,36.35%,77.03%,98.00%,66.01%,117.44%,59.93%,13.00%,-10.82%,2.15%,24.46%,1220.03%,2148.32%,1782.87%,1320.08%,16.43%,-25.64%,-9.68%,-26.83%,6.07%,Upgrade
Enterprise Value,"3,353","3,223","3,258","3,459","3,155","3,882","4,301","3,437","3,571","2,864","2,074","1,479","1,434","1,346","1,470","1,333","1,268",931,775,875,897,654,561,482,361,206,248,141,103,123,107,102,113,161,137,92,-18,48,52,51,50,Upgrade
PE Ratio,-5.82,-5.82,-5.82,-27.26,-27.17,11.26,5.60,2.99,3.77,2.77,5.61,13.52,16.43,-18.23,8.34,11.44,22.88,23.37,24.31,32.51,36.84,254.84,41.46,14.96,9.34,8.20,16.32,31.48,300.93,18.62,13.69,15.93,21.08,-109.59,-27.27,-62.50,-15.07,-5.56,7.94,3.59,6.59,Upgrade
PS Ratio,0.73,0.63,0.91,1.45,1.30,1.62,1.58,0.98,1.36,1.07,1.35,0.97,0.92,0.94,1.04,1.08,1.09,0.95,0.89,1.37,1.37,1.42,1.49,1.48,1.34,1.30,1.85,2.18,2.25,1.64,1.44,1.41,1.44,2.40,2.05,1.69,0.16,0.11,0.11,0.10,0.13,Upgrade
PB Ratio,2.49,2.15,2.19,2.45,2.42,2.97,3.71,2.30,2.84,2.09,2.19,1.71,1.81,2.05,1.88,2.13,2.00,1.69,1.46,2.21,2.20,1.91,1.80,1.64,1.51,1.80,2.35,1.79,1.37,1.58,1.48,1.43,1.44,1.88,1.63,1.43,0.14,-1.58,-2.02,-1.71,-1.88,Upgrade
Debt / Equity Ratio,6.86,6.86,5.71,4.74,4.49,3.29,3.22,3.10,2.51,2.15,2.06,2.71,3.16,4.21,2.49,2.90,2.80,2.50,2.24,1.93,1.93,0.86,0.88,0.52,0.46,0.18,0.19,0.00,0.04,0.01,0.01,0.06,0.07,0.11,0.27,0.11,0.17,-10.22,-15.23,-11.18,-11.02,Upgrade
Current Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.25,1.89,1.32,3.11,4.38,3.32,3.05,2.72,2.54,1.95,2.78,2.57,2.36,1.95,1.95,2.27,Upgrade
Dividend Yield,11.42%,3.61%,2.92%,2.38%,2.38%,1.43%,4.87%,3.54%,4.19%,6.55%,0.87%,1.48%,1.20%,1.89%,2.72%,2.22%,1.26%,0.48%,1.13%,1.36%,0.55%,0.84%,0.68%,0.80%,0.98%,1.76%,1.39%,0.23%,-,-,0.60%,2.05%,-,-,0.18%,-,-,-,-,-,-,Upgrade
Payout Ratio,-79.80%,188.70%,-47.80%,61.70%,-19.70%,-232.60%,178.60%,113.60%,111.10%,37.30%,5.60%,18.80%,7.70%,-9.10%,103.20%,38.80%,31.00%,25.80%,-47.10%,272.70%,17.90%,94.10%,-40.00%,1300.00%,106.70%,35.60%,36.80%,6.40%,0.00%,0.00%,-100.00%,222.20%,0.00%,0.00%,-15.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-5.95%,-5.95%,4.33%,-4.08%,2.15%,2.98%,-14.94%,-6.45%,-6.21%,-10.30%,8.45%,4.19%,-0.36%,2.47%,-6.10%,-5.14%,-1.89%,2.14%,1.03%,2.84%,-19.34%,-38.95%,-38.22%,-44.02%,-23.33%,-18.56%,-20.28%,-17.41%,-9.96%,-2.42%,-69.00%,-2.72%,-228.04%,-1026.99%,-541.78%,-964.65%,-246.71%,3.29%,-1.00%,-4.21%,3.10%,Upgrade
Total Shareholder Return,5.92%,-2.35%,7.25%,-1.70%,4.53%,4.41%,-10.06%,-2.91%,-2.02%,-3.75%,9.32%,5.67%,0.84%,4.36%,-3.38%,-2.92%,-0.63%,2.62%,2.16%,4.20%,-18.80%,-38.11%,-37.55%,-43.23%,-22.35%,-16.80%,-18.89%,-17.19%,-9.96%,-2.42%,-68.40%,-0.67%,-228.04%,-1026.99%,-541.60%,-964.65%,-246.71%,3.29%,-1.00%,-4.21%,3.10%,Upgrade
