Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,"1,123",871,853,"1,015","1,291","2,387","2,837","4,552","5,438","4,491","4,482","2,844",519,349,362,351,347,343,335,335,346,316,-
Market Cap Growth,-,-63.52%,-69.95%,-77.70%,-76.25%,-46.86%,-36.71%,60.03%,947.57%,1187.27%,1137.00%,711.20%,49.65%,1.60%,8.10%,4.72%,0.20%,8.59%,-,-,-,-,-
Enterprise Value,"1,070",806,796,962,"1,269","2,386","2,868","4,610","5,530","4,540","4,541","2,891",650,348,356,350,346,342,334,334,345,315,0
PE Ratio,21.39,15.55,12.80,10.29,12.47,15.26,19.42,34.11,165.29,-48.25,-49.40,-10.82,-2.93,-3.18,-3.24,-27.92,-13.07,-7.94,-7.60,198.27,-,-,-
PS Ratio,6.76,5.19,4.75,4.97,6.07,10.77,13.15,22.35,31.16,33.15,41.16,29.83,5.92,3.84,3.90,3.53,4.48,6.58,6.42,-,-,-,-
PB Ratio,5.52,4.24,4.01,4.35,6.22,13.02,17.84,35.67,56.01,111.77,168.35,82.97,-1.12,69.78,-1.54,70.13,69.37,68.68,67.03,66.96,69.23,63.25,-
Debt / Equity Ratio,0.73,0.73,0.71,0.65,0.72,0.82,0.95,1.19,1.57,4.44,6.12,4.79,-0.34,-,-0.01,-,-,-,-,-,-,-,-38.93
Current Ratio,16.24,16.24,18.58,16.68,18.48,17.78,16.81,9.71,9.14,10.05,9.57,11.97,4.56,0.50,5.52,0.77,1.38,2.09,3.28,3.49,5.93,5.04,0.10
Buyback Yield / Dilution,2.21%,2.21%,-0.14%,0.01%,0.04%,0.49%,-52.23%,-9.60%,-154.86%,-144.34%,-120.32%,-206.10%,-31.67%,-51.01%,-,-9.47%,-9.47%,-11.11%,-201.05%,-,-,-,-
Total Shareholder Return,2.21%,2.21%,-0.14%,0.01%,0.04%,0.49%,-52.23%,-9.60%,-154.86%,-144.34%,-120.32%,-206.10%,-31.67%,-51.01%,-,-9.47%,-9.47%,-11.11%,-201.05%,-,-,-,-
