Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Market Capitalization,509,421,395,464,479,550,496,539,528,484,410,359,356,274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Market Cap Growth,-,-23.48%,-20.37%,-13.90%,-9.40%,13.61%,20.80%,50.04%,48.42%,76.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,351","1,262","1,032","1,128","1,111","1,161","1,103","1,076","1,011",954,867,770,740,684,309,301,258,222,225,190,181,135,142,130,129,118,89,88,65,65,50,51
PE Ratio,65.19,59.16,25.40,18.00,10.68,7.02,5.93,5.12,4.16,3.21,7.51,12.22,-57.22,-5.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PS Ratio,3.93,3.25,3.38,4.37,4.66,5.51,5.28,5.98,6.34,6.14,5.32,5.02,5.26,4.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PB Ratio,0.71,0.59,0.64,0.75,0.75,0.84,0.76,0.90,0.89,0.85,0.73,0.67,0.70,0.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,1.22,1.22,1.07,1.10,1.02,0.96,0.97,0.93,0.86,0.85,0.84,0.79,0.78,0.91,0.79,0.84,0.83,0.81,0.91,0.87,0.93,0.77,0.87,0.83,0.88,0.87,0.73,0.79,0.66,0.76,0.70,0.76
Dividend Yield,12.71%,3.16%,3.21%,3.06%,2.97%,2.58%,2.73%,2.14%,2.19%,2.39%,2.81%,3.22%,3.24%,3.93%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,828.60%,170.80%,512.50%,-575.00%,-1533.30%,88.50%,107.00%,69.50%,35.30%,53.90%,32.80%,30.10%,20.50%,-14.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-5.11%,-5.11%,-5.03%,-9.66%,-9.66%,-9.66%,-4.39%,-,0.00%,-7.46%,-38.41%,-49.75%,-79.38%,-81.22%,-59.67%,-65.08%,-58.58%,-64.26%,-55.41%,-45.19%,-32.99%,-30.62%,-34.65%,-42.43%,-52.54%,-57.65%,-272.33%,-143.44%,-30748.74%,-,-,-
Total Shareholder Return,7.60%,-1.94%,-1.82%,-6.59%,-6.69%,-7.07%,-1.67%,2.14%,2.19%,-5.07%,-35.60%,-46.53%,-76.13%,-77.29%,-59.67%,-65.08%,-58.58%,-64.26%,-55.41%,-45.19%,-32.99%,-30.62%,-34.65%,-42.43%,-52.54%,-57.65%,-272.33%,-143.44%,-30748.74%,-,-,-
