Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,68,72,73,70,67,69,65,68,-,-,-,-,-,-,-
Market Cap Growth,-,4.72%,11.61%,3.01%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,44,48,58,47,8,16,24,20,-81,-55,-32,-,-,-,-21
PE Ratio,49.18,51.82,41.46,26.08,25.66,26.88,24.77,47.23,-,-,-,-,-,-,-
PS Ratio,4.25,4.50,4.59,4.43,4.29,4.53,4.28,4.64,-,-,-,-,-,-,-
PB Ratio,0.80,0.84,0.86,0.83,0.78,0.80,0.75,0.80,-,-,-,-,-,-,-
Debt / Equity Ratio,0.02,0.02,0.13,-,-,-,-,-,0.21,0.22,0.24,-,-,-,0.07
Dividend Yield,0.73%,-,-,-,0.37%,-,-,-,-,-,-,-,-,-,-
Payout Ratio,17.90%,0.00%,0.00%,0.00%,41.70%,0.00%,0.00%,0.00%,-,-,-,-,-,-,-
Buyback Yield / Dilution,-1.55%,-1.55%,-11.18%,-26.68%,-4.22%,-4.22%,6.99%,-,-,-,-,-,-,-,-
Total Shareholder Return,-0.82%,-1.55%,-11.18%,-26.68%,-3.85%,-4.22%,6.99%,-,-,-,-,-,-,-,-
