Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+67 Quarters
Market Capitalization,105,108,118,127,126,132,143,131,128,126,108,99,111,92,115,103,105,100,101,121,118,120,118,109,118,118,108,96,92,89,92,84,81,85,71,73,63,62,60,61,63,Upgrade
Market Cap Growth,-,-18.14%,-17.69%,-2.85%,-1.60%,4.76%,32.49%,32.85%,15.70%,36.29%,-5.98%,-3.84%,6.04%,-7.59%,13.52%,-15.07%,-11.42%,-16.64%,-14.00%,10.31%,0.16%,1.59%,9.04%,13.55%,28.75%,31.72%,17.34%,14.14%,13.23%,4.93%,30.53%,14.94%,28.34%,38.27%,16.86%,20.40%,-0.52%,2.93%,3.94%,7.21%,11.91%,Upgrade
Enterprise Value,161,164,154,182,116,48,-24,42,24,42,46,133,133,94,144,136,149,134,139,200,214,181,168,188,171,166,161,165,158,161,149,156,168,129,134,143,114,107,99,109,122,Upgrade
PE Ratio,10.44,10.66,11.95,10.77,9.14,8.34,7.96,6.40,6.01,5.84,5.55,5.75,7.74,7.78,10.80,10.40,10.20,9.49,9.73,11.60,25.02,28.07,26.99,27.27,13.37,13.42,12.07,10.19,9.32,8.83,8.77,8.43,8.38,9.34,8.77,11.35,11.30,12.54,12.98,10.61,11.18,Upgrade
PS Ratio,1.94,1.99,2.25,2.47,2.33,2.31,2.39,2.09,2.01,1.96,1.79,1.76,2.17,1.97,2.57,2.38,2.46,2.35,2.42,2.89,2.89,2.94,2.88,2.68,2.91,2.94,2.68,2.34,2.19,2.09,2.11,1.96,1.92,2.07,1.80,1.97,1.82,1.97,2.09,2.16,2.28,Upgrade
PB Ratio,0.89,0.92,1.06,1.21,1.08,1.07,1.06,0.97,0.97,0.98,0.85,0.81,0.95,0.83,1.06,0.97,1.02,1.03,1.10,1.39,1.37,1.42,1.35,1.26,1.30,1.36,1.27,1.07,1.03,1.05,1.14,1.07,1.08,1.13,0.99,1.05,0.92,0.94,0.96,0.97,1.02,Upgrade
Debt / Equity Ratio,0.75,0.75,0.61,1.07,0.24,0.23,0.21,0.21,0.20,0.20,0.22,0.41,0.34,0.28,0.39,0.52,0.57,0.50,0.62,1.10,1.34,0.88,0.76,1.12,0.70,0.79,0.86,0.96,0.90,0.96,0.88,1.07,1.37,0.92,1.07,1.19,1.00,1.09,1.10,0.95,1.10,Upgrade
Dividend Yield,4.07%,1.02%,0.88%,0.82%,0.83%,0.80%,0.66%,0.73%,0.74%,0.76%,0.83%,0.94%,0.81%,0.98%,0.76%,0.86%,0.84%,0.88%,0.82%,0.69%,0.70%,0.69%,0.66%,0.71%,0.65%,0.66%,0.68%,0.75%,0.79%,0.80%,0.69%,0.75%,0.79%,0.75%,0.85%,0.82%,0.95%,0.97%,0.93%,0.92%,0.88%,Upgrade
Payout Ratio,42.00%,32.80%,85.80%,42.00%,34.40%,33.30%,30.60%,21.10%,19.00%,17.60%,16.20%,16.60%,17.70%,27.20%,26.70%,33.50%,33.50%,40.60%,33.90%,27.60%,29.30%,39.00%,31.70%,-29.30%,32.30%,35.20%,36.00%,34.00%,31.20%,29.70%,25.00%,25.20%,24.20%,23.00%,28.80%,27.70%,29.00%,35.40%,106.40%,43.20%,39.40%,Upgrade
Buyback Yield / Dilution,0.64%,0.64%,0.62%,0.42%,0.11%,-0.11%,-0.49%,1.84%,-0.81%,-0.22%,1.84%,-0.51%,2.11%,1.59%,-0.13%,-0.11%,-0.39%,-1.45%,-2.34%,-2.34%,-2.08%,-1.01%,-0.41%,-1.41%,-1.83%,-3.10%,-4.73%,-3.82%,-3.28%,-2.01%,-0.23%,-0.12%,-0.11%,-0.74%,-2.99%,-2.99%,-3.42%,-2.80%,-0.45%,-0.46%,-0.04%,Upgrade
Total Shareholder Return,4.71%,1.66%,1.50%,1.24%,0.94%,0.69%,0.17%,2.57%,-0.07%,0.53%,2.67%,0.42%,2.93%,2.57%,0.63%,0.75%,0.45%,-0.57%,-1.52%,-1.65%,-1.38%,-0.32%,0.25%,-0.70%,-1.18%,-2.45%,-4.05%,-3.06%,-2.49%,-1.21%,0.46%,0.64%,0.67%,0.01%,-2.14%,-2.17%,-2.47%,-1.83%,0.47%,0.46%,0.83%,Upgrade
