Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Market Capitalization,115,170,169,159,210,193,156,151,158,116,87,104,114,163,155,170,137,140,183,198,189,-,-,-,-,-
Market Cap Growth,-,-12.16%,8.36%,4.92%,32.62%,66.13%,79.47%,45.72%,38.88%,-28.62%,-44.01%,-38.80%,-17.06%,16.31%,-15.14%,-14.30%,-27.43%,-,-,-,-,-,-,-,-,-
Enterprise Value,48,97,81,35,90,88,-22,30,44,23,18,11,13,87,76,97,81,62,87,162,129,-38,-,-,-,-10
PE Ratio,3.51,5.09,4.91,4.67,6.57,6.70,6.63,8.02,10.61,8.86,6.44,7.47,7.43,9.72,9.49,10.73,8.70,9.82,14.76,17.02,18.35,-,-,-,-,-
PS Ratio,1.32,1.85,1.84,1.80,2.54,2.52,2.30,2.53,3.01,2.32,1.75,2.07,2.15,2.98,2.86,3.21,2.63,2.86,3.82,4.23,4.23,-,-,-,-,-
PB Ratio,0.68,0.96,0.99,0.94,1.26,1.17,0.98,1.00,1.08,0.81,0.61,0.75,0.82,1.16,1.13,1.25,1.04,1.08,1.46,1.63,1.61,-,-,-,-,-
Debt / Equity Ratio,0.06,0.06,0.11,0.06,0.06,0.06,0.07,0.05,0.09,0.09,0.13,0.14,0.07,0.07,0.08,0.08,0.07,-,-,0.21,0.09,0.27,-,-,-,0.12
Dividend Yield,6.31%,1.08%,1.08%,0.95%,0.72%,0.78%,0.68%,0.70%,0.67%,0.91%,1.22%,1.01%,0.94%,0.48%,0.51%,0.46%,0.57%,-,-,-,-,-,-,-,-,-
Payout Ratio,20.50%,23.10%,21.40%,18.20%,18.90%,16.70%,13.00%,16.70%,21.20%,28.00%,30.40%,43.80%,33.30%,19.20%,20.00%,20.80%,17.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-0.44%,-0.44%,-0.37%,-0.62%,-0.73%,-0.25%,0.34%,0.05%,1.51%,3.87%,4.27%,3.86%,2.72%,0.51%,-0.65%,-0.56%,-3.25%,-3.90%,-,-,-,-,-,-,-,-
Total Shareholder Return,5.95%,0.64%,0.71%,0.33%,-0.01%,0.53%,1.02%,0.75%,2.18%,4.78%,5.49%,4.87%,3.65%,0.99%,-0.14%,-0.10%,-2.68%,-3.90%,-,-,-,-,-,-,-,-
