Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31,2016-12-31
Market Capitalization,"2,545","2,634","2,712","2,315","2,701","3,988","3,045","2,577","2,899","3,451","3,735","2,668","3,052","3,200","4,719","4,711",-,-,-,-,-,-
Market Cap Growth,-,-33.95%,-10.92%,-10.17%,-6.85%,15.55%,-18.48%,-3.40%,-5.01%,7.84%,-20.86%,-43.37%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"3,006","3,095","3,313","3,301","3,725","4,540","3,168","1,932","2,500","2,990","3,538","3,033","3,386","3,858","5,025","5,475",613,-,"1,087",-,241,477
PE Ratio,6.34,6.57,6.21,5.60,6.67,8.51,6.79,5.52,6.73,16.65,35.08,23.43,24.83,8.82,10.84,12.22,-,-,-,-,-,-
PS Ratio,1.71,1.77,1.79,1.75,2.07,2.96,2.30,2.01,2.36,3.83,4.68,3.10,3.33,2.45,3.39,3.63,-,-,-,-,-,-
PB Ratio,1.06,1.10,1.10,0.94,1.14,1.65,1.40,1.08,1.22,1.44,1.51,1.16,1.37,1.28,1.76,1.90,-,-,-,-,-,-
Debt / Equity Ratio,1.51,1.51,1.61,1.73,1.78,1.71,1.95,1.75,1.86,1.92,1.96,2.20,1.99,1.45,1.23,1.52,1.51,-,1.53,-,1.73,2.07
Dividend Yield,5.35%,-,-,-,7.48%,-,2.46%,-,3.07%,-,-,-,6.62%,-,-,-,-,-,-,-,-,-
Payout Ratio,50.30%,0.00%,0.00%,0.00%,307.50%,0.00%,114.70%,0.00%,76.50%,0.00%,0.00%,0.00%,-155.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,-,-0.00%,0.00%,0.00%,-,0.03%,0.02%,0.02%,0.02%,-0.01%,-0.97%,-4.29%,-4.29%,-4.37%,-3.23%,-3.71%,-2.13%,-,-,-,-,
Total Shareholder Return,5.35%,-,-0.00%,0.00%,7.48%,-,2.49%,0.02%,3.09%,0.02%,-0.01%,-0.97%,2.32%,-4.29%,-4.37%,-3.23%,-3.71%,-2.13%,-,-,-,-
