Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,104,143,176,176,185,197,224,177,162,160,128,98,97,83,129,114,108,116,110,110,-,-,-
Market Cap Growth,-,-27.05%,-21.40%,-0.96%,14.36%,22.65%,75.25%,80.27%,67.71%,92.35%,-1.37%,-13.55%,-10.79%,-27.87%,17.57%,3.20%,-,-,-,-,-,-,-
Enterprise Value,267,309,300,207,248,204,282,256,258,319,404,418,323,221,258,214,171,174,216,144,-,-,86
PE Ratio,5.30,7.06,8.05,7.02,6.47,6.36,6.28,4.81,4.42,4.70,4.83,4.78,6.58,7.59,12.34,11.71,11.87,12.99,13.48,19.04,-,-,-
PS Ratio,0.98,1.38,1.61,1.50,1.46,1.44,1.49,1.11,1.01,1.06,1.00,0.95,1.15,1.16,1.89,1.75,1.68,1.81,1.73,1.72,-,-,-
PB Ratio,0.66,0.94,1.15,1.16,1.19,1.25,1.35,1.12,1.06,1.12,0.90,0.75,0.77,0.71,1.07,0.97,0.95,1.03,1.00,1.03,-,-,-
Debt / Equity Ratio,1.79,1.79,1.06,0.42,0.64,0.49,0.49,0.89,0.80,1.32,2.21,3.00,2.18,1.49,1.39,1.20,0.81,0.87,1.18,0.56,-,-,1.20
Dividend Yield,4.90%,1.02%,0.67%,0.69%,0.66%,3.82%,0.56%,0.44%,0.47%,4.32%,0.60%,0.77%,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,24.30%,34.70%,25.00%,20.20%,20.20%,130.40%,15.40%,7.90%,9.10%,66.10%,8.30%,8.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,6.43%,6.93%,5.29%,2.74%,0.93%,2.35%,2.53%,0.82%,-1.27%,-1.20%,4.26%,4.87%,4.88%,4.88%,0.02%,-0.00%,-,-,-,-,-,-,-
Total Shareholder Return,11.45%,7.95%,5.96%,3.43%,1.59%,6.17%,3.09%,1.26%,-0.79%,3.12%,4.86%,5.64%,4.88%,4.88%,0.02%,-0.00%,-,-,-,-,-,-,-
