Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Market Capitalization,374,508,648,559,579,595,652,613,578,587,483,368,321,281,389,364,395,342,342,369,355,358,326,-,-,-,-,-,-
Market Cap Growth,-,-14.69%,-0.66%,-8.85%,0.24%,1.40%,34.88%,66.45%,80.00%,108.53%,24.32%,1.21%,-18.75%,-17.62%,13.73%,-1.48%,11.32%,-4.59%,4.92%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,571,704,749,851,837,562,522,571,532,414,478,488,548,347,498,445,463,308,417,423,323,305,226,1,-,-,-50,-,-21
PE Ratio,6.84,9.76,12.24,10.19,10.81,11.05,12.07,11.40,10.72,15.35,15.12,14.13,15.81,10.71,15.39,15.52,17.61,14.07,14.31,18.90,19.83,21.98,21.99,-,-,-,-,-,-
PS Ratio,2.04,2.77,3.55,3.13,3.29,3.41,3.76,3.50,3.29,3.79,3.42,2.89,2.84,2.40,3.47,3.48,3.95,3.54,3.60,3.94,3.88,4.02,3.72,-,-,-,-,-,-
PB Ratio,0.71,0.97,1.25,1.25,1.31,1.36,1.49,1.43,1.38,1.44,1.20,0.94,0.84,0.95,1.36,1.50,1.67,1.98,2.05,2.30,2.28,2.37,2.20,-,-,-,-,-,-
Debt / Equity Ratio,0.51,0.51,0.26,0.72,0.64,0.11,0.12,0.12,0.13,0.13,0.18,0.47,0.75,0.37,0.60,0.62,0.45,0.02,0.56,0.44,0.02,0.02,0.02,0.10,-,-,0.03,-,0.03
Dividend Yield,5.48%,1.03%,0.77%,0.80%,0.78%,0.75%,0.65%,0.70%,0.74%,0.65%,0.77%,1.00%,0.98%,1.02%,0.65%,0.68%,0.61%,0.61%,0.60%,0.56%,0.55%,0.55%,0.59%,-,-,-,-,-,-
Payout Ratio,36.80%,42.10%,45.40%,30.60%,32.80%,33.50%,32.10%,31.90%,30.50%,28.20%,27.00%,27.30%,-182.80%,39.60%,35.70%,32.30%,56.00%,33.80%,38.80%,30.90%,32.20%,33.80%,195.80%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-11.63%,-11.63%,-11.96%,-0.27%,-0.40%,-0.34%,0.67%,-0.65%,-18.37%,-28.63%,-40.99%,-43.60%,-25.39%,-32.28%,-21.48%,-18.08%,-15.17%,-0.85%,-0.82%,-0.76%,-0.64%,-0.52%,-1.16%,-0.66%,-2.44%,-,-,-,-
Total Shareholder Return,-6.15%,-10.59%,-11.19%,0.53%,0.38%,0.41%,1.33%,0.04%,-17.63%,-27.97%,-40.22%,-42.60%,-24.41%,-31.25%,-20.82%,-17.40%,-14.56%,-0.24%,-0.22%,-0.21%,-0.09%,0.02%,-0.58%,-0.66%,-2.44%,-,-,-,-
