Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"2,525","2,733","2,899","2,934","3,133","2,715","2,298","1,971","2,046","2,315","1,918","1,334","1,324","1,091","2,040","1,809","1,816","1,701","1,634","1,963","1,937","1,733","1,630","1,807","1,537","1,426","1,462","1,130",938,886,914,983,"1,017",945,982,965,951,869,858,827,709,Upgrade
Market Cap Growth,-,0.66%,26.12%,48.83%,53.11%,17.29%,19.80%,47.76%,54.49%,112.17%,-5.94%,-26.26%,-27.07%,-35.85%,24.80%,-7.83%,-6.23%,-1.85%,0.26%,8.64%,26.04%,21.51%,11.53%,59.87%,63.85%,60.99%,59.86%,14.94%,-7.75%,-6.31%,-6.86%,1.89%,6.84%,8.82%,14.43%,16.73%,34.21%,36.63%,33.02%,26.90%,11.59%,Upgrade
Enterprise Value,-23,185,-187,-313,-656,"-1,290",333,"-2,050","-1,506",-717,329,-474,-426,-430,198,134,139,255,239,204,180,-28,-96,112,-147,-579,-357,-541,-625,-749,-651,-641,-772,-913,-901,-831,-866,"-1,060",-961,-960,-971,Upgrade
PE Ratio,11.98,12.73,15.01,16.85,19.89,16.86,13.71,11.96,13.92,19.37,19.26,13.38,11.80,8.68,15.12,13.70,13.80,13.28,12.99,17.43,19.10,18.43,18.86,21.11,18.78,18.73,20.68,16.67,14.33,13.32,13.82,14.85,14.66,14.44,15.37,15.56,16.49,15.63,15.79,15.67,13.60,Upgrade
PS Ratio,4.31,4.67,5.30,5.70,6.45,5.50,4.65,4.09,4.49,5.66,5.03,3.52,3.37,2.71,4.96,4.52,4.63,4.40,4.28,5.26,5.41,5.00,4.84,5.55,4.82,4.59,4.88,3.83,3.24,3.07,3.19,3.46,3.54,3.38,3.57,3.59,3.68,3.42,3.40,3.30,2.85,Upgrade
PB Ratio,1.93,2.09,2.32,2.46,2.64,2.33,1.96,1.72,1.81,2.12,1.80,1.28,1.28,1.07,2.03,1.85,1.90,1.83,1.81,2.22,2.25,2.07,2.10,2.36,2.05,1.95,2.06,1.63,1.39,1.34,1.40,1.52,1.60,1.52,1.61,1.62,1.64,1.53,1.54,1.51,1.33,Upgrade
Debt / Equity Ratio,0.22,0.22,0.07,0.08,0.08,0.08,0.07,0.08,0.08,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.08,Upgrade
Dividend Yield,2.03%,0.48%,0.45%,0.45%,0.38%,0.43%,0.51%,0.60%,0.54%,0.48%,0.58%,0.83%,0.79%,0.96%,0.51%,0.58%,0.54%,0.58%,0.60%,0.50%,0.35%,0.40%,0.41%,0.37%,0.39%,0.42%,0.41%,0.52%,0.60%,0.63%,0.61%,0.57%,0.52%,0.56%,0.54%,0.54%,0.50%,0.55%,0.55%,0.57%,0.62%,Upgrade
Payout Ratio,23.90%,22.90%,23.00%,23.70%,26.50%,32.70%,30.80%,30.50%,23.10%,26.20%,31.50%,53.10%,50.00%,46.40%,29.40%,31.40%,28.80%,30.60%,30.00%,29.70%,22.60%,23.10%,34.40%,30.90%,26.00%,27.10%,31.70%,32.80%,32.10%,33.60%,35.60%,35.60%,28.60%,32.40%,33.30%,27.90%,33.00%,32.30%,34.10%,33.00%,34.90%,Upgrade
Buyback Yield / Dilution,-0.80%,-0.80%,-0.92%,-0.01%,0.13%,0.35%,0.34%,-0.37%,-0.39%,-0.16%,-0.05%,-0.06%,-0.06%,-0.25%,0.27%,0.29%,0.26%,0.06%,-2.77%,-2.84%,-2.83%,-2.86%,-1.44%,-2.14%,-2.32%,-2.13%,-0.71%,-0.02%,-0.09%,-0.18%,-0.72%,-1.02%,-1.04%,-1.05%,-1.20%,-0.89%,-0.93%,-0.61%,-0.52%,-0.83%,-0.47%,Upgrade
Total Shareholder Return,1.23%,-0.32%,-0.46%,0.44%,0.51%,0.79%,0.85%,0.23%,0.15%,0.33%,0.53%,0.77%,0.73%,0.71%,0.78%,0.87%,0.80%,0.64%,-2.17%,-2.34%,-2.48%,-2.46%,-1.03%,-1.77%,-1.92%,-1.71%,-0.30%,0.50%,0.50%,0.45%,-0.10%,-0.45%,-0.52%,-0.50%,-0.66%,-0.35%,-0.43%,-0.06%,0.04%,-0.25%,0.15%,Upgrade
