Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,16,34,131,199,189,187,29,185
Market Cap Growth,-,-82.01%,351.63%,7.39%,-,-,-,-
Enterprise Value,23,26,124,192,183,187,28,185
PE Ratio,-0.18,-0.18,30.96,147.60,94.40,49.51,-4.15,52.04
PS Ratio,-0.87,-0.87,50.12,107.18,113.34,109.12,0,105.65
PB Ratio,0.36,6.59,4.26,23.89,23.97,-30.17,0.27,7639.46
Debt / Equity Ratio,18.43,18.43,2.22,0.10,0.03,-1.11,0.10,3.22
Current Ratio,0.21,0.21,0.32,59.84,152.21,4.43,2.42,0.32
Asset Turnover,-0.39,0.03,0.20,0.20,0.01,0,17.13,
Return on Equity (ROE),-920.02%,3.44%,4.05%,6.35%,-15.23%,-1.62%,3670.33%,
Return on Assets (ROA),-47.35%,1.07%,3.70%,6.15%,0.80%,-1.47%,869.59%,
Return on Capital (ROIC),-162.18%,4.12%,-8.88%,-12.46%,0.00%,-0.01%,0.00%,
Earnings Yield,-300.39%,-139.57%,0.81%,0.17%,0.26%,0.50%,-6.02%,0.48%
FCF Yield,4.65%,-0.83%,0.81%,0.36%,0.27%,-0.25%,-0.00%,-
Buyback Yield / Dilution,-37.16%,-37.16%,-1.46%,-56.87%,-,-,-,-
Total Shareholder Return,-37.16%,-37.16%,-1.46%,-56.87%,-,-,-,-
