Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+6 Quarters
Market Capitalization,"2,524","2,541","2,364","2,144","2,833","3,103","3,765","3,867","4,023","4,091","3,955","3,064","2,554","1,672","2,515","2,197","2,141","1,936","1,701","2,494","2,321","2,564","2,985","2,464","2,321","2,086","2,213","2,026","2,061","2,297","2,647","2,587","3,411","3,339","3,685","3,796","4,028","4,519","4,582","3,609","3,364",Upgrade
Market Cap Growth,-,-18.10%,-37.21%,-44.54%,-29.59%,-24.16%,-4.80%,26.21%,57.51%,144.63%,57.30%,39.43%,19.27%,-13.64%,47.81%,-11.89%,-7.74%,-24.47%,-43.01%,1.20%,0.02%,22.89%,34.86%,21.64%,12.57%,-9.17%,-16.38%,-21.69%,-39.57%,-31.22%,-28.17%,-31.86%,-15.32%,-26.10%,-19.57%,5.19%,19.74%,72.59%,-,-,-,Upgrade
Enterprise Value,"2,708","2,685","2,541","2,279","2,987","3,212","3,864","3,861","4,069","4,101","4,048","3,127","2,652","1,791","2,671","2,325","2,287","2,088","1,735","2,465","2,283","2,517","3,031","2,441","2,303","2,064","2,260","2,013","2,063","2,278","2,683","2,569","3,396","3,324","3,705","3,730","3,992","4,480","4,553","3,514","3,291",Upgrade
PE Ratio,11.41,13.23,11.44,8.99,10.09,9.56,11.19,11.90,13.54,16.04,18.60,16.65,15.31,10.46,16.06,15.21,14.69,13.03,10.75,25.37,26.85,36.07,60.18,25.56,27.36,27.25,30.31,27.45,28.16,29.24,32.36,31.16,40.14,41.48,52.92,64.98,91.65,148.18,184.70,245.08,384.58,Upgrade
PS Ratio,2.71,2.69,2.38,1.98,2.43,2.55,3.07,3.30,3.69,4.14,4.40,3.62,3.13,2.05,3.15,2.81,2.70,2.41,2.05,2.94,2.77,3.11,3.75,3.22,3.11,2.86,3.07,2.77,2.77,2.96,3.29,3.16,4.09,4.02,4.45,4.63,5.13,6.11,6.68,5.77,5.85,Upgrade
PB Ratio,10.04,9.95,9.02,8.98,12.51,13.62,13.63,15.49,18.27,22.28,21.92,21.08,21.13,15.80,18.91,18.52,20.38,21.57,12.60,19.42,20.95,27.55,27.16,15.78,15.82,14.95,16.81,16.01,16.61,19.00,20.36,21.12,28.81,30.41,33.24,40.44,50.57,81.25,104.66,146.94,67.16,Upgrade
Debt / Equity Ratio,1.24,1.24,1.22,1.35,1.41,1.37,1.09,1.14,1.31,1.59,1.62,2.03,2.43,2.81,2.26,2.54,2.90,3.42,1.55,1.55,1.80,2.14,1.87,1.27,1.36,1.43,1.54,1.58,1.61,1.65,1.56,1.63,1.69,1.82,1.84,2.13,2.51,3.60,4.65,8.14,3.99,Upgrade
Dividend Yield,8.13%,2.24%,1.49%,1.75%,1.67%,3.50%,1.73%,1.55%,1.31%,1.84%,1.20%,1.23%,1.33%,4.08%,1.34%,1.40%,1.32%,4.12%,1.75%,1.19%,1.27%,2.57%,0.93%,1.12%,1.17%,1.89%,1.05%,1.14%,1.11%,1.61%,0.83%,0.85%,0.63%,0.59%,0.47%,0.44%,0.38%,0.98%,0.13%,0.18%,-,Upgrade
Payout Ratio,102.20%,125.00%,72.70%,92.30%,122.60%,194.40%,84.90%,76.90%,66.20%,107.60%,70.30%,72.00%,84.70%,241.50%,83.30%,84.50%,83.30%,338.30%,105.30%,77.90%,83.30%,185.30%,-82.20%,98.40%,133.30%,259.50%,142.90%,146.30%,157.90%,285.70%,125.00%,136.40%,120.00%,139.50%,84.60%,96.50%,131.00%,-95.20%,-14.30%,102.40%,0.00%,Upgrade
Buyback Yield / Dilution,-1.90%,-1.90%,-3.31%,-4.42%,-4.20%,-5.61%,-6.91%,-6.34%,-7.08%,-10.34%,-10.30%,-9.64%,-9.06%,-6.22%,-4.10%,-4.15%,-4.49%,-5.88%,-6.99%,-7.65%,-8.40%,-15.46%,-19.23%,-18.74%,-18.98%,-10.95%,-6.01%,-6.08%,-5.64%,-13.29%,-16.40%,-19.95%,-29.30%,-61.44%,-128.76%,-98.58%,-82.00%,-32.17%,79.23%,-,-,Upgrade
Total Shareholder Return,6.23%,0.34%,-1.82%,-2.67%,-2.53%,-2.11%,-5.18%,-4.79%,-5.77%,-8.50%,-9.10%,-8.41%,-7.72%,-2.14%,-2.76%,-2.74%,-3.17%,-1.76%,-5.24%,-6.46%,-7.13%,-12.89%,-18.30%,-17.63%,-17.81%,-9.06%,-4.96%,-4.94%,-4.54%,-11.68%,-15.57%,-19.11%,-28.67%,-60.85%,-128.29%,-98.14%,-81.62%,-31.19%,79.36%,0.18%,-,Upgrade
