Metrics,Current,2023-01-31,2022-10-31,2022-07-31,2022-01-31,2021-10-31,2021-07-31,2021-01-31,2020-07-31,2020-01-31,2019-07-31
Market Capitalization,17,25,13,18,36,37,35,51,61,69,122
Market Cap Growth,-,-33.41%,-62.22%,-64.07%,-40.54%,-46.33%,-71.17%,-,-,-,-
Enterprise Value,20,25,13,18,31,37,29,45,59,67,115
PE Ratio,-519.05,-519.05,-,-6.27,-11.76,-,-4.11,-2.61,-4.11,-18.16,284.18
PS Ratio,5.95,7.37,-,10.94,71.12,-,37.54,49.70,94.82,56.56,39.62
PB Ratio,3.89,4.81,3.08,3.86,4.87,-,3.68,6.26,3.52,8.50,10.89
Debt / Equity Ratio,0.26,0.26,0.34,0.30,0.07,-,0.08,0.05,0.04,0.14,-
Current Ratio,2.73,2.73,1.92,2.14,3.65,-,7.42,4.25,0.67,4.56,9.28
Buyback Yield / Dilution,-4.35%,-4.35%,-1.52%,2.94%,-20.22%,-24.43%,-33.48%,-39.99%,-13.69%,-5.93%,-
Total Shareholder Return,-4.35%,-4.35%,-1.52%,2.94%,-20.22%,-24.43%,-33.48%,-39.99%,-13.69%,-5.93%,-
