Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,"3,094",359,229,117,192,379,"1,215","1,614","3,600","3,755","4,387","4,084",-,-,-
Market Cap Growth,-,-5.37%,-81.13%,-92.76%,-94.67%,-89.90%,-72.30%,-60.49%,-,-,-,-,-,-,-
Enterprise Value,"3,541",880,770,615,834,942,"1,827","1,972","3,906","3,981","4,644","4,191",283,-,279
PE Ratio,-2.48,-2.48,-1.54,-0.48,-0.82,-1.89,-6.42,993.08,-104.18,-82.67,-99.11,-63.59,-,-,-
PS Ratio,5.55,0.66,0.36,0.12,0.18,0.34,1.14,1.52,3.56,3.99,5.00,5.52,-,-,-
PB Ratio,11.46,1.36,0.85,0.36,0.55,1.05,3.44,3.24,7.65,8.44,11.53,12.10,-,-,-
Debt / Equity Ratio,2.10,2.10,2.07,2.20,2.07,1.92,1.97,0.89,0.89,0.90,1.05,1.19,0.38,-,0.34
Current Ratio,1.79,1.79,1.56,1.83,2.35,2.78,1.98,1.93,2.60,3.22,3.08,2.87,2.48,-,1.27
Buyback Yield / Dilution,-15.72%,-15.72%,-15.94%,-16.18%,-21.64%,-25.83%,-36.80%,-35.35%,67.34%,70.52%,73.13%,-,-,-,-
Total Shareholder Return,-15.72%,-15.72%,-15.94%,-16.18%,-21.64%,-25.83%,-36.80%,-35.35%,67.34%,70.52%,73.13%,-,-,-,-
