symbol,sector,industry,website,longBusinessSummary,address1,city,state,zip,country,latitude,longitude,fullTimeEmployees
SYM,Financial Services,Shell Companies,https://www.symbotic.com,"Symbotic Inc., an automation technology company, provides robotics and technology to improve efficiency for retailers and wholesalers in the United States. The company offers Symbotic system, an end-to-end warehouse automation system for product distribution. It also designs, assemblies, and installs modular inventory management systems and performs configuration of embedded software. Symbotic Inc. is headquartered in Wilmington, Massachusetts.",200 Research Drive,Wilmington,MA,01887,United States,42.60510190045699,-71.15796978173682,1120.0
CVII,Financial Services,Shell Companies,https://vii.churchillcapitalcorp.com,"Churchill Capital Corp VII, a blank check company, focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2020 and is based in New York, New York.",640 Fifth Avenue,New York,NY,10019,United States,40.75943959446599,-73.97712400833942,
SCRM,Financial Services,Shell Companies,https://eaglesinvest.com,"Screaming Eagle Acquisition Corp. does not have significant operations. It focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2021 and is based in New York, New York.",955 Fifth Avenue,New York,NY,10075,United States,40.77541291605872,-73.96479335199858,
APGB,Financial Services,Shell Companies,https://www.apollostrategicgrowthcapitalii.com,"Apollo Strategic Growth Capital II does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, recapitalization, reorganization, or other similar business combination with one or more businesses or entities. The company was formerly known as APH I (Sub I), Ltd. and changed its name to Apollo Strategic Growth Capital II in December 2020. Apollo Strategic Growth Capital II was incorporated in 2008 and is based in New York, New York.",9 West 57th Street,New York,NY,10019,United States,40.76379822602672,-73.97518343011625,
EOCW,Financial Services,Shell Companies,https://elliottopportunity.com,"Elliott Opportunity II Corp. does not have significant operations. It intends to effect a merger, capital share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses or assets in the technology sector. Elliott Opportunity II Corp. was incorporated in 2021 and is based in West Palm Beach, Florida.",360 S Rosemary Avenue,West Palm Beach,FL,33401,United States,26.710959997359183,-80.0566769670959,
AAC,Financial Services,Shell Companies,https://www.aresacquisitioncorporation.com,"Ares Acquisition Corporation does not have significant operations. The company intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. Ares Acquisition Corporation was incorporated in 2020 and is based in New York, New York.",245 Park Avenue,New York,NY,10167,United States,40.75473917896926,-73.97553249488796,
PNTM,Financial Services,Shell Companies,https://www.pontemcorp.com,"Pontem Corporation does not have significant operations. The company focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. It intends to focus its search on global and regional industrial technology businesses. Pontem Corporation was incorporated in 2020 and is based in the woodlands, Texas.",2170 Buckthorne Place,The Woodlands,TX,77380,United States,30.141898985086897,-95.47018402976458,
GRNT,Energy,Oil & Gas E&P,https://www.graniteridge.com,"Granite Ridge Resources, Inc. is an infrastructure firm and operates as a non-operated oil and gas exploration and production company. The firm invests in a diversified portfolio of production and top-tier acreage across the Permian and four other prolific US basins in partnership with operators. Granite Ridge Resources, Inc. is headquartered in Dallas, Texas.",5217 McKinney Avenue,Dallas,TX,75205,United States,32.830258013135875,-96.78349297343915,2.0
CCVI,Financial Services,Shell Companies,https://vi.churchillcapitalcorp.com,"Churchill Capital Corp VI does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. Churchill Capital Corp VI was incorporated in 2020 and is based in New York, New York.",640 Fifth Avenue,New York Mills,MN,10019,United States,40.75943959446599,-73.97712400833942,
ALCC,Financial Services,Shell Companies,https://altcacquisitioncorp.com,"AltC Acquisition Corp. does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was formerly known as Churchill Capital Corp VIII and changed its name to AltC Acquisition Corp. in February 2021. AltC Acquisition Corp. was incorporated in 2021 and is based in New York, New York.",640 Fifth Avenue,New York,NY,10019,United States,40.75943959446599,-73.97712400833942,
GHIX,Financial Services,Shell Companies,,"Gores Holdings IX, Inc. does not have significant operations. It focuses on a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2021 and is based in Boulder, Colorado.",6260 Lookout Road,Boulder,CO,80301,United States,40.07002600471955,-105.20743801500994,
