Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-19
Cash & Equivalents,0.01,0.04,0.23,0.27,0.31,0.35,1.01,0,0
Cash & Cash Equivalents,0.01,0.04,0.23,0.27,0.31,0.35,1.01,0,0
Cash Growth,-96.55%,-87.32%,-77.04%,-,-,-,-,-,-
Other Current Assets,0.19,0.23,0.35,0.43,0.44,0.41,0.41,-,-
Total Current Assets,0.2,0.28,0.58,0.7,0.75,0.76,1.42,-,-
Long-Term Investments,225.09,222.73,220.89,219.92,219.63,219.62,219.61,-,-
Other Long-Term Assets,0,0,0,0.03,0.13,0.23,0.33,-,-
Total Long-Term Assets,225.09,222.73,220.89,219.95,219.77,219.85,219.95,-,-
Total Assets,225.28,223,221.47,220.65,220.52,220.61,221.37,0.47,0.24
Accounts Payable,0.12,0.3,0.35,0.02,0.01,0.13,0.16,0.01,0.01
Deferred Revenue,2.69,2.69,2.69,2.69,2.31,2.31,0,0,0
Other Current Liabilities,3.09,2.37,1.78,0.58,-0.22,-1.3,0.84,0.36,0.22
Total Current Liabilities,5.9,5.35,4.82,3.29,2.1,1.14,1.01,0.37,0.23
Long-Term Debt,0.3,0.3,0.3,0.3,0.3,0.08,0.08,0.08,0
Other Long-Term Liabilities,8.74,9.56,9.37,9.52,12.45,13.51,15.82,0,0
Total Long-Term Liabilities,9.04,9.86,9.67,9.82,12.75,13.6,15.91,0.08,0
Total Liabilities,14.95,15.21,14.48,13.12,14.85,14.74,16.91,0.46,0.23
Total Debt,0.3,0.3,0.3,0.3,0.3,0.08,0.08,0.08,0
Debt Growth,-,255.40%,255.40%,255.40%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-14.75,-14.94,-13.91,-12.38,-13.96,-13.74,-15.16,-0.01,-0.01
Shareholders' Equity,-14.75,-14.94,-13.91,-12.38,-13.96,-13.74,-15.16,0.01,0.01
Total Liabilities and Equity,0.2,0.28,0.58,0.73,0.89,1,1.75,0.47,0.24
Net Cash / Debt,-0.29,-0.26,-0.07,-0.03,0.01,0.27,0.92,-0.08,0
Net Cash Per Share,-0.01,-0.01,-0.00,-0.00,0.00,0.02,0.05,-0.02,-
Working Capital,-5.71,-5.08,-4.24,-2.59,-1.35,-0.38,0.41,-,-
Book Value Per Share,-0.54,-0.54,-0.51,-0.45,-0.51,-0.85,-0.79,0.00,0.01
