Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Cash & Equivalents,5.34,10.57,15.74,31.67,38.25,48.81,38.69,41.66,-,-,-,38.34
Cash & Cash Equivalents,5.34,10.57,15.74,31.67,38.25,48.81,38.69,41.66,0,0,0,38.34
Cash Growth,-86.03%,-78.34%,-59.31%,-23.98%,-,-,-,8.64%,-,-,-,-
"Property, Plant & Equipment",4.39,4.27,4.33,3.33,3.31,3.34,3.4,3.46,-,-,-,3.52
Total Assets,351.68,356.83,360.94,366.18,362.54,361.83,336.7,338.85,-,-,-,332.97
Total Liabilities,276,281.55,286.03,291.93,288.88,312.49,287.59,290.21,-,-,-,285.72
Total Debt,0.98,1,1.02,0,0.12,0.29,0.46,0.92,-,-,-,3.72
Debt Growth,754.78%,248.26%,122.88%,-,-,-,-,-75.33%,-,-,-,-
Common Stock,25.37,25.33,25.3,25.28,25.25,-0.01,-0.01,0,-,-,-,-0.01
Retained Earnings,50.31,49.96,49.62,48.97,48.41,49.34,49.11,48.63,-,-,-,47.25
Comprehensive Income,-0,-0,-0,0,0,0.01,0.01,0.02,-,-,-,0.01
Shareholders' Equity,75.67,75.28,74.92,74.25,73.66,49.34,49.11,48.65,-,-,-,47.25
Total Liabilities and Equity,351.68,356.83,360.94,366.18,362.54,361.83,336.7,338.85,-,-,-,332.97
Net Cash / Debt,4.36,9.57,14.72,31.67,38.13,48.53,38.23,40.74,0,0,0,34.62
Net Cash / Debt Growth,-88.57%,-80.28%,-61.50%,-22.27%,-,-,-,17.67%,-,-,-,-
Net Cash Per Share,0.69,1.53,2.35,-,6.93,-,-,-,-,-,-,-
Book Value Per Share,12.01,12.00,11.95,12.61,13.39,7.51,7.47,7.40,-,-,-,-
