Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Cash & Equivalents,3.27,5.76,5.77,6.81,3.51,4.7,0.94,0.89,1.78,14.89,1.38,3.01,16.81,45.8,2.67,14.33,3,2.53,13.39,1.95,3.9,8.14,4.74,4.98,1.27,1.04,0.03,0.03,-,0.03
Cash & Cash Equivalents,3.27,5.76,5.77,6.81,3.51,4.7,0.94,0.89,1.78,14.89,1.38,3.01,16.81,45.8,2.67,14.33,3,2.53,13.39,1.95,3.9,8.14,4.74,4.98,1.27,1.04,0.03,0.03,0,0.03
Cash Growth,-6.82%,22.65%,516.56%,662.93%,97.12%,-68.45%,-32.03%,-70.30%,-89.41%,-67.50%,-48.36%,-79.02%,460.22%,1712.07%,-80.07%,635.57%,-22.98%,-68.96%,182.26%,-60.92%,205.90%,682.90%,18874.06%,19836.65%,-,4059.72%,-,-,-,-
Receivables,0,0,1.82,0.08,0.47,0,0.16,0.23,0.29,0.36,0.44,0.44,0.45,0.4,0.48,0.51,0.04,0.04,0.69,0.03,0.03,0.03,0.03,0.18,0,0.06,0,0,-,0
Total Assets,"1,173.45","1,141.77",922.27,818.44,762.1,738.35,651.25,621.38,619.72,639.89,523.92,460.82,431.48,516.29,423.65,390.79,317.13,308.22,209.37,208.76,144.95,149.32,81.41,41.61,2.84,4.19,0.03,0.03,-,0.03
Accounts Payable,9.57,8.81,0.26,0.18,0.19,6.01,0.23,0.12,0.03,0.14,0.11,0.08,0.27,0.08,0.11,0.1,0.08,0.2,0.04,63,16.24,22.01,0.02,0.03,0.07,0.65,0,0,-,0
Deferred Revenue,0,0,0,0,3.18,0,0,0,0,0,0,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,-,0
Total Liabilities,603.65,565.71,348.61,239.03,164.63,132.15,147.05,143.64,146.25,173.65,126.52,72.56,55.09,139.98,128.58,98.46,79.15,140.98,45.82,78.39,16.51,22.28,0.22,0.26,0.25,0.71,0,0,-,0
Total Debt,583.92,548.96,336.54,228.61,154.12,124.26,138.45,135.54,140.41,167.07,121.24,68.88,49.75,134.61,123.64,85.53,76.34,138.93,44.78,15,0,0,0,0,0,0,0,0,-,0
Debt Growth,278.87%,341.77%,143.09%,68.67%,9.77%,-25.62%,14.19%,96.77%,182.22%,24.11%,-1.94%,-19.46%,-34.83%,-3.11%,176.13%,470.18%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,595.37,595.37,597.18,601.2,606.05,606.46,513.43,486.08,476.67,467.19,408.75,400.81,393.28,384.63,303.06,295.33,233.62,162.68,163.29,129.35,127.01,127.01,83.81,43.81,3.24,3.81,0.03,0.03,-,0.03
Retained Earnings,-25.57,-19.32,-23.52,-21.79,-8.59,-0.27,-9.23,-8.34,-3.19,-0.94,-11.35,-12.56,-16.89,-8.31,-7.99,-2.99,4.36,4.69,0.25,1.03,1.44,0.03,-2.62,-2.45,-0.64,-0.33,-,-,-,0
Shareholders' Equity,569.81,576.05,573.66,579.41,597.47,606.2,504.2,477.74,473.48,466.24,397.4,388.25,376.39,376.31,295.07,292.34,237.98,167.37,163.55,130.38,128.44,127.04,81.19,41.36,2.59,3.48,0.03,0.03,-,0.03
Total Liabilities and Equity,"1,173.45","1,141.77",922.27,818.44,762.1,738.35,651.25,621.38,619.72,639.89,523.92,460.82,431.48,516.29,423.65,390.79,317.13,308.35,209.37,208.76,144.95,149.32,81.41,41.61,2.84,4.19,0.03,0.03,-,0.03
Net Cash / Debt,-580.65,-543.2,-330.77,-221.8,-150.61,-119.57,-137.51,-134.64,-138.63,-152.18,-119.86,-65.88,-32.94,-88.82,-120.97,-71.2,-73.34,-136.4,-31.39,-13.05,3.9,8.14,4.74,4.98,1.27,1.04,0.03,0.03,0,0.03
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,205.90%,682.90%,18874.06%,19836.65%,-,4059.72%,-,-,-,-
Net Cash Per Share,-14.33,-13.40,-8.11,-5.38,-3.64,-3.02,-4.15,-4.16,-4.40,-4.96,-4.40,-2.47,-1.27,-3.99,-6.05,-4.53,-4.97,-12.43,-3.54,-1.50,0.45,2.91,1.34,4.06,3.80,96.52,15.00,15.00,-,15.00
Book Value Per Share,14.07,14.21,14.07,14.06,14.44,15.29,15.21,14.75,15.03,15.21,14.57,14.57,14.54,16.92,14.76,18.59,16.13,15.25,18.45,15.00,14.82,45.45,22.86,33.66,7.74,322.69,15.00,15.00,-,15.00
