Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Cash & Equivalents,310.94,332.01,217.85,320.2,371.32,327.03,360.58,353.77,-,203.56,-,96.07
Cash & Cash Equivalents,310.94,332.01,217.85,320.2,371.32,327.03,360.58,353.77,0,203.56,0,96.07
Cash Growth,-16.26%,1.53%,-39.58%,-9.49%,-,60.65%,-,268.26%,-,-,-,-
"Property, Plant & Equipment",47.83,46.53,25.45,22.89,20.85,19.05,18.36,15.86,-,15.16,-,7.7
Goodwill and Intangibles,19.12,19.17,19.21,19.25,19.29,19.33,19.37,19.41,-,19.49,-,0
Total Assets,"3,859.66","3,773.15","3,516.85","3,358.06","3,040.39","2,499.41","2,082.17","2,013.3",-,"1,867.29",-,928.34
Total Liabilities,"3,472.61","3,391.37","3,140.49","3,056.1","2,739.19","2,200.41","1,875.97","1,875.48",-,"1,745.58",-,871.03
Total Debt,131.12,129.43,111.17,129.24,131.51,51,51.25,83.5,-,103.88,-,60.38
Debt Growth,-0.30%,153.79%,116.92%,54.78%,-,-50.90%,-,38.30%,-,-,-,-
Common Stock,330.98,330.61,330.37,262.86,262.2,261.59,167.07,101.61,-,95.53,-,44.03
Retained Earnings,58.18,53.27,47.16,40.39,38.12,36.03,35.67,33.29,-,24.61,-,12.49
Comprehensive Income,-2.12,-2.1,-1.18,-1.28,0.89,1.39,1.39,1.04,-,0.28,-,0
Shareholders' Equity,387.04,381.78,376.35,301.97,301.2,299.01,204.14,135.95,-,120.42,-,56.52
Total Liabilities and Equity,"3,859.66","3,773.15","3,516.85","3,358.06","3,040.39","2,499.41","2,080.11","2,011.42",-,"1,865.99",-,927.55
Net Cash / Debt,179.82,202.58,106.68,190.96,239.81,276.03,309.33,270.27,0,99.69,0,35.69
Net Cash / Debt Growth,-25.02%,-26.61%,-65.51%,-29.35%,-,176.90%,-,657.27%,-,-,-,-
Book Value Per Share,28.50,28.21,27.88,22.44,22.41,22.40,16.58,11.04,-,9.78,-,-
