Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Cash & Equivalents,9.86,13.15,18.12,32.82,51.55,121.61,42.74,-,-,31.87,-,32.38
Cash & Cash Equivalents,9.86,13.15,18.12,32.82,51.55,121.61,42.74,0,0,31.87,0,32.38
Cash Growth,-80.88%,-89.19%,-57.61%,-,-,281.61%,-,-,-,-,-,-
"Property, Plant & Equipment",4.97,5.04,5.1,5.15,5.07,5.09,5.13,-,-,5.21,-,5.4
Total Assets,259.56,264.21,268.18,274.25,284.91,340.87,259.88,-,-,242.22,-,235.55
Total Liabilities,177.49,183.66,189.02,190.74,198.29,295.69,213.93,-,-,195.49,-,189.78
Total Debt,0,0,0,0,5,5,5,-,-,4,-,0
Debt Growth,-,-,-,-,-,25.00%,-,-,-,-,-,-
Common Stock,46.43,46.38,46.28,46.23,46.18,0,0,-,-,0,-,0
Retained Earnings,45.18,45.29,45.25,45.13,44.99,45.26,45.32,-,-,45.32,-,45.43
Comprehensive Income,-9.54,-11.13,-12.37,-7.86,-4.54,-0.08,0.63,-,-,1.41,-,0.33
Shareholders' Equity,82.07,80.54,79.16,83.51,86.63,45.18,45.95,-,-,46.73,-,45.76
Total Liabilities and Equity,259.56,264.21,268.18,274.25,284.91,340.87,259.88,-,-,242.22,-,235.55
Net Cash / Debt,9.86,13.15,18.12,32.82,46.55,116.61,37.74,0,0,27.87,0,32.38
Net Cash / Debt Growth,-78.83%,-88.73%,-51.99%,-,-,318.44%,-,-,-,-,-,-
Net Cash Per Share,1.97,2.64,3.64,6.60,11.71,-,-,-,-,-,-,-
Book Value Per Share,16.45,16.16,15.92,16.80,21.80,8.37,8.51,-,-,8.66,-,-
