Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.08,0,0,0.04,0.01,0.28,0.62,0.78,0.07
Cash & Cash Equivalents,0.08,0,0,0.04,0.01,0.28,0.62,0.78,0.07
Cash Growth,441.72%,-99.78%,-99.26%,-95.04%,-79.59%,-,-,-,-
Other Current Assets,0.04,0.13,0.22,0.31,0.08,0.25,0.43,0.61,0.2
Total Current Assets,0.12,0.13,0.23,0.34,0.09,0.53,1.06,1.39,0.27
Long-Term Investments,280,277.68,276.43,276.04,276.01,276.01,276,276,0
Total Long-Term Assets,280,277.68,276.43,276.04,276.01,276.01,276,276,0
Total Assets,280.12,277.81,276.66,276.38,276.1,276.54,277.06,277.39,0.27
Accounts Payable,0.97,7.65,7.4,5.2,3.73,0.16,0.17,0.02,0.18
Current Debt,0.67,0.49,0.45,0.45,0.45,0,0,0,0.08
Total Current Liabilities,1.63,8.14,7.85,5.65,4.18,0.16,0.17,0.02,0.26
Other Long-Term Liabilities,0,10.02,11.08,13.21,17.76,16.91,21.31,20.32,0
Total Long-Term Liabilities,0,10.02,11.08,13.21,17.76,16.91,21.31,20.32,0
Total Liabilities,1.63,18.15,18.93,18.86,21.94,17.07,21.49,20.34,0.26
Total Debt,0.67,0.49,0.45,0.45,0.45,0,0,0,0.08
Debt Growth,48.00%,-,-,-,500.00%,-,-,-,-
Common Stock,9.53,0.1,0,0,0,0,0,0,0.03
Retained Earnings,-11.04,-18.12,-18.7,-18.52,-21.85,-16.53,5,5,-0.01
Shareholders' Equity,-1.51,-18.02,-18.7,-18.52,-21.85,-16.53,5,5,0.02
Total Liabilities and Equity,0.12,0.13,0.23,0.34,0.09,0.54,26.49,25.34,0.27
Net Cash / Debt,-0.59,-0.49,-0.45,-0.41,-0.44,0.28,0.62,0.78,-0
Net Cash Per Share,-0.02,-0.01,-0.01,-0.01,-0.01,0.01,0.02,0.04,-0.00
Working Capital,-1.51,-8.01,-7.62,-5.31,-4.09,0.37,0.88,1.36,0.02
Book Value Per Share,-0.04,-0.52,-0.54,-0.54,-0.63,-0.48,0.14,0.23,0.00
