Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.07,0.08,0.07,0.29,0.5,0.03
Cash & Cash Equivalents,0.07,0.08,0.07,0.29,0.5,0.03
Cash Growth,-85.65%,204.56%,-,-,-,-
Receivables,0.01,0,0,0,0,0
Other Current Assets,0.03,0.03,0.03,0.03,0.04,-
Total Current Assets,0.11,0.1,0.09,0.32,0.54,-
Long-Term Investments,105.08,103.34,102.87,102.74,102.73,-
Total Long-Term Assets,105.08,103.34,102.87,102.74,102.73,-
Total Assets,105.19,103.44,102.97,103.05,103.26,0.19
Accounts Payable,0.64,0.77,0.06,0.04,0.02,0
Current Debt,1.35,0.07,0,0,0,0.16
Other Current Liabilities,0.21,0.05,0.04,0.03,0.11,0
Total Current Liabilities,2.2,0.88,0.1,0.07,0.12,0.16
Other Long-Term Liabilities,3.54,3.54,3.54,3.54,3.54,0
Total Long-Term Liabilities,3.54,3.54,3.54,3.54,3.54,0
Total Liabilities,5.74,4.43,3.64,3.61,3.67,0.16
Total Debt,1.35,0.07,0,0,0,0.16
Debt Growth,-,-59.53%,-,-,-,-
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-4.28,-3.7,-3.39,-3.28,-3.12,-0
Shareholders' Equity,-4.28,-3.7,-3.39,-3.28,-3.12,0.02
Total Liabilities and Equity,1.46,0.72,0.25,0.33,0.55,0.19
Net Cash / Debt,-1.27,0.01,0.07,0.29,0.5,-0.14
Net Cash Per Share,-0.10,0.00,0.01,0.02,0.11,-0.06
Working Capital,-2.09,-0.78,-0.01,0.25,0.41,-
Book Value Per Share,-0.33,-0.28,-0.26,-0.25,-0.68,0.01
