Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Cash & Equivalents,1.64,0.59,1.5,1.73,8.52,9.15,20.61,59.76,26.57,53.18,13.17,30.98,22.84,4.61,3.37,2.54,3.41,4.17,4.06,3.94,6.03,2.92,8.02,4.87,66.76,66.78
Cash & Cash Equivalents,1.64,0.59,1.5,1.73,8.52,9.15,20.61,59.76,26.57,53.18,13.17,30.98,22.84,4.61,3.37,2.54,3.41,4.17,4.06,3.94,6.03,2.92,8.02,4.87,66.76,66.78
Cash Growth,-80.73%,-93.58%,-92.71%,-97.11%,-67.95%,-82.80%,56.52%,92.92%,16.36%,1054.62%,290.80%,1118.13%,570.30%,10.54%,-17.00%,-35.49%,-43.50%,42.90%,-49.36%,-19.04%,-90.97%,-95.63%,-,-,-,-
Receivables,1.48,1.84,1.28,5.22,5.5,2.46,2.71,5.27,7.01,0.84,2.28,2.76,6.71,0.65,0.67,0.69,2.17,11.46,1.51,0.68,2.69,0.91,0.83,0.12,2.04,9.8
Total Assets,314.07,310.11,293.13,346.5,315.78,426.31,415.23,397.79,371.36,283.33,264.51,257.97,273.61,291.04,298.19,334.56,290.21,281.56,288.48,286.63,257.11,239.91,218.3,213.75,225.45,236.54
Accounts Payable,74.7,71.63,54.11,106.26,103.64,209.44,163.71,140.96,163.01,87.36,87.78,88.23,102.17,83.24,86.21,112.77,98.68,94.03,83.44,83.86,54.48,75.37,18.37,24.79,19.76,27.36
Total Liabilities,223.76,225.3,197.61,248.89,246.49,351.76,315.8,306.12,279.83,203.71,204.04,204.81,222.76,204.15,206.71,230.92,176.26,171.45,160.69,161.04,131.52,107.63,85.49,60.05,55.01,63.56
Total Debt,148.44,153.15,142.86,142.57,142.29,142,151.74,164.5,115.9,115.66,115.41,115.96,119.79,119.81,119.55,116.88,76.44,76.3,76.06,75.91,75.77,31.2,66.08,34.41,34.47,34.53
Debt Growth,4.32%,7.86%,-5.85%,-13.33%,22.77%,22.77%,31.48%,41.86%,-3.25%,-3.46%,-3.46%,-0.79%,56.71%,57.03%,57.19%,53.97%,0.88%,144.59%,15.11%,120.63%,119.81%,-9.67%,-,-,-,-
Common Stock,284.18,284.18,284.44,284.44,248.18,245.58,245.69,232.45,232.45,230.73,196.85,194.56,193.22,193.22,193.35,193.35,196.76,198.35,198.53,198.53,198.53,198.53,195.98,205.35,216.66,219.45
Retained Earnings,-193.88,-199.37,-188.92,-186.83,-178.89,-171.02,-146.27,-140.79,-140.92,-151.12,-136.39,-141.41,-142.37,-106.33,-101.87,-89.71,-82.81,-88.24,-22.13,-23.06,-27.3,-66.25,-27.34,-28.17,-30.07,-33.01
Comprehensive Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48.6,-49.88,-45.64,0,-35.84,-23.48,-16.15,-13.46
Shareholders' Equity,90.31,84.81,95.52,97.61,69.29,74.56,99.43,91.67,91.53,79.62,60.46,53.15,50.85,86.89,91.49,103.64,113.95,110.12,127.8,125.59,125.6,132.29,132.81,153.7,170.44,172.98
Total Liabilities and Equity,314.07,310.11,293.13,346.5,315.78,426.31,415.23,397.79,371.36,283.33,264.51,257.97,273.61,291.04,298.19,334.56,290.21,281.56,288.48,286.63,257.11,239.91,218.3,213.75,225.45,236.54
Net Cash / Debt,-146.79,-152.57,-141.36,-140.85,-133.77,-132.85,-131.13,-104.74,-89.33,-62.48,-102.24,-84.98,-96.95,-115.21,-116.18,-114.34,-73.03,-72.13,-72,-71.97,-69.74,-28.28,-58.06,-29.54,32.29,32.25
Net Cash Per Share,-19.31,-24.40,-18.60,-27.11,-29.35,-29.60,-32.90,-26.73,-22.90,-28.17,-57.54,-50.01,-57.81,-68.71,-69.28,-67.00,-41.18,-40.63,-40.55,-40.54,-39.28,-15.92,-30.71,-14.77,15.33,-
Book Value Per Share,11.88,13.57,12.56,18.79,15.20,16.61,24.95,23.40,23.47,35.89,34.03,31.28,30.32,51.82,54.55,60.73,64.25,62.02,71.98,70.74,70.74,74.48,70.25,76.85,80.93,80.75
