Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31
Cash & Equivalents,47.04,51.68,48.79,46.83,50.5,49.81,60.18,47.74,50.63,44.11,49.89,40.29,-,54.75,-,-,34.64,156.12
Short-Term Investments,3.18,3.35,3.53,4.08,5.1,6.13,6.65,10.08,11,9.48,13.12,15.43,-,17.5,-,-,30.78,81.78
Cash & Cash Equivalents,50.22,55.03,52.32,50.9,55.59,55.94,66.82,57.82,61.63,53.58,63.01,55.72,0,72.24,0,0,65.41,237.9
Cash Growth,-9.67%,-1.63%,-21.70%,-11.95%,-9.80%,4.40%,6.05%,3.76%,-,-25.83%,-,-,-,-69.63%,-,-,-,-
Receivables,9.26,10.97,12.41,8.95,15.29,13.18,13.35,10.48,13.54,21.58,9.96,7.85,-,8.68,-,-,6.33,13.78
Other Current Assets,13.96,10.97,10.65,9.53,8.56,8.41,7.24,8.78,12.68,10.14,10.29,11.51,-,14.42,-,-,9.64,24.52
Total Current Assets,73.43,76.96,75.38,69.38,79.44,77.53,87.41,77.07,87.85,85.31,83.27,75.08,-,95.34,-,-,81.38,276.2
"Property, Plant & Equipment",12.25,12.5,12.79,14.26,15.71,16.48,14.26,15.49,16.12,16.61,15.77,15.97,-,16.23,-,-,16.39,5.3
Long-Term Investments,80.61,73.57,71.46,71.27,78.63,68.77,68.25,70.53,61.58,82.47,67.38,61.64,-,55.6,-,-,72.1,81.22
Goodwill and Intangibles,197.91,197.76,195.59,206.83,192.04,189.21,188.6,179.49,177.29,175.12,168.1,165.1,-,133.23,-,-,127.88,40.48
Other Long-Term Assets,22.56,22.95,20.17,14.39,15.02,13.89,17.31,18.55,14.15,17.85,23.78,21.14,-,24.55,-,-,23.5,6.66
Total Long-Term Assets,313.33,306.79,300.01,306.75,301.4,288.35,288.41,284.05,269.14,292.04,275.04,263.85,-,229.6,-,-,239.87,133.65
Total Assets,386.77,383.75,375.39,376.13,380.84,365.87,375.82,361.12,356.99,377.35,358.3,338.93,-,324.94,-,-,321.25,409.85
Accounts Payable,22.7,23.05,21.36,21.13,26.4,25.11,33.25,23.15,28.63,44.89,46.3,37.38,-,30.53,-,-,39.05,26.48
Current Debt,0,0,0,0,0,0,0,0,0,0,3.7,3.66,-,3.83,-,-,0,9.9
Other Current Liabilities,3.89,2.71,1.72,2.46,1.44,3.01,6.1,6.39,4.67,2.35,3.58,1.4,-,0.81,-,-,0.63,28.17
Total Current Liabilities,26.6,25.75,23.08,23.58,27.84,28.12,39.35,29.54,33.29,47.24,53.58,42.44,-,35.17,-,-,39.68,64.55
Long-Term Debt,54.44,54.44,55.25,46.26,38.3,29.77,33.65,22.05,22.05,16.99,13.66,14.25,-,11.49,-,-,0,0
Other Long-Term Liabilities,27.07,26.29,25.64,19.43,17.44,16.77,11.24,12.49,11.67,22.13,13.83,14.13,-,6.66,-,-,8.06,1.43
Total Long-Term Liabilities,81.51,80.73,80.89,65.68,55.74,46.54,44.88,34.54,33.72,39.12,27.49,28.38,-,18.15,-,-,8.06,1.43
Total Liabilities,108.11,106.48,103.97,89.26,83.58,74.65,84.23,64.08,67.02,86.37,81.07,70.82,-,53.31,-,-,47.74,65.99
Total Debt,54.44,54.44,55.25,46.26,38.3,29.77,33.65,22.05,22.05,16.99,17.36,17.91,-,15.32,-,-,0,9.9
Debt Growth,42.13%,82.86%,64.19%,109.79%,73.71%,75.17%,93.81%,23.14%,-,10.96%,-,-,-,54.70%,-,-,-,-
Common Stock,462.7,462.19,460.95,458.42,455.03,452.78,457.83,458.29,459.56,461.07,459.33,458.13,-,451.06,-,-,450.74,432.46
Retained Earnings,-104.16,-105.31,-106.16,-102.74,-97,-97.01,-100.75,-103.04,-107.69,-104.48,-104.83,-107.62,-,-108.22,-,-,-95.42,-118.27
Comprehensive Income,-79.88,-79.62,-83.38,-68.81,-60.78,-64.56,-65.5,-58.21,-61.9,-65.6,-77.27,-82.4,-,-71.21,-,-,-81.81,29.67
Shareholders' Equity,278.66,277.27,271.41,286.86,297.26,291.22,291.59,297.04,289.97,290.98,277.23,268.11,-,271.63,-,-,273.51,343.86
Total Liabilities and Equity,386.77,383.75,375.39,376.13,380.84,365.87,375.82,361.12,356.99,377.35,358.3,338.93,-,324.94,-,-,321.25,409.85
Net Cash / Debt,-4.22,0.59,-2.93,4.65,17.29,26.17,33.17,35.77,39.58,36.59,45.65,37.81,0,56.93,0,0,65.41,228
Net Cash / Debt Growth,-,-97.75%,-,-87.00%,-56.31%,-28.47%,-27.33%,-5.41%,-,-35.73%,-,-,-,-75.03%,-,-,-,-
Working Capital,46.84,51.21,52.29,45.8,51.6,49.41,48.06,47.53,54.56,38.07,29.68,32.65,-,60.18,-,-,41.7,211.64
Book Value Per Share,10.74,11.08,10.83,11.43,11.54,11.33,11.35,11.56,11.34,11.88,11.31,10.57,-,10.71,-,-,10.79,-
