Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,103.36,61.6,74.76,120.89,182.36,105.8,-,-,-,138.46
Cash & Cash Equivalents,103.36,61.6,74.76,120.89,182.36,105.8,0,0,0,138.46
Cash Growth,-43.32%,-41.78%,-,-,-,-23.59%,-,-,-,-
"Property, Plant & Equipment",6.22,5.83,5.27,5.72,6.1,6.53,-,-,-,8.37
Total Assets,"2,351.31","2,348.24","2,305.54","2,316.37","2,249.61","2,149.31",-,-,-,"1,885.5"
Total Liabilities,"2,130.48","2,135.44","2,103.33","2,108.84","2,044.75","1,940.84",-,-,-,"1,699.42"
Total Debt,29.68,54.98,28.79,54.1,47.68,47.91,-,-,-,52.89
Debt Growth,-37.74%,14.76%,-,-,-,-9.41%,-,-,-,-
Common Stock,95.38,94.87,94.7,94.08,93.27,91.24,-,-,-,90.13
Retained Earnings,150.64,146.63,138.43,130.38,122.51,117.63,-,-,-,92.17
Comprehensive Income,-25.2,-28.7,-30.92,-16.93,-10.93,-0.4,-,-,-,3.79
Shareholders' Equity,220.82,212.8,202.21,207.53,204.86,208.47,-,-,-,186.08
Total Liabilities and Equity,"2,351.31","2,348.24","2,305.54","2,316.37","2,249.61","2,149.31",-,-,-,"1,885.5"
Net Cash / Debt,73.68,6.62,45.97,66.79,134.69,57.89,0,0,0,85.57
Net Cash / Debt Growth,-45.30%,-88.57%,-,-,-,-32.35%,-,-,-,-
Book Value Per Share,15.64,15.12,14.41,14.82,15.06,15.32,-,-,-,-
