Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Cash & Equivalents,16.87,9,7.6,5.05,6.74,7.88,31.94,23.62,25.16,8.48,29.81,33.11,6.86,6.74,9.24,15.37,10.49,12.35,-,-,-,10.62
Cash & Cash Equivalents,16.87,9,7.6,5.05,6.74,7.88,31.94,23.62,25.16,8.48,29.81,33.11,6.86,6.74,9.24,15.37,10.49,12.35,0,0,0,10.62
Cash Growth,150.40%,14.13%,-76.22%,-78.61%,-73.22%,-7.08%,7.16%,-28.67%,266.63%,25.80%,222.58%,115.44%,-34.57%,-45.39%,-,-,-,16.30%,-,-,-,-
"Property, Plant & Equipment",4.15,4.18,4.29,4.4,4.49,4.57,4.7,4.83,4.95,5.08,5.17,5.31,5.43,5.34,5.41,5.44,5.48,5.58,-,-,-,5.94
Total Assets,548.5,537.42,523.8,510.25,499.75,487.07,493.66,478.23,464.79,443.06,477.28,471.41,412.32,409.49,400.31,406.82,394.69,387.11,-,-,-,359.75
Total Liabilities,474.27,488.09,476.07,458.37,443.75,426.61,433.87,418.28,405.77,384.2,418.54,413.04,354.77,352.43,343.33,372.82,361.24,354.39,-,-,-,327.85
Total Debt,52.67,99.4,82.89,64.25,49.7,29.46,39.03,43.27,38.47,52.32,72.61,77.03,66.99,66.22,50.93,56.01,81.64,75.74,-,-,-,72.23
Debt Growth,5.97%,237.37%,112.37%,48.48%,29.19%,-43.69%,-46.24%,-43.82%,-42.58%,-20.99%,42.58%,37.52%,-17.94%,-12.57%,-,-,-,4.86%,-,-,-,-
Common Stock,46.43,22.82,22.7,22.57,22.82,22.93,59.33,58.87,58.18,23.29,57.79,57.38,56.83,56.55,56.35,33.58,33.37,33.19,-,-,-,32.11
Retained Earnings,36.72,36.25,37.85,37.39,37.21,36.81,-,-,-,34.19,-,-,-,-,-,-,-,-,-,-,-,-
Comprehensive Income,-8.92,-9.73,-12.82,-8.08,-4.02,0.72,0.46,1.08,0.83,1.38,0.96,0.99,0.73,0.52,0.64,0.42,0.08,-0.47,-,-,-,-0.21
Shareholders' Equity,74.23,49.34,47.73,51.87,56,60.47,59.8,59.95,59.02,58.86,58.75,58.37,57.55,57.07,56.99,34.01,33.45,32.73,-,-,-,31.9
Total Liabilities and Equity,548.5,537.42,523.8,510.25,499.75,487.07,493.66,478.23,464.79,443.06,477.28,471.41,412.32,409.49,400.31,406.82,394.69,387.11,-,-,-,359.75
Net Cash / Debt,-35.8,-90.4,-75.3,-59.2,-42.96,-21.58,-7.09,-19.65,-13.31,-43.84,-42.8,-43.91,-60.13,-59.48,-41.69,-40.64,-71.15,-63.39,0,0,0,-61.61
Net Cash Per Share,-7.66,-15.67,-15.58,-12.26,-8.86,-3.71,-1.46,-4.04,-2.73,-8.93,-8.73,-8.96,-12.28,-26.41,-10.32,-,-,-,-,-,-,-
Book Value Per Share,15.88,8.55,9.93,10.79,11.57,10.39,12.32,12.33,12.10,11.99,11.98,11.91,11.75,25.34,14.11,6.69,6.58,6.44,-,-,-,-
