Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-06-30
Cash & Equivalents,6.72,8,8.05,13.61,24.32,21,12.19,15.27,24.97,26.83,12.25,13.53,-,13.45,-,9.14
Cash & Cash Equivalents,6.72,8,8.05,13.61,24.32,21,12.19,15.27,24.97,26.83,12.25,13.53,0,13.45,0,9.14
Cash Growth,-72.36%,-61.88%,-33.95%,-10.90%,-2.62%,-21.74%,-0.51%,12.84%,-,99.51%,-,48.12%,-,-,-,-
"Property, Plant & Equipment",14.76,14.86,14.86,15.07,15.18,15.35,15.96,16.36,16.64,16.74,16.95,17.19,-,17.59,-,18.49
Goodwill and Intangibles,1.49,1.51,1.53,1.54,1.56,1.58,1.59,1.61,1.62,1.64,1.66,1.67,-,1.71,-,1.76
Total Assets,389.2,386.29,373.61,369.67,377.47,378.95,377.37,380.09,381.94,373.8,367.69,372.32,-,347.55,-,318.16
Total Liabilities,351.68,348.97,335.96,330.64,335.36,335.47,334.91,337.54,339.99,343.91,337.91,342.98,-,319.32,-,290.79
Total Debt,12.12,29.19,25.7,16.97,17.73,20.2,21.23,24.83,27.08,31.46,32.64,36.12,-,34.9,-,29.02
Debt Growth,-31.61%,44.47%,21.04%,-31.67%,-34.54%,-35.78%,-34.95%,-31.25%,-,-9.85%,-,24.46%,-,-,-,-
Common Stock,21.28,21.28,21.43,21.98,22.79,22.78,22.79,22.78,22.74,11.05,11.03,11.02,-,11.32,-,11.3
Retained Earnings,22.35,22.51,22.49,22.28,22.07,21.67,21.15,20.98,20.61,20.26,19.92,19.26,-,18.57,-,18.48
Comprehensive Income,-6.11,-6.47,-6.27,-5.22,-2.74,-0.97,-1.48,-1.21,-1.41,-1.42,-1.17,-0.94,-,-1.66,-,-2.41
Shareholders' Equity,37.52,37.33,37.65,39.03,42.12,43.48,42.47,42.55,41.95,29.89,29.78,29.34,-,28.23,-,27.37
Total Liabilities and Equity,389.2,386.29,373.61,369.67,377.47,378.95,377.37,380.09,381.94,373.8,367.69,372.32,-,347.55,-,318.16
Net Cash / Debt,-5.4,-21.18,-17.65,-3.36,6.59,0.79,-9.05,-9.56,-2.11,-4.63,-20.39,-22.59,0,-21.45,0,-19.88
Book Value Per Share,16.03,15.78,15.50,15.88,17.13,17.69,17.27,16.67,16.44,20.23,20.15,19.86,-,-,-,-
