Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.03,0.56,1.13,1.83,2.7,3.47,0.03,-
Cash & Cash Equivalents,0.03,0.56,1.13,1.83,2.7,3.47,0.03,0
Cash Growth,-98.85%,-83.96%,4414.61%,-,-,-,-,-
Other Current Assets,0.08,0.01,0.06,0.1,0.07,0.01,-,-
Total Current Assets,0.11,0.57,1.19,1.93,2.77,3.49,-,-
Long-Term Investments,417.96,413.57,410.78,409.1,408.58,408.54,-,-
Other Long-Term Assets,6.86,6.86,6.86,6.86,6.86,6.86,-,-
Total Long-Term Assets,424.82,420.43,417.64,415.96,415.44,415.4,-,-
Total Assets,424.93,421,418.83,417.89,418.21,418.89,0.42,-
Accounts Payable,0.11,0.26,0.22,0.17,0.15,0.02,0,-
Deferred Revenue,6.86,6.86,6.86,6.86,6.86,6.86,0,-
Current Debt,0.3,0,0,0,0,0,0.25,-
Other Current Liabilities,-5.4,-6.31,-6.54,-6.76,-6.86,-6.8,0.15,-
Total Current Liabilities,1.88,0.81,0.54,0.27,0.15,0.08,0.4,-
Other Long-Term Liabilities,24.01,24.01,24.01,24.01,24.01,24.01,0,-
Total Long-Term Liabilities,24.01,24.01,24.01,24.01,24.01,24.01,0,-
Total Liabilities,25.89,24.82,24.55,24.28,24.16,24.09,0.4,-
Total Debt,0.3,0,0,0,0,0,0.25,-
Common Stock,0,0,0,0,0,0,0.03,-
Retained Earnings,-17.45,-16.66,-16.02,-15.28,-14.49,-13.74,-0,-
Shareholders' Equity,-17.45,-16.66,-16.02,-15.28,-14.48,-13.74,0.02,-
Total Liabilities and Equity,8.44,8.16,8.53,9,9.67,10.35,0.42,-
Net Cash / Debt,-0.27,0.56,1.13,1.83,2.7,3.47,-0.22,0
Net Cash / Debt Growth,-,-83.96%,-,-,-,-,-,-
Net Cash Per Share,-0.00,0.01,0.02,0.03,0.05,0.21,-0.01,-
Working Capital,-1.77,-0.25,0.65,1.66,2.62,3.4,-,-
Book Value Per Share,-0.31,-0.30,-0.29,-0.27,-0.26,-0.81,0.00,-
