Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Cash & Equivalents,177.39,109.12,147.24,123.44,134.36,204.85,205.76,187.73,170.13,153.9,60.72,127.78,148.63,117.13,110.59,123.76,156.15,128.09,127.25,-,-,100.05,-,74.24
Cash & Cash Equivalents,177.39,109.12,147.24,123.44,134.36,204.85,205.76,187.73,170.13,153.9,60.72,127.78,148.63,117.13,110.59,123.76,156.15,128.09,127.25,0,0,100.05,0,74.24
Cash Growth,32.02%,-46.73%,-28.44%,-34.25%,-21.02%,33.11%,238.88%,46.92%,14.47%,31.40%,-45.10%,3.25%,-4.82%,-8.56%,-13.09%,-,-,28.02%,-,-,-,-,-,-
"Property, Plant & Equipment",13.08,13.11,13.35,13.58,13.78,17.26,8.78,8.89,9.05,9.15,9.39,9.52,9.64,9.62,8.4,8.76,8.29,7.75,7.77,-,-,9.6,-,6.51
Goodwill and Intangibles,9.72,9.94,9.48,10.21,10.37,10.12,1.45,1.49,1.54,1.58,1.63,1.69,1.74,1.79,1.84,1.89,1.94,2,2.05,-,-,2.2,-,2.41
Total Assets,"1,660.54","1,584.17","1,580.95","1,487.47","1,421.23","1,350.55","1,146.23","1,133.03","1,046.08","1,016.67",973.35,"1,004.09",974.35,866.39,826.82,798.45,787.24,770.51,751.17,-,-,703.59,-,613.77
Total Liabilities,"1,506.53","1,440.07","1,445.13","1,355.98","1,292.58","1,223.14","1,023.82","1,016.02",934.35,909.35,868.12,902.47,876.73,766.27,726.21,699.41,693.48,682.05,668.41,-,-,634.42,-,558.63
Total Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,5.6,-,6.4
Common Stock,95.93,95.35,95.15,95.11,94.4,94.12,93.86,93.73,93.55,93.25,93.05,92.85,92.66,92.49,92.45,80.71,80.55,80.38,80.24,-,-,7.06,-,7.06
Retained Earnings,65.62,58.05,51.12,44.17,38.24,33.15,28.55,23.29,18.18,14.07,12.18,8.77,4.95,7.63,8.16,18.33,13.21,8.09,2.53,-,-,62.12,-,48.08
Comprehensive Income,-7.55,-9.3,-10.45,-7.78,-4,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,-,0
Shareholders' Equity,154.01,144.1,135.82,131.5,128.65,127.41,122.41,117.01,111.73,107.32,105.23,101.62,97.62,100.13,100.62,99.04,93.75,88.47,82.77,-,-,69.18,-,55.14
Total Liabilities and Equity,"1,660.54","1,584.17","1,580.95","1,487.47","1,421.23","1,350.55","1,146.23","1,133.03","1,046.08","1,016.67",973.35,"1,004.09",974.35,866.39,826.82,798.45,787.24,770.51,751.17,-,-,703.59,-,613.77
Net Cash / Debt,177.39,109.12,147.24,123.44,134.36,204.85,205.76,187.73,170.13,153.9,60.72,127.78,148.63,117.13,110.59,123.76,156.15,128.09,127.25,0,0,94.45,0,67.84
Net Cash / Debt Growth,32.02%,-46.73%,-28.44%,-34.25%,-21.02%,33.11%,238.88%,46.92%,14.47%,31.40%,-45.10%,3.25%,-4.82%,-8.56%,-13.09%,-,-,35.61%,-,-,-,-,-,-
Net Cash Per Share,19.15,11.82,15.99,13.42,14.63,22.44,22.60,20.69,18.78,16.98,6.58,13.84,14.90,11.64,10.88,12.14,15.33,15.55,16.59,-,-,12.96,-,-
Book Value Per Share,16.84,15.80,14.92,14.46,14.15,14.04,13.52,12.93,12.35,11.84,11.40,11.01,9.79,9.96,9.91,9.72,9.20,10.91,10.84,-,-,9.49,-,7.57
