Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Cash & Equivalents,86.08,180.25,271.45,356.33,306.18,390.07,322.92,253.09,121.23,-,-,-,25.11
Cash & Cash Equivalents,86.08,180.25,271.45,356.33,306.18,390.07,322.92,253.09,121.23,0,0,0,25.11
Cash Growth,-71.89%,-53.79%,-15.94%,40.79%,152.56%,-,-,-,382.77%,-,-,-,-
"Property, Plant & Equipment",14.74,14.6,14.28,14.31,14.6,14.38,14.12,14.05,14.02,-,-,-,14.6
Goodwill and Intangibles,6.75,6.82,6.89,6.97,7.04,7.11,7.18,7.25,7.32,-,-,-,7.61
Total Assets,"2,287.33","2,368.37","2,392.05","2,281.06","2,142.58","2,175.23","2,052.23","1,908.75","1,664.94",-,-,-,"1,229.55"
Total Liabilities,"2,149.2","2,232.18","2,246.33","2,116.51","1,959.75","1,994.63","1,911.32","1,773.67","1,529.51",-,-,-,"1,107.49"
Total Debt,150.95,22.43,22.41,22.39,22.38,22.38,22.36,22.34,22.32,-,-,-,8
Debt Growth,574.59%,0.25%,0.25%,0.24%,0.24%,-,-,-,179.04%,-,-,-,-
Common Stock,121.7,121.65,121.35,121.25,121.34,121.25,85.91,85.82,85.92,-,-,-,86.52
Retained Earnings,84.64,76.86,70.13,69.15,64.94,60.57,56.12,51.82,47.68,-,-,-,39.59
Comprehensive Income,-68.2,-62.32,-45.76,-25.84,-3.44,-1.22,-1.12,-2.56,1.82,-,-,-,-4.04
Shareholders' Equity,138.14,136.19,145.72,164.55,182.84,180.6,140.91,135.08,135.42,-,-,-,122.06
Total Liabilities and Equity,"2,287.33","2,368.37","2,392.05","2,281.06","2,142.58","2,175.23","2,052.23","1,908.75","1,664.94",-,-,-,"1,229.55"
Net Cash / Debt,-64.87,157.82,249.03,333.93,283.8,367.7,300.56,230.75,98.91,0,0,0,17.11
Net Cash / Debt Growth,-,-57.08%,-17.14%,44.72%,186.93%,-,-,-,478.01%,-,-,-,-
Net Cash Per Share,-11.53,28.07,44.33,59.26,50.28,70.04,66.96,51.47,21.97,-,-,-,-
Book Value Per Share,24.55,24.22,25.94,29.20,32.39,34.40,31.39,30.13,30.08,-,-,-,27.22
