Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.17,0.2,0.06,0.07,-,0.15
Cash & Cash Equivalents,0.17,0.2,0.06,0.07,0,0.15
Cash Growth,-,27.14%,-,-,-,-
Other Current Assets,0.23,0.24,-,-,-,0
Total Current Assets,0.4,0.43,-,-,-,0.15
Long-Term Investments,54.49,53.96,-,-,-,0
Other Long-Term Assets,0,0,-,-,-,0.13
Total Long-Term Assets,54.49,53.96,-,-,-,0.13
Total Assets,54.89,54.39,0.28,0.25,-,0.29
Accounts Payable,0,0,0,0,-,0
Current Debt,0.36,0.16,0.2,0.2,-,0.2
Other Current Liabilities,0.73,0.22,0.07,0.04,-,0.07
Total Current Liabilities,1.08,0.37,0.27,0.24,-,0.27
Other Long-Term Liabilities,2.15,2.15,0,0,-,0
Total Long-Term Liabilities,2.15,2.15,0,0,-,0
Total Liabilities,3.24,2.52,0.27,0.24,-,0.27
Total Debt,0.36,0.16,0.2,0.2,-,0.2
Debt Growth,-,-22.49%,-,-,-,-
Common Stock,1.11,4.91,0.03,0.03,-,0.03
Retained Earnings,-0.09,0.13,-0.01,-0.02,-,-0
Shareholders' Equity,1.02,5.05,0.01,0.01,-,0.02
Total Liabilities and Equity,4.26,7.56,0.28,0.25,-,0.29
Net Cash / Debt,-0.19,0.04,-0.14,-0.13,0,-0.05
Net Cash Per Share,-0.03,0.02,-0.12,-,-,-0.04
Working Capital,-0.68,0.06,-,-,-,-0.11
Book Value Per Share,0.15,1.89,0.01,0.01,-,0.02
