Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31
Cash & Equivalents,136.47,136.27,150.21,129.54,111.72,89.71,62.45,190.76,86.83,81.62,118.44,102.08,88.66,105.34,91.95,74.9,-,112.35,-,-,57.15
Short-Term Investments,15.22,13.71,12.92,13.23,14.46,14.5,13.87,13.5,12.26,10.58,9.05,8.22,6.89,7.28,0.37,0.37,-,0.33,-,-,0.04
Cash & Cash Equivalents,151.69,149.99,163.13,142.76,126.18,104.21,76.32,204.25,99.09,92.2,127.49,110.31,95.55,112.62,92.32,75.27,0,112.69,0,0,57.19
Cash Growth,20.22%,43.94%,113.74%,-30.10%,27.33%,13.03%,-40.14%,85.17%,3.71%,-18.13%,38.09%,46.55%,-,-0.06%,-,-,-,-,-,-,-
Receivables,21.97,20.08,15.79,12.5,9.08,9.02,9.78,7.75,8.46,8.89,7.46,8.94,12.2,9.68,9.45,10.3,-,8.76,-,-,7.31
Other Current Assets,16.51,17.14,20.91,20.88,13.7,20.95,22.46,25.91,30.27,22.23,25.4,13.48,18.01,10.56,7.44,7.57,-,5.31,-,-,4.04
Total Current Assets,190.16,187.21,199.83,176.14,148.95,134.17,108.56,237.9,137.82,123.32,160.36,132.72,125.76,132.85,109.21,93.13,-,126.76,-,-,68.53
"Property, Plant & Equipment",30.47,30.5,30.3,30.49,29.15,30.48,31.1,31.44,32.7,34.88,35.95,38.42,39.89,7.07,7.1,7.15,-,7.04,-,-,7.07
Goodwill and Intangibles,"1,273.99","1,271.81","1,225.44","1,223.87","1,221.47","1,216.66","1,219.37","1,062.35","1,062.53","1,063.42","1,064.71","1,066.06","1,068.08","1,049.04","1,049.23","1,051.15",-,"1,013.48",-,-,"1,022.14"
Other Long-Term Assets,13.39,13.42,11.63,3.1,3.18,2.09,2.15,2.2,2.29,1.97,0,0,0,0,0,0,-,0,-,-,0
Total Long-Term Assets,"1,317.85","1,315.73","1,267.38","1,257.46","1,253.81","1,249.23","1,252.62","1,095.99","1,097.52","1,100.27","1,100.65","1,104.49","1,107.97","1,056.11","1,056.33","1,058.3",-,"1,020.52",-,-,"1,029.21"
Total Assets,"1,508.01","1,502.93","1,467.21","1,433.61","1,402.76","1,383.41","1,361.18","1,333.89","1,235.34","1,223.59","1,261.01","1,237.21","1,233.73","1,188.96","1,165.54","1,151.43",-,"1,147.28",-,-,"1,097.74"
Accounts Payable,2.46,4.62,1.64,2.25,2.38,2.61,1.02,1.01,1.43,2.2,0.93,0.3,0.6,0.97,0.49,1.41,-,0.73,-,-,5.33
Current Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,-,2.31,-,-,0
Other Current Liabilities,72.5,69.2,52.12,50.31,46.41,56.25,47.72,39.42,32.6,43.69,37.82,34.21,34.77,40.61,39,33.17,-,46.2,-,-,43.11
Total Current Liabilities,74.97,73.82,53.76,52.56,48.79,58.86,48.75,40.43,34.04,45.89,38.74,34.5,35.37,41.58,39.49,36.36,-,49.24,-,-,48.44
