Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
Cash & Equivalents,16.28,27.09,37.09,121.09,120.79,84.68,79.52,138.15,414.59,47.13,28.65,20.52,20.63,27.26,20.23,12.88,16.99,6.02,14.75,14.94,14.8,15.61,28.58,47.55,88.45,11.97,15.43,-,-,-,15.6
Cash & Cash Equivalents,16.28,27.09,37.09,121.09,120.79,84.68,79.52,138.15,414.59,47.13,28.65,20.52,20.63,27.26,20.23,12.88,16.99,6.02,14.75,14.94,14.8,15.61,28.58,47.55,88.45,11.97,15.43,0,0,0,15.6
Cash Growth,-86.52%,-68.01%,-53.36%,-12.35%,-70.87%,79.69%,177.54%,573.41%,1910.13%,72.91%,41.60%,59.25%,21.38%,352.74%,37.23%,-13.79%,14.80%,-61.43%,-48.40%,-68.58%,-83.26%,30.44%,85.24%,-,-,-,-1.08%,-,-,-,-
"Property, Plant & Equipment",10.44,10.81,11.17,11.46,11.83,12.2,12.46,12.41,10.52,10.68,10.7,8.81,8.48,8.12,2.25,2.16,2.03,1.98,1.87,1.83,1.83,1.94,1.84,1.79,1.8,1.82,1.77,-,-,-,2.21
Total Assets,615.76,603.25,570.65,556.53,560.12,536.32,548.56,595.73,861.61,507.74,424.74,355.59,354.59,356.56,344.2,306.69,320.88,302.31,297.76,263.84,242.66,217.95,216.77,216.92,239.14,177.12,182.02,-,-,-,167.3
Total Liabilities,573.66,561.84,529.43,515.1,517.49,493.85,507.12,555.88,822.68,470.5,389.48,321.77,320.99,323.28,311.52,274.88,289.47,271.31,267.04,233.34,210.94,186.28,185.32,185.85,226.19,163.92,169.05,-,-,-,155.84
Total Debt,45.33,55.31,45.59,45.6,49.02,49.82,64.69,72.85,85.03,93.62,85.44,40.23,35.16,36.24,34.39,14.4,14.42,18.52,30.02,16.94,16.4,13.51,13.29,12.48,11.63,22.69,25.29,-,-,-,11.61
Debt Growth,-7.52%,11.01%,-29.52%,-37.40%,-42.35%,-46.78%,-24.29%,81.06%,141.82%,158.36%,148.46%,179.45%,143.77%,95.64%,14.57%,-15.01%,-12.02%,37.10%,125.93%,35.75%,40.97%,-40.45%,-47.46%,-,-,-,117.76%,-,-,-,-
Common Stock,18.34,18.05,17.97,17.97,17.99,18,17.91,17.8,17.95,18.37,18.48,18.62,18.64,18.55,18.45,18.36,18.27,18.19,18.09,18.07,18.05,18.03,18.01,17.99,0,0,0,-,-,-,0
Retained Earnings,27.02,26.74,26.03,25.39,24.79,24.44,23.33,22.04,20.74,18.68,16.62,15.12,14.97,14.77,14.16,13.75,13.69,13.55,13.28,13.05,13.96,13.78,13.55,13.37,13.27,13.23,12.98,-,-,-,11.95
Comprehensive Income,-3.27,-3.38,-2.78,-1.94,-0.15,0.02,0.21,0.01,0.24,0.19,0.16,0.07,-0.02,-0.03,0.07,-0.3,-0.55,-0.73,-0.65,-0.62,-0.3,-0.15,-0.11,-0.28,-0.32,-0.04,-0.01,-,-,-,-0.5
Shareholders' Equity,42.09,41.41,41.22,41.42,42.64,42.47,41.44,39.85,38.93,37.24,35.26,33.81,33.6,33.28,32.68,31.81,31.41,31,30.72,30.51,31.71,31.66,31.44,31.07,12.95,13.2,12.97,-,-,-,11.46
Total Liabilities and Equity,615.76,603.25,570.65,556.53,560.12,536.32,548.56,595.73,861.61,507.74,424.74,355.59,354.59,356.56,344.2,306.69,320.88,302.31,297.76,263.84,242.66,217.95,216.77,216.92,239.14,177.12,182.02,-,-,-,167.3
Net Cash / Debt,-29.05,-28.22,-8.5,75.49,71.77,34.86,14.83,65.31,329.56,-46.5,-56.79,-19.72,-14.54,-8.98,-14.16,-1.52,2.57,-12.5,-15.27,-2,-1.59,2.1,15.29,35.07,76.82,-10.72,-9.86,0,0,0,3.98
Net Cash / Debt Growth,-,-,-,15.60%,-78.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Book Value Per Share,18.80,18.48,19.05,19.14,19.60,19.52,19.05,18.32,17.52,16.66,15.73,14.89,14.81,14.67,14.47,14.11,13.90,13.72,14.08,13.98,14.53,14.51,14.41,14.24,5.93,6.05,5.94,-,-,-,-
