Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Cash & Equivalents,10.28,14.99,14.3,13.93,16.19,13.3,17.3,16.09,14.28,13.34,12.91,9.83,6.04,6.55,6.92,6.5,8.74,7.8,7.65,7.54,-,-,-,6.75
Short-Term Investments,8.7,4.35,5.21,5.07,2.94,2.85,1.32,1.83,1.83,1.83,1.82,1.82,3.77,3.79,3.78,3.76,1.04,3.06,3.11,3.2,-,-,-,3.58
Cash & Cash Equivalents,18.98,19.33,19.51,18.99,19.14,16.15,18.62,17.92,16.1,15.16,14.73,11.65,9.81,10.34,10.69,10.25,9.78,10.85,10.76,10.74,0,0,0,10.32
Cash Growth,-0.82%,19.69%,4.81%,6.02%,18.82%,6.53%,26.38%,53.83%,64.23%,46.66%,37.79%,13.60%,0.26%,-4.74%,-0.63%,-4.56%,-,-,-,4.04%,-,-,-,-
Receivables,2.83,2.87,2.73,3.19,3.35,2.95,3.22,3.11,3.27,3.63,3.5,3.33,1.87,1.81,1.86,1.98,2.26,2.14,2.38,2.53,-,-,-,2.63
Inventory,2.39,2.58,2.28,2.2,2.29,2.14,2.11,1.95,1.93,1.89,1.85,1.17,1.11,1.22,1.05,1.01,1.21,1.22,1.09,0.93,-,-,-,0.44
Other Current Assets,1.76,1.38,0.89,0.85,1.64,1.5,1.16,1.13,0.98,0.95,0.34,1.45,1.95,1.61,1.49,2.29,2.63,2.39,2.49,2.5,-,-,-,1.63
Total Current Assets,25.96,26.17,25.42,25.24,26.42,22.74,25.11,24.11,22.28,21.63,20.43,17.6,14.73,14.98,15.09,15.52,15.88,16.6,16.71,16.7,-,-,-,15.03
"Property, Plant & Equipment",2.33,2.52,2.38,2.75,3.12,3.28,2.37,2.63,2.77,3.05,2.39,1.93,1.95,2.23,2.3,0.76,0.85,0.92,1,1.08,-,-,-,1.16
Goodwill and Intangibles,4.73,4.82,4.92,5.02,3.15,3.23,3.3,3.39,3.47,3.55,3.63,3.46,3.54,3.41,3.49,3.58,3.66,3.74,3.83,3.91,-,-,-,1.4
Other Long-Term Assets,1.72,1.71,2.22,2.31,1.38,1.63,1.38,1.38,1.46,1.46,1.44,1.3,1.4,1.4,1.4,1.4,7.4,1.4,1.41,1.41,-,-,-,2
Total Long-Term Assets,8.78,9.05,9.52,10.07,7.65,8.13,7.05,7.4,7.69,8.07,7.47,6.69,6.88,7.03,7.19,5.73,11.92,6.06,6.23,6.4,-,-,-,4.56
Total Assets,34.73,35.22,34.94,35.31,34.07,30.88,32.16,31.51,29.97,29.7,27.89,24.29,21.61,22.01,22.28,21.25,27.8,22.66,22.95,23.1,-,-,-,19.6
Accounts Payable,2.41,2.72,2.57,2.81,2.87,3.34,6.62,3.86,2.46,2.83,3.56,2.84,2.06,2.12,2.53,2.87,3.04,2.94,3.18,3.25,-,-,-,2.84
Current Debt,0.61,0.72,0.66,0.69,1.32,1.33,1.08,1.13,0.59,0.64,0.47,0.34,0.36,0.38,0.38,0.03,0.03,0.03,0.03,0.05,-,-,-,0.02
Other Current Liabilities,0.63,0.77,1.25,1.31,0.02,0.13,0.11,0.07,0.24,0.98,0.73,0.42,0.38,0.29,0.21,0.33,0.46,1.55,1.59,1.87,-,-,-,0.59
Total Current Liabilities,3.66,4.2,4.48,4.81,4.21,4.8,7.81,5.06,3.29,4.45,4.75,3.61,2.8,2.79,3.13,3.22,3.53,4.52,4.81,5.17,-,-,-,3.45
Long-Term Debt,0.91,1,0.96,1.2,1.43,1.58,0.86,0.99,1.7,1.83,1.37,1.41,1.45,1.58,1.66,0.66,0.67,0.67,0.68,0.75,-,-,-,0.67
Other Long-Term Liabilities,0.26,0.26,0.26,0.26,0.17,0.17,0.17,0.17,0.33,0.33,0.33,0.13,0.18,0.18,0.18,0.18,0.21,0.21,0.21,0.21,-,-,-,0.26
Total Long-Term Liabilities,1.17,1.26,1.22,1.46,1.6,1.75,1.03,1.16,2.03,2.16,1.7,1.54,1.63,1.76,1.84,0.84,0.87,0.88,0.89,0.96,-,-,-,0.93
Total Liabilities,4.83,5.46,5.71,6.27,5.81,6.55,8.84,6.22,5.32,6.61,6.45,5.14,4.43,4.55,4.96,4.06,4.41,5.4,5.7,6.13,-,-,-,4.38
Total Debt,1.52,1.71,1.62,1.9,2.75,2.91,1.94,2.12,2.28,2.47,1.83,1.75,1.81,1.97,2.04,0.69,0.7,0.7,0.71,0.8,-,-,-,0.69
Debt Growth,-44.75%,-41.05%,-16.26%,-10.45%,20.23%,17.45%,5.82%,21.30%,26.08%,25.66%,-10.18%,152.90%,160.54%,181.33%,186.71%,-13.62%,-,-,-,15.31%,-,-,-,-
Common Stock,12.4,12.37,12.36,12.35,12.35,9.37,9.37,9.37,9.37,9.37,9.37,9.37,9.37,9.33,9.25,9.22,9.22,9.22,9.22,9.22,-,-,-,7.2
Retained Earnings,17.75,17.6,17.42,16.92,15.79,14.92,13.89,15.78,15.08,13.5,12.15,9.93,8.12,8.13,8.21,8.15,8.32,8.24,8.18,7.61,-,-,-,5.88
Comprehensive Income,-0.24,-0.21,-0.55,-0.23,0.12,0.04,0.06,0.14,0.21,0.23,-0.07,-0.14,-0.3,-0.01,-0.14,-0.18,-0.14,-0.19,-0.14,0.15,-,-,-,0.12
Shareholders' Equity,29.91,29.75,29.23,29.04,28.26,24.33,23.32,25.29,24.66,23.09,21.44,19.15,17.18,17.46,17.32,17.19,17.39,17.27,17.25,16.98,-,-,-,13.2
Total Liabilities and Equity,34.73,35.22,34.94,35.31,34.07,30.88,32.16,31.51,29.97,29.7,27.89,24.29,21.61,22.01,22.28,21.25,21.8,22.66,22.95,23.1,-,-,-,17.58
Net Cash / Debt,17.46,17.62,17.89,17.1,16.39,13.25,16.68,15.8,13.82,12.69,12.9,9.9,7.99,8.37,8.65,9.56,9.09,10.15,10.05,9.94,0,0,0,9.63
Net Cash / Debt Growth,6.54%,33.01%,7.25%,8.23%,18.58%,4.40%,29.30%,59.57%,72.88%,51.60%,49.09%,3.54%,-12.01%,-17.56%,-13.90%,-3.83%,-,-,-,3.23%,-,-,-,-
Net Cash Per Share,0.43,0.44,0.44,0.42,0.42,0.34,0.43,0.41,0.36,0.33,0.34,0.24,0.21,0.22,0.23,0.25,0.24,0.27,0.26,0.26,-,-,-,-
Working Capital,22.3,21.96,20.93,20.43,22.21,17.94,17.3,19.04,18.99,17.18,15.67,13.99,11.93,12.19,11.97,12.3,12.35,12.09,11.91,11.53,-,-,-,11.58
Book Value Per Share,0.74,0.74,0.72,0.72,0.73,0.63,0.61,0.66,0.64,0.60,0.56,0.46,0.46,0.47,0.46,0.46,0.51,0.58,0.58,0.57,-,-,-,0.45
