Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.13,0.18,0.19,0.24,0.05,0.1
Short-Term Investments,58.2,116.67,115.68,115.16,0,0
Cash & Cash Equivalents,58.33,116.85,115.87,115.41,0.05,0.1
Cash Growth,107669.15%,121648.87%,-,-,-,-
Other Current Assets,0,0.04,0.08,0.11,0.36,0.24
Total Current Assets,58.33,116.89,115.95,115.52,0.41,0.33
Total Assets,58.33,116.89,115.95,115.52,0.41,0.33
Current Debt,0.79,0,0,0,0.3,0.3
Other Current Liabilities,3.16,3.02,2.95,2.93,0.12,0.03
Total Current Liabilities,3.96,3.02,2.95,2.93,0.42,0.33
Total Liabilities,3.96,3.02,2.95,2.93,0.42,0.33
Total Debt,0.79,0,0,0,0.3,0.3
Debt Growth,164.52%,-,-,-,-,-
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-3.83,-2.81,-2.69,-2.58,-0.03,-0.02
Shareholders' Equity,-3.82,-2.8,-2.69,-2.58,-0,0
Total Liabilities and Equity,0.13,0.22,0.27,0.36,0.41,0.33
Net Cash / Debt,57.54,116.85,115.87,115.41,-0.25,-0.2
Net Cash Per Share,5.57,10.02,7.88,8.14,-0.10,-0.08
Working Capital,54.38,113.87,112.99,112.58,-0,0
Book Value Per Share,-0.37,-0.24,-0.18,-0.18,-0.00,-
