Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-07-10
Cash & Equivalents,0.3,0,0,0.01,0.02,0.12,0.24,0.33,0.42,0.94,0,0.03
Cash & Cash Equivalents,0.3,0,0,0.01,0.02,0.12,0.24,0.33,0.42,0.94,0,0.03
Cash Growth,1466.98%,-99.73%,-99.87%,-98.07%,-95.34%,-87.66%,40261.18%,1205.86%,-,-,-,-
Receivables,0,2.75,0,0,0,0,0,0,0,0,0,0
Other Current Assets,0.01,0,0.02,0.03,0.09,0.09,0.16,0.23,0.3,0.32,-,-
Total Current Assets,0.31,2.75,0.02,0.04,0.11,0.21,0.4,0.56,0.72,1.26,-,-
Long-Term Investments,11.86,11.97,11.89,11.83,172.5,172.54,172.52,172.5,172.57,172.51,-,-
Total Long-Term Assets,11.86,11.97,11.89,11.83,172.5,172.54,172.52,172.5,172.57,172.51,-,-
Total Assets,12.17,14.72,11.91,11.87,172.61,172.75,172.92,173.06,173.29,173.77,0.3,0.07
Accounts Payable,0.18,1.87,1.63,0.39,0.2,0.16,0.05,0.05,0.07,0.33,0.02,0
Other Current Liabilities,0.15,2.9,2.9,2.67,1.96,1.76,0.25,0.2,0.12,0.18,0.25,0.04
Total Current Liabilities,0.33,4.76,4.54,3.06,2.16,1.92,0.31,0.25,0.19,0.51,0.28,0.04
Other Long-Term Liabilities,0.81,0.13,0.67,0.67,9,12.64,14.8,16.82,14.41,20.62,0,0
Total Long-Term Liabilities,0.81,0.13,0.67,0.67,9,12.64,14.8,16.82,14.41,20.62,0,0
Total Liabilities,1.14,4.9,5.21,3.73,11.16,14.56,15.1,17.07,14.6,21.13,0.28,0.04
Common Stock,0,0,0,0,0,0,0,3.94,1.23,0,0.03,0.03
Retained Earnings,-0.79,-2,-5.12,-3.68,-11.05,-14.31,-14.68,1.06,3.77,-19.86,-0,-0
Shareholders' Equity,-0.79,-2,-5.12,-3.68,-11.05,-14.31,-14.68,5,5,-19.86,0.02,0.02
Total Liabilities and Equity,0.35,2.9,0.09,0.05,0.11,0.25,0.42,22.07,19.6,1.27,0.3,0.07
Net Cash / Debt,0.3,0,0,0.01,0.02,0.12,0.24,0.33,0.42,0.94,0,0.03
Net Cash / Debt Growth,1466.98%,-99.73%,-99.87%,-98.07%,-95.34%,-87.66%,40261.18%,1205.86%,-,-,-,-
Net Cash Per Share,0.06,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.20,0.00,-
Working Capital,-0.02,-2.01,-4.52,-3.02,-2.05,-1.71,0.09,0.3,0.53,0.75,-,-
Book Value Per Share,-0.14,-0.15,-0.93,-0.19,-0.51,-0.66,-0.68,0.23,0.23,-4.17,0.01,-
