Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Cash & Equivalents,0.02,0.01,0.11,0.22,0.5,0.64,0.71,0.92,1.11,0,0
Cash & Cash Equivalents,0.02,0.01,0.11,0.22,0.5,0.64,0.71,0.92,1.11,0,0
Cash Growth,-96.88%,-97.84%,-84.85%,-76.60%,-54.74%,-,-,-,-,-,-
Other Current Assets,0.22,0.06,0.09,0.13,0.09,0.12,0.18,0.21,0.16,-,0.03
Total Current Assets,0.24,0.07,0.2,0.35,0.59,0.77,0.89,1.13,1.27,-,0.03
Long-Term Investments,2.9,23.8,23.45,116.86,116.79,116.78,116.76,116.77,116.73,-,0
Total Long-Term Assets,2.9,23.8,23.45,116.86,116.79,116.78,116.76,116.77,116.73,-,0
Total Assets,3.14,23.87,23.65,117.2,117.38,117.54,117.65,117.9,118,0.12,0.03
Accounts Payable,0.36,0.23,0.25,0.15,0.1,0.05,0.03,0.06,0.08,0.01,0
Current Debt,0.67,0.57,0.25,0,0,0,0,0.11,0.11,0.09,0.01
Other Current Liabilities,0.07,0.17,0.12,0.37,0.39,0.34,0.31,0.25,0.21,0.02,0
Total Current Liabilities,1.1,0.98,0.62,0.51,0.49,0.39,0.33,0.42,0.39,0.12,0.01
Other Long-Term Liabilities,4.25,4.76,5.09,5.6,9.62,9.83,11.17,9.18,11.44,0,0
Total Long-Term Liabilities,4.25,4.76,5.09,5.6,9.62,9.83,11.17,9.18,11.44,0,0
Total Liabilities,5.35,5.73,5.71,6.11,10.11,10.23,11.5,9.6,11.83,0.12,0.01
Total Debt,0.67,0.57,0.25,0,0,0,0,0.11,0.11,0.09,0.01
Common Stock,0,0,0,0,0,0,0,3.18,5.31,0.03,0.03
Retained Earnings,-5.05,-5.56,-5.45,-5.63,-9.46,-9.41,-10.57,1.82,-0.31,-0.02,-0.01
Shareholders' Equity,-5.05,-5.56,-5.45,-5.63,-9.46,-9.41,-10.57,5,5,0,0.02
Total Liabilities and Equity,0.29,0.18,0.27,0.48,0.66,0.82,0.93,14.6,16.83,0.12,0.03
Net Cash / Debt,-0.66,-0.56,-0.14,0.22,0.5,0.64,0.71,0.82,1,-0.09,-0.01
Net Cash / Debt Growth,-,-,-,-73.50%,-49.86%,-,-,-,-,-,-
Net Cash Per Share,-0.18,-0.11,-0.01,0.02,0.04,0.04,0.08,0.06,0.22,-0.04,-
Working Capital,-0.86,-0.91,-0.42,-0.17,0.1,0.37,0.56,0.72,0.88,-,0.02
Book Value Per Share,-1.39,-1.07,-0.47,-0.39,-0.66,-0.66,-1.18,0.35,1.07,0.00,-
